L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value
8,5,5,0.625,3.0,Nres_mean_l2.0,1.0,3.7680303030301334
8,5,5,0.625,3.0,fres_l1.0,1.0,0.30021717171714
8,5,5,0.625,3.0,fres_l2.0,1.0,0.5652045454545334
8,6,5,0.75,3.0,onsite_pair_density,1.0,0.7440943310481333
8,6,5,0.75,3.0,onsite_pair_variance,1.0,11.0814232712988
8,6,5,0.75,3.0,charge_fluctuation,1.0,0.8790942977446135
8,6,5,0.75,3.0,fock_entropy_normalized,1.0,0.8328213605589199
8,6,5,0.75,3.0,pr_normalized,1.0,0.1665552438799867
8,6,5,0.75,3.0,Nres_mean_l1.0,1.0,2.3138641686183328
8,6,5,0.75,3.0,Nres_mean_l2.0,1.0,4.283996877439733
8,6,5,0.75,3.0,fres_l1.0,1.0,0.3126645569620134
8,6,5,0.75,3.0,fres_l2.0,1.0,0.5788818565400867
8,7,5,0.875,3.0,onsite_pair_density,1.0,1.0376113735850667
8,7,5,0.875,3.0,onsite_pair_variance,1.0,15.295470692105336
8,7,5,0.875,3.0,charge_fluctuation,1.0,1.0998107167390534
8,7,5,0.875,3.0,fock_entropy_normalized,1.0,0.8515644955285999
8,7,5,0.875,3.0,pr_normalized,1.0,0.172097814817534
8,7,5,0.875,3.0,Nres_mean_l1.0,1.0,2.5156611243070666
8,7,5,0.875,3.0,Nres_mean_l2.0,1.0,4.617790973871734
8,7,5,0.875,3.0,fres_l1.0,1.0,0.31260133805589335
8,7,5,0.875,3.0,fres_l2.0,1.0,0.5738164108618666
8,4,5,0.5,4.0,onsite_pair_density,1.0,0.28563398258615336
8,4,5,0.5,4.0,onsite_pair_variance,1.0,3.8803313561888673
8,4,5,0.5,4.0,charge_fluctuation,1.0,0.4196245622329467
8,4,5,0.5,4.0,fock_entropy_normalized,1.0,0.6887043069195666
8,4,5,0.5,4.0,pr_normalized,1.0,0.10408222798963067
8,4,5,0.5,4.0,Nres_mean_l1.0,1.0,1.43737373737378
8,4,5,0.5,4.0,Nres_mean_l2.0,1.0,2.7496161616160664
8,4,5,0.5,4.0,fres_l1.0,1.0,0.247048611111102
8,4,5,0.5,4.0,fres_l2.0,1.0,0.47259027777779994
8,5,5,0.625,4.0,onsite_pair_density,1.0,0.48830479527990006
8,5,5,0.625,4.0,onsite_pair_variance,1.0,7.337066476185467
8,5,5,0.625,4.0,charge_fluctuation,1.0,0.6039370386338734
8,5,5,0.625,4.0,fock_entropy_normalized,1.0,0.73762921947564
8,5,5,0.625,4.0,pr_normalized,1.0,0.105788438542038
8,5,5,0.625,4.0,Nres_mean_l1.0,1.0,1.7459595959599532
8,5,5,0.625,4.0,Nres_mean_l2.0,1.0,3.2783838383837334
8,5,5,0.625,4.0,fres_l1.0,1.0,0.26189393939393335
8,5,5,0.625,4.0,fres_l2.0,1.0,0.49175757575759993
8,6,5,0.75,4.0,onsite_pair_density,1.0,0.74106103322946
8,6,5,0.75,4.0,onsite_pair_variance,1.0,11.8831426891292
8,6,5,0.75,4.0,charge_fluctuation,1.0,0.8029851138600334
8,6,5,0.75,4.0,fock_entropy_normalized,1.0,0.76739147172378
8,6,5,0.75,4.0,pr_normalized,1.0,0.103403170523328
8,6,5,0.75,4.0,Nres_mean_l1.0,1.0,1.927049180328106
8,6,5,0.75,4.0,Nres_mean_l2.0,1.0,3.6736143637785985
8,6,5,0.75,4.0,fres_l1.0,1.0,0.2603955696202267
8,6,5,0.75,4.0,fres_l2.0,1.0,0.4964029535865201
8,7,5,0.875,4.0,onsite_pair_density,1.0,1.03248574541112
8,7,5,0.875,4.0,onsite_pair_variance,1.0,16.297628948394
8,7,5,0.875,4.0,charge_fluctuation,1.0,1.0335058654884335
8,7,5,0.875,4.0,fock_entropy_normalized,1.0,0.80505107358708
8,7,5,0.875,4.0,pr_normalized,1.0,0.1173533726349233
8,7,5,0.875,4.0,Nres_mean_l1.0,1.0,2.1448099762472665
8,7,5,0.875,4.0,Nres_mean_l2.0,1.0,4.070609659541201
8,7,5,0.875,4.0,fres_l1.0,1.0,0.26651859504134
8,7,5,0.875,4.0,fres_l2.0,1.0,0.5058225108224933
8,4,5,0.5,5.0,onsite_pair_density,1.0,0.2841172270182599
8,4,5,0.5,5.0,onsite_pair_variance,1.0,3.6864444496261997
8,4,5,0.5,5.0,charge_fluctuation,1.0,0.37249730820922
8,4,5,0.5,5.0,fock_entropy_normalized,1.0,0.6205399540955201
8,4,5,0.5,5.0,pr_normalized,1.0,0.07458628659238933
8,4,5,0.5,5.0,Nres_mean_l1.0,1.0,1.2431111111109467
8,4,5,0.5,5.0,Nres_mean_l2.0,1.0,2.3807676767679333
8,4,5,0.5,5.0,fres_l1.0,1.0,0.21365972222218602
8,4,5,0.5,5.0,fres_l2.0,1.0,0.4091944444444533
8,5,5,0.625,5.0,onsite_pair_density,1.0,0.48588222391113994
8,5,5,0.625,5.0,onsite_pair_variance,1.0,7.203138607309267
8,5,5,0.625,5.0,charge_fluctuation,1.0,0.54694655217292
8,5,5,0.625,5.0,fock_entropy_normalized,1.0,0.6765000583774999
8,5,5,0.625,5.0,pr_normalized,1.0,0.07395493837592866
8,5,5,0.625,5.0,Nres_mean_l1.0,1.0,1.5541919191918268
8,5,5,0.625,5.0,Nres_mean_l2.0,1.0,2.963131313131333
8,5,5,0.625,5.0,fres_l1.0,1.0,0.23312878787871602
8,5,5,0.625,5.0,fres_l2.0,1.0,0.4444696969697
8,6,5,0.75,5.0,onsite_pair_density,1.0,0.73601267775712
8,6,5,0.75,5.0,onsite_pair_variance,1.0,11.486842451385133
8,6,5,0.75,5.0,charge_fluctuation,1.0,0.7073169407576533
8,6,5,0.75,5.0,fock_entropy_normalized,1.0,0.69001630283794
8,6,5,0.75,5.0,pr_normalized,1.0,0.0662588187560128
8,6,5,0.75,5.0,Nres_mean_l1.0,1.0,1.6542466822793467
8,6,5,0.75,5.0,Nres_mean_l2.0,1.0,3.1995940671351333
8,6,5,0.75,5.0,fres_l1.0,1.0,0.22353270042191667
8,6,5,0.75,5.0,fres_l2.0,1.0,0.43235021097048665
8,7,5,0.875,5.0,onsite_pair_density,1.0,1.0271235847899265
8,7,5,0.875,5.0,onsite_pair_variance,1.0,16.315032663826003
8,7,5,0.875,5.0,charge_fluctuation,1.0,0.9074703065537665
8,7,5,0.875,5.0,fock_entropy_normalized,1.0,0.7192799820283132
8,7,5,0.875,5.0,pr_normalized,1.0,0.06533309276178426
8,7,5,0.875,5.0,Nres_mean_l1.0,1.0,1.8295249406177003
8,7,5,0.875,5.0,Nres_mean_l2.0,1.0,3.511488519398801
8,7,5,0.875,5.0,fres_l1.0,1.0,0.227340613931546
8,7,5,0.875,5.0,fres_l2.0,1.0,0.43634494293582
8,4,5,0.5,6.0,onsite_pair_density,2.0,0.28143126195681994
8,4,5,0.5,6.0,onsite_pair_variance,1.0,3.4128833909023992
8,4,5,0.5,6.0,charge_fluctuation,1.0,0.332299509751
8,4,5,0.5,6.0,fock_entropy_normalized,1.0,0.56057767627502
8,4,5,0.5,6.0,pr_normalized,1.0,0.05564401760046134
8,4,5,0.5,6.0,Nres_mean_l1.0,1.0,1.1275151515149602
8,4,5,0.5,6.0,Nres_mean_l2.0,1.0,2.1852929292928733
8,4,5,0.5,6.0,fres_l1.0,1.0,0.1937916666666747
8,4,5,0.5,6.0,fres_l2.0,1.0,0.37559722222224207
8,5,5,0.625,6.0,onsite_pair_density,2.0,0.48127672326379334
8,5,5,0.625,6.0,onsite_pair_variance,1.0,6.4315638347676005
8,5,5,0.625,6.0,charge_fluctuation,2.0,0.44932177374448673
8,5,5,0.625,6.0,fock_entropy_normalized,1.0,0.5709555089794333
8,5,5,0.625,6.0,pr_normalized,1.0,0.04067608044065346
8,5,5,0.625,6.0,Nres_mean_l1.0,1.0,1.2571212121210797
8,5,5,0.625,6.0,Nres_mean_l2.0,1.0,2.4574074074071532
8,5,5,0.625,6.0,fres_l1.0,1.0,0.18856818181816
8,5,5,0.625,6.0,fres_l2.0,1.0,0.36861111111114003
8,6,5,0.75,6.0,onsite_pair_density,2.0,0.7314204101380334
8,6,5,0.75,6.0,onsite_pair_variance,1.0,10.821480194467535
8,6,5,0.75,6.0,charge_fluctuation,1.0,0.6323934608706933
8,6,5,0.75,6.0,fock_entropy_normalized,1.0,0.6302250472416067
8,6,5,0.75,6.0,pr_normalized,1.0,0.046917057552107864
8,6,5,0.75,6.0,Nres_mean_l1.0,1.0,1.5047775175645268
8,6,5,0.75,6.0,Nres_mean_l2.0,1.0,2.872630757220927
8,6,5,0.75,6.0,fres_l1.0,1.0,0.20333544303793
8,6,5,0.75,6.0,fres_l2.0,1.0,0.388168776371242
8,7,5,0.875,6.0,onsite_pair_density,2.0,1.026647314913573
8,7,5,0.875,6.0,onsite_pair_variance,1.0,15.654736364412669
8,7,5,0.875,6.0,charge_fluctuation,1.0,0.8302074510893733
8,7,5,0.875,6.0,fock_entropy_normalized,1.0,0.67120431131964
8,7,5,0.875,6.0,pr_normalized,1.0,0.046831931095710336
