L,N,nmax,filling,observable,U_at_maximum,sampled_W_near_Wstar,maximum_value
8,4,5,0.5,onsite_pair_variance,1.0,5.0,3.6864444496261997
8,4,5,0.5,charge_fluctuation,1.0,5.0,0.37249730820922
8,4,5,0.5,fock_entropy_normalized,1.0,5.0,0.6205399540955201
8,4,5,0.5,pr_normalized,1.0,5.0,0.07458628659238933
8,4,5,0.5,Nres_mean_l1.0,10.0,2.0,1.4954343434342285
8,4,5,0.5,Nres_mean_l2.0,9.0,2.0,2.424565656565514
8,4,5,0.5,fres_l1.0,10.0,2.0,0.25702777777774866
8,4,5,0.5,fres_l2.0,9.0,2.0,0.41672222222224
8,5,5,0.625,onsite_pair_variance,1.0,5.0,7.203138607309267
8,5,5,0.625,charge_fluctuation,1.0,5.0,0.54694655217292
8,5,5,0.625,fock_entropy_normalized,1.0,5.0,0.6765000583774999
8,5,5,0.625,pr_normalized,1.0,5.0,0.07395493837592866
8,5,5,0.625,Nres_mean_l1.0,1.0,5.0,1.5541919191918268
8,5,5,0.625,Nres_mean_l2.0,1.0,5.0,2.963131313131333
8,5,5,0.625,fres_l1.0,1.0,5.0,0.23312878787871602
8,5,5,0.625,fres_l2.0,1.0,5.0,0.4444696969697
8,6,5,0.75,onsite_pair_variance,1.0,6.0,10.821480194467535
8,6,5,0.75,charge_fluctuation,1.0,6.0,0.6323934608706933
8,6,5,0.75,fock_entropy_normalized,1.0,6.0,0.6302250472416067
8,6,5,0.75,pr_normalized,1.0,6.0,0.046917057552107864
8,6,5,0.75,Nres_mean_l1.0,8.0,1.0,2.410304449649133
8,6,5,0.75,Nres_mean_l2.0,7.0,1.0,2.9414519906300005
8,6,5,0.75,fres_l1.0,8.0,1.0,0.32569620253156
8,6,5,0.75,fres_l2.0,7.0,1.0,0.39746835443
8,7,5,0.875,onsite_pair_variance,1.0,6.0,15.654736364412669
8,7,5,0.875,charge_fluctuation,1.0,6.0,0.8302074510893733
8,7,5,0.875,fock_entropy_normalized,1.0,6.0,0.67120431131964
8,7,5,0.875,pr_normalized,1.0,6.0,0.046831931095710336
8,7,5,0.875,Nres_mean_l1.0,8.0,0.5,2.8693586698300004
8,7,5,0.875,Nres_mean_l2.0,1.0,6.0,3.218923198733333
8,7,5,0.875,fres_l1.0,10.0,0.1,0.3565525383709999
8,7,5,0.875,fres_l2.0,1.0,6.0,0.3999901613538
