L,N,nmax,observable,Wmin,Wmax,intercept_b,slope_c,R2,RMSE,slope_ci_low,slope_ci_high,eta_to_M,eta_ci_low,eta_ci_high,direct_intercept_q,direct_eta,direct_R2,direct_eta_ci_low,direct_eta_ci_high,bootstrap_valid
7,5,5,M_sum,0.8,2.4000000000000004,0.013806642155344355,0.0020142357440287653,0.03648073696259502,0.004771865180248741,-0.014987972641463584,0.023303346965095173,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,407
7,5,5,M_sum,1.0,2.4000000000000004,0.010546168887352316,0.0037006874343694747,0.1072470114622125,0.004613057292953395,-0.017994650383173647,0.022929993026402515,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,410
7,5,5,M_sum,1.2,2.4000000000000004,0.004448033975670749,0.006728040357621338,0.3916370373928211,0.003137560511837208,-0.023900150812270187,0.02189451126567862,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,452
7,5,5,M_sum,1.4,2.4000000000000004,0.005524282406394386,0.006204367487060222,0.24975528550460147,0.003400491093182782,-0.0286679972548698,0.021632146230441667,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,463
7,5,5,S2_sum,0.8,2.5,0.018846021844911815,0.0009856289810442527,0.009909763810732164,0.005111281970280228,-0.012568086499406059,0.026334017884813002,-1.1113979969246335,-5.169430096654463,5.223027224967726,0.016515262255695433,0.21768996558814763,0.06206324997925561,-0.23431859005367223,1.0910739009159864,404
7,5,5,S2_sum,1.0,2.5,0.019491907246368418,0.0006510180038946424,0.0031579854340945124,0.005331882524246447,-0.017230825514620445,0.026180782405875843,0.17382400098520892,-4.155338603561467,4.440163748665824,0.011656546366055317,0.526835357584089,0.22319058887814136,-0.33732587844495976,1.0979695760222659,431
7,5,5,S2_sum,1.2,2.5,0.012735392549451252,0.003930690022481332,0.08805977332556214,0.00509905720300545,-0.021754175424205626,0.025842543607413466,0.6174780582571909,-4.0857532440872735,4.672395498413095,0.009856189981233597,0.6040693425199006,0.2023618870879822,-0.43920093076530625,1.130499729501795,465
7,5,5,S2_sum,1.4,2.5,0.003369836087048519,0.008293662709791594,0.526954093303762,0.002712620367203653,-0.024426607733567803,0.025578214054760202,1.4284116707140244,-3.2274211021128325,4.025292914791641,0.003947391178366223,0.8892913931994129,0.7463477262606677,-0.6060827313432888,1.1978285649245624,482
7,5,5,Sstar_mean,0.8,2.5,-0.1398144340615838,0.17231381283644834,0.9508956103341095,0.020898619036304047,0.1298458641489586,0.19470157736270785,-192.67406022105334,-202.17175969808378,185.61609033177,0.1643015753655963,-1.0590866684552913,0.004611164672150836,-7.796554597559106,30.52470003610915,454
7,5,5,Sstar_mean,1.0,2.5,-0.1535750239007802,0.17918854761917477,0.9405137620989786,0.02137920311084848,0.12616768118222854,0.20906553881034046,47.208681992001424,-424.7699814228308,168.26872356077422,0.07013219313277094,5.3915411439597305,0.09247644509640562,-7.153440206377023,30.552677530860343,485
