L,N,nmax,W_over_t,observable,U_peak,U_peak_ci_low,U_peak_ci_high,peak_value,curvature,fit_method,quality_flag,bootstrap_valid,n_samples
7,5,5,0.8,M_sum,0.033111914469223916,0.003374146890474097,0.0237423892346264,5.500937306741247,-1.5774126157355408,local_parabola_5_points,vertex_outside_fit_window,794,300
7,5,5,0.8,M_per_edge,0.0,nan,nan,0.9477035672408017,nan,local_parabola_5_points,boundary,0,300
7,5,5,0.8,S2_sum,0.016460753843151273,0.003720909883240352,0.024141075140336143,3.86805448582436,-27.80401123537501,local_parabola_5_points,ok,823,300
7,5,5,0.8,S2_per_edge,0.0,nan,nan,0.6663246269036828,nan,local_parabola_5_points,boundary,0,300
7,5,5,0.8,Sstar_mean,0.01585135828630579,0.0032477617038202287,0.024518954545345063,1.477393984771181,-0.8947286644256043,local_parabola_5_points,ok,870,300
7,5,5,0.9,M_sum,0.021522035241162713,0.002525277271316244,0.025011812936896822,5.434179624244322,-61.22008667317812,local_parabola_5_points,ok,864,300
7,5,5,0.9,M_per_edge,0.0,nan,nan,0.9361744735487779,nan,local_parabola_5_points,boundary,0,300
7,5,5,0.9,S2_sum,0.021941800051331034,0.0034827096723489817,0.02565651413699776,3.832746410050274,-42.31368249858515,local_parabola_5_points,ok,878,300
7,5,5,0.9,S2_per_edge,0.0,nan,nan,0.660243517320443,nan,local_parabola_5_points,boundary,0,300
7,5,5,0.9,Sstar_mean,0.022369104736455366,0.004634470692228467,0.0265931729194162,1.4733744489527085,-7.180937146113028,local_parabola_5_points,ok,933,300
7,5,5,1.0,M_sum,0.010294811390539484,0.0031104913499477105,0.028605978893083982,5.3636765778332585,-9.101605042781141,local_parabola_5_points,ok,818,300
7,5,5,1.0,M_per_edge,0.0,nan,nan,0.9241388200721843,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.0,S2_sum,0.022397710107272407,0.0028621608455879433,0.02911777412944532,3.795268729768331,-18.76591678074664,local_parabola_5_points,ok,834,300
7,5,5,1.0,S2_per_edge,0.0,nan,nan,0.6538354695761943,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.0,Sstar_mean,0.021418174490292867,0.005657527618376835,0.029164022243376643,1.4687593138951975,-2.8534745106507176,local_parabola_5_points,ok,894,300
7,5,5,1.1,M_sum,0.027004665444107644,0.004220057049341883,0.03090065581371727,5.291939714215109,-49.589907355866835,local_parabola_5_points,ok,877,300
7,5,5,1.1,M_per_edge,0.0,nan,nan,0.9117358226095554,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.1,S2_sum,0.02760094266908821,0.004740704822445795,0.03199886436121075,3.7566772804372297,-34.47061978718286,local_parabola_5_points,ok,894,300
7,5,5,1.1,S2_per_edge,0.0,nan,nan,0.6471699290242413,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.1,Sstar_mean,0.02697789966889429,0.006520879296333756,0.08496683159241664,1.463712691882987,-5.952668893509279,local_parabola_5_points,ok,935,300
7,5,5,1.2000000000000002,M_sum,0.012125099288039726,0.00507372821702651,0.03359903103723534,5.21823834524581,-10.97031262214396,local_parabola_5_points,ok,889,300
7,5,5,1.2000000000000002,M_per_edge,0.0,nan,nan,0.8990843840411855,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.2000000000000002,S2_sum,0.012937471677444,0.0054158322575497166,0.03436789021988445,3.7164631733108786,-7.0529520382387965,local_parabola_5_points,ok,903,300
7,5,5,1.2000000000000002,S2_per_edge,0.0,nan,nan,0.640307970938628,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.2000000000000002,Sstar_mean,0.010921794367191692,0.006420582742412998,0.10211596336568803,1.458290425131959,-4.510670730142759,local_parabola_5_points,ok,955,300
7,5,5,1.3,M_sum,0.012697099814122521,0.005187151324364982,0.03639453352644392,5.143701637945998,-6.498371636917179,local_parabola_5_points,ok,829,300
7,5,5,1.3,M_per_edge,0.0,nan,nan,0.8862846252357476,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.3,S2_sum,0.03265315514343438,0.005726594454074851,0.037429025828450514,3.6758477172014414,-25.70043217934546,local_parabola_5_points,ok,853,300
7,5,5,1.3,S2_per_edge,0.0,nan,nan,0.6333026099139588,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.3,Sstar_mean,0.1050265583801058,0.008065420134106096,0.12623403683233264,1.4530044436802734,-2.329989769119665,local_parabola_5_points,ok,943,300
7,5,5,1.4000000000000001,M_sum,0.014350592269123092,0.005727179052025777,0.038608947581893927,5.069169141542866,-17.980385234357485,local_parabola_5_points,ok,834,300
7,5,5,1.4000000000000001,M_per_edge,0.0,nan,nan,0.8734198670998394,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.4000000000000001,S2_sum,0.014921133179906527,0.0068125427002988575,0.039625862233590575,3.634520008611699,-12.20217892654642,local_parabola_5_points,ok,853,300
7,5,5,1.4000000000000001,S2_per_edge,0.0,nan,nan,0.6261993869410444,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.4000000000000001,Sstar_mean,0.1154242201650128,0.09638938142873393,0.1377185445999746,1.4476474984066356,-2.6660978203983934,local_parabola_5_points,ok,968,300
7,5,5,1.5,M_sum,0.01734015006324311,0.004880732006526797,0.04159331925832622,4.9941014745393675,-9.461044209969234,local_parabola_5_points,ok,755,300
7,5,5,1.5,M_per_edge,0.0,nan,nan,0.8605587423887611,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.5,S2_sum,0.018491950286212294,0.005349154093741878,0.042724999230548406,3.5926743483955024,-6.191732244697158,local_parabola_5_points,ok,802,300
7,5,5,1.5,S2_per_edge,0.0,nan,nan,0.6190370904946824,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.5,Sstar_mean,0.12217901205157779,0.11172155185994156,0.17206395674042785,1.4418649571920548,-1.7231005239441082,local_parabola_5_points,ok,958,300
7,5,5,1.6,M_sum,0.01753661691275563,0.006536505584209403,0.04415186158773719,4.9200088450688,-18.576609936710522,local_parabola_5_points,ok,781,300
7,5,5,1.6,M_per_edge,0.0,nan,nan,0.8477572472273277,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.6,S2_sum,0.01806887745846151,0.00727565409343199,0.04518373272970744,3.5511012083888027,-12.808072262095509,local_parabola_5_points,ok,825,300
7,5,5,1.6,S2_per_edge,0.0,nan,nan,0.6118485177392057,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.6,Sstar_mean,0.16568363721544518,0.12113038773171056,0.18957093935995278,1.4359871412656129,-0.2873686981363944,local_parabola_5_points,vertex_outside_fit_window,951,300
7,5,5,1.7000000000000002,M_sum,0.012122250555567532,0.0037470808746315463,0.04686614238902471,4.8462306868953595,-5.617669593327294,local_parabola_5_points,ok,801,300
7,5,5,1.7000000000000002,M_per_edge,0.0,nan,nan,0.8350606315641688,nan,local_parabola_5_points,boundary,0,300
7,5,5,1.7000000000000002,S2_sum,0.013248760267862335,0.003994641265760218,0.047962159005661156,3.509300179655963,-3.96065583342618,local_parabola_5_points,ok,827,300
