L,N,nmax,W,U_max_used,s_infinity_estimate,D_full,D_hardcore,lnDhc_over_lnD,ratio_to_hardcore_bound
9,8,2,10.0,10.0,0.26813451179821335,2907,9,0.27551830639319824,0.9732003484935505
9,8,2,11.0,10.0,0.25620719101425665,2907,9,0.27551830639319824,0.9299098646774409
9,8,2,12.0,10.0,0.2501871651738667,2907,9,0.27551830639319824,0.908060043084103
9,8,2,13.0,10.0,0.23941267331811167,2907,9,0.27551830639319824,0.868953778252544
9,8,2,14.0,10.0,0.22994262733288334,2907,9,0.27551830639319824,0.8345820295683988
9,8,2,15.0,10.0,0.22206475642413503,2907,9,0.27551830639319824,0.805989116771143
9,9,2,1.0,10.0,0.7909391443085466,3139,1,0.0,nan
9,9,2,2.0,10.0,0.73266825652447,3139,1,0.0,nan
9,9,2,3.0,10.0,0.6249065768923066,3139,1,0.0,nan
9,9,2,4.0,10.0,0.5270818392879717,3139,1,0.0,nan
9,9,2,5.0,10.0,0.44330144939635174,3139,1,0.0,nan
9,9,2,6.0,10.0,0.38510022775620834,3139,1,0.0,nan
9,9,2,7.0,10.0,0.35167436288182496,3139,1,0.0,nan
9,9,2,8.0,10.0,0.32243044688986666,3139,1,0.0,nan
9,9,2,9.0,10.0,0.29291910815453337,3139,1,0.0,nan
9,9,2,10.0,10.0,0.28420088430776,3139,1,0.0,nan
9,9,2,11.0,10.0,0.2687322864765233,3139,1,0.0,nan
9,9,2,12.0,10.0,0.2618630776046317,3139,1,0.0,nan
9,9,2,13.0,10.0,0.2524228877723217,3139,1,0.0,nan
9,9,2,14.0,10.0,0.24170668478276003,3139,1,0.0,nan
9,9,2,15.0,10.0,0.23341742060988,3139,1,0.0,nan
9,10,2,1.0,10.0,0.7524753485576701,2907,0,nan,nan
9,10,2,2.0,10.0,0.6917564412711867,2907,0,nan,nan
9,10,2,3.0,10.0,0.6035254930303133,2907,0,nan,nan
9,10,2,4.0,10.0,0.5193655555432,2907,0,nan,nan
9,10,2,5.0,10.0,0.45229995375196663,2907,0,nan,nan
9,10,2,6.0,10.0,0.40075647982479334,2907,0,nan,nan
9,10,2,7.0,10.0,0.36094787564683667,2907,0,nan,nan
9,10,2,8.0,10.0,0.33199815204178,2907,0,nan,nan
9,10,2,9.0,10.0,0.3114094975954917,2907,0,nan,nan
9,10,2,10.0,10.0,0.295907853891895,2907,0,nan,nan
9,10,2,11.0,10.0,0.2833842700315816,2907,0,nan,nan
9,10,2,12.0,10.0,0.27615675968181663,2907,0,nan,nan
9,10,2,13.0,10.0,0.26316130080282996,2907,0,nan,nan
9,10,2,14.0,10.0,0.252523593002275,2907,0,nan,nan
9,10,2,15.0,10.0,0.24278704178086,2907,0,nan,nan
9,11,2,1.0,10.0,0.7962399823213516,2304,0,nan,nan
9,11,2,2.0,10.0,0.74893325954721,2304,0,nan,nan
9,11,2,3.0,10.0,0.6579760615275451,2304,0,nan,nan
9,11,2,4.0,10.0,0.5591555587174868,2304,0,nan,nan
9,11,2,5.0,10.0,0.4837485017836583,2304,0,nan,nan
9,11,2,6.0,10.0,0.42683971369491003,2304,0,nan,nan
9,11,2,7.0,10.0,0.3822694717096517,2304,0,nan,nan
9,11,2,8.0,10.0,0.35000833696135336,2304,0,nan,nan
9,11,2,9.0,10.0,0.32468246454827,2304,0,nan,nan
9,11,2,10.0,10.0,0.3102019257814833,2304,0,nan,nan
9,11,2,11.0,10.0,0.2964412063306183,2304,0,nan,nan
9,11,2,12.0,10.0,0.28786949367188497,2304,0,nan,nan
9,11,2,13.0,10.0,0.27302116445374497,2304,0,nan,nan
9,11,2,14.0,10.0,0.26244157263982004,2304,0,nan,nan
9,11,2,15.0,10.0,0.2537511290456183,2304,0,nan,nan
