# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.326154773469213524e+02 1.326122028742526595e+02 1.999800019997333795e-04 5.821596920969181355e+00
1.011591112223829728e-04 1.326139190771110350e+02 1.326112851196771771e+02 2.022977581832760541e-04 5.816589413725073321e+00
1.023316578330244966e-04 1.326123244901930889e+02 1.326102238729937426e+02 2.046423742725537011e-04 5.811581442361829275e+00
1.035177955630176228e-04 1.326106927401505686e+02 1.326090229018843729e+02 2.070141614763123497e-04 5.806573019274930303e+00
1.047176819485520245e-04 1.326090229612775033e+02 1.326076898941204263e+02 2.094134346075829226e-04 5.801564169698032458e+00
1.059314763518370031e-04 1.326073142677203975e+02 1.326062353667790035e+02 2.118405121253895179e-04 5.796554928131422812e+00
1.071593399822671198e-04 1.326055657530110636e+02 1.326046713894911591e+02 2.142957161769398083e-04 5.791545334161321890e+00
1.084014359178331018e-04 1.326037764895871192e+02 1.326030103328811265e+02 2.167793726403025999e-04 5.786535428361466060e+00
1.096579291267809898e-04 1.326019455283027639e+02 1.326012638170891762e+02 2.192918111675785128e-04 5.781525248849701093e+00
1.109289864895222780e-04 1.326000718979272222e+02 1.325994419680803844e+02 2.218333652285692595e-04 5.776514828852335803e+00
1.122147768207980290e-04 1.325981546046320432e+02 1.325975530131987909e+02 2.244043721549514021e-04 5.771504195379361768e+00
1.135154708920999033e-04 1.325961926314666925e+02 1.325956031821895351e+02 2.270051731849600921e-04 5.766493368899991978e+00
1.148312414543511137e-04 1.325941849378214954e+02 1.325935968382752321e+02 2.296361135085894041e-04 5.761482363771633253e+00
1.161622632608501891e-04 1.325921304588786143e+02 1.325915367489826053e+02 2.322975423133139818e-04 5.756471189126584065e+00
1.175087130904807617e-04 1.325900281050499814e+02 1.325894244136225666e+02 2.349898128303393684e-04 5.751459849944342118e+00
1.188707697711903309e-04 1.325878767614027822e+02 1.325872603848506230e+02 2.377132823813860615e-04 5.746448348104597592e+00
1.202486142037412301e-04 1.325856752870715525e+02 1.325850445463976257e+02 2.404683124260139629e-04 5.741436683296731402e+00
1.216424293857368039e-04 1.325834225146559504e+02 1.325827770752995889e+02 2.432552686094931291e-04 5.736424856171575826e+00
1.230524004359261579e-04 1.325811172496053132e+02 1.325804567692225362e+02 2.460745208112275753e-04 5.731412862862314661e+00
1.244787146187906256e-04 1.325787582695890592e+02 1.325780823978713272e+02 2.489264431937378481e-04 5.726400699410988615e+00
1.259215613694150942e-04 1.325763443238525383e+02 1.325756527023418982e+02 2.518114142522093635e-04 5.721388361766360120e+00
1.273811323186478520e-04 1.325738741325577053e+02 1.325731663944578997e+02 2.547298168646127152e-04 5.716375845781723086e+00
1.288576213185518003e-04 1.325713463861084733e+02 1.325706221560912184e+02 2.576820383424025126e-04 5.711363147212665581e+00
1.303512244681508938e-04 1.325687597444611470e+02 1.325680186384685442e+02 2.606684704818018248e-04 5.706350261714778327e+00
1.318621401394748458e-04 1.325661128364187107e+02 1.325653544614601174e+02 2.636895096156779473e-04 5.701337184841306360e+00
1.333905690039058638e-04 1.325634042589085198e+02 1.325626282128535820e+02 2.667455566660177873e-04 5.696323912040753612e+00
1.349367140588306430e-04 1.325606325762436200e+02 1.325598384476108436e+02 2.698370171970083421e-04 5.691310438654425319e+00
1.365007806546013845e-04 1.325577963193670712e+02 1.325569836871057419e+02 2.729643014687300768e-04 5.686296759913909149e+00
1.380829765218092263e-04 1.325548939850787633e+02 1.325540624183484795e+02 2.761278244914698696e-04 5.681282870938510143e+00
1.396835117988739626e-04 1.325519240352450367e+02 1.325510730931875401e+02 2.793280060806610596e-04 5.676268766732613713e+00
1.413025990599533599e-04 1.325488848959886923e+02 1.325480141274962307e+02 2.825652709124569940e-04 5.671254442182990019e+00
1.429404533431761061e-04 1.325457749568619477e+02 1.325448839003394710e+02 2.858400485799463138e-04 5.666239892056037064e+00
1.445972921792019463e-04 1.325425925699995560e+02 1.325416807531217671e+02 2.891527736500166482e-04 5.661225110994961618e+00
1.462733356201129868e-04 1.325393360492525403e+02 1.325384029887149495e+02 2.925038857208746290e-04 5.656210093516885529e+00
1.479688062686396383e-04 1.325360036693020334e+02 1.325350488705671239e+02 2.958938294802293295e-04 5.651194834009893420e+00
1.496839293077255632e-04 1.325325936647529090e+02 1.325316166217892544e+02 2.993230547641470953e-04 5.646179326730006665e+00
1.514189325304352018e-04 1.325291042292066095e+02 1.325281044242233861e+02 3.027920166165852479e-04 5.641163565798085422e+00
1.531740463702079740e-04 1.325255335143124285e+02 1.325245104174863116e+02 3.063011753496128480e-04 5.636147545196662278e+00
1.549495039314631646e-04 1.325218796287975067e+02 1.325208326979943081e+02 3.098509966043256183e-04 5.631131258766698622e+00
1.567455410205595065e-04 1.325181406374736355e+02 1.325170693179636601e+02 3.134419514124640264e-04 5.626114700204263741e+00
