# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.322553016308920348e+02 1.322520327374393787e+02 1.999800019997333795e-04 5.820415787555551113e+00
1.011591112223829728e-04 1.322537460159462341e+02 1.322511165466434022e+02 2.022977581832760541e-04 5.815408277261358450e+00
1.023316578330244966e-04 1.322521541458522449e+02 1.322500571082681802e+02 2.046423742725537011e-04 5.810400302371190762e+00
1.035177955630176228e-04 1.322505251760405827e+02 1.322488581835881405e+02 2.070141614763123497e-04 5.805391875293067550e+00
1.047176819485520245e-04 1.322488582422859622e+02 1.322475274472886326e+02 2.094134346075829226e-04 5.800383021286214635e+00
1.059314763518370031e-04 1.322471524602516126e+02 1.322460753985403414e+02 2.118405121253895179e-04 5.795373774885894669e+00
1.071593399822671198e-04 1.322454069250202053e+02 1.322445140864227255e+02 2.142957161769398083e-04 5.790364175718464956e+00
1.084014359178331018e-04 1.322436207106170798e+02 1.322428558604952400e+02 2.167793726403025999e-04 5.785354264398796964e+00
1.096579291267809898e-04 1.322417928695217313e+02 1.322411123211108759e+02 2.192918111675785128e-04 5.780344079083380215e+00
1.109289864895222780e-04 1.322399224321658835e+02 1.322392935769939299e+02 2.218333652285692595e-04 5.775333653032203252e+00
1.122147768207980290e-04 1.322380084064232335e+02 1.322374078414808878e+02 2.244043721549514021e-04 5.770323013282619762e+00
1.135154708920999033e-04 1.322360497770849577e+02 1.322354613337133742e+02 2.270051731849600921e-04 5.765312180324573710e+00
1.148312414543511137e-04 1.322340455053237918e+02 1.322334584094909928e+02 2.296361135085894041e-04 5.760301168529994520e+00
1.161622632608501891e-04 1.322319945281459752e+02 1.322314018316355089e+02 2.322975423133139818e-04 5.755289987040400845e+00
1.175087130904807617e-04 1.322298957578309455e+02 1.322292930969145175e+02 2.349898128303393684e-04 5.750278640840295274e+00
1.188707697711903309e-04 1.322277480813566228e+02 1.322271327570535959e+02 2.377132823813860615e-04 5.745267131811226058e+00
1.202486142037412301e-04 1.322255503598126722e+02 1.322249206959935748e+02 2.404683124260139629e-04 5.740255459642210845e+00
1.216424293857368039e-04 1.322233014278002088e+02 1.322226570904817322e+02 2.432552686094931291e-04 5.735243624984695643e+00
1.230524004359261579e-04 1.322210000928170928e+02 1.322203407402458311e+02 2.460745208112275753e-04 5.730231623967891430e+00
1.244787146187906256e-04 1.322186451346289857e+02 1.322179704171007302e+02 2.489264431937378481e-04 5.725219452629775496e+00
1.259215613694150942e-04 1.322162353046264514e+02 1.322155448643024727e+02 2.518114142522093635e-04 5.720207106914952710e+00
1.273811323186478520e-04 1.322137693251672204e+02 1.322130627958846674e+02 2.547298168646127152e-04 5.715194582672463497e+00
1.288576213185518003e-04 1.322112458889026243e+02 1.322105228959816827e+02 2.576820383424025126e-04 5.710181875653545625e+00
1.303512244681508938e-04 1.322086636580887955e+02 1.322079238181349865e+02 2.606684704818018248e-04 5.705168981509336490e+00
1.318621401394748458e-04 1.322060212638823486e+02 1.322052641845848768e+02 2.636895096156779473e-04 5.700155895788528326e+00
1.333905690039058638e-04 1.322033173056199757e+02 1.322025425855440233e+02 2.667455566660177873e-04 5.695142613934964793e+00
1.349367140588306430e-04 1.322005503500800216e+02 1.321997575784560013e+02 2.698370171970083421e-04 5.690129131285184272e+00
1.365007806546013845e-04 1.321977189307294509e+02 1.321969076872354094e+02 2.729643014687300768e-04 5.685115443065900109e+00
1.380829765218092263e-04 1.321948215469504930e+02 1.321939914014921555e+02 2.761278244914698696e-04 5.680101544391427559e+00
1.396835117988739626e-04 1.321918566632527074e+02 1.321910071757355638e+02 2.793280060806610596e-04 5.675087430261046784e+00
1.413025990599533599e-04 1.321888227084643290e+02 1.321879534285623947e+02 2.825652709124569940e-04 5.670073095556309006e+00
1.429404533431761061e-04 1.321857180749068164e+02 1.321848285418250271e+02 2.858400485799463138e-04 5.665058535038271614e+00
1.445972921792019463e-04 1.321825411175481690e+02 1.321816308597808529e+02 2.891527736500166482e-04 5.660043743344677303e+00
1.462733356201129868e-04 1.321792901531401299e+02 1.321783586882214649e+02 2.925038857208746290e-04 5.655028714987057725e+00
1.479688062686396383e-04 1.321759634593324222e+02 1.321750102935834548e+02 2.958938294802293295e-04 5.650013444347781189e+00
1.496839293077255632e-04 1.321725592737682291e+02 1.321715839020366161e+02 2.993230547641470953e-04 5.644997925677018635e+00
1.514189325304352018e-04 1.321690757931587541e+02 1.321680776985531054e+02 3.027920166165852479e-04 5.639982153089647454e+00
1.531740463702079740e-04 1.321655111723360108e+02 1.321644898259542344e+02 3.063011753496128480e-04 5.634966120562078906e+00
1.549495039314631646e-04 1.321618635232845236e+02 1.321608183839356343e+02 3.098509966043256183e-04 5.629949821929013609e+00
1.567455410205595065e-04 1.321581309141506324e+02 1.321570614280702216e+02 3.134419514124640264e-04 5.624933250880117086e+00
1.585623961771137158e-04 1.321543113682286332e+02 1.321532169687878877e+02 3.170745162587414656e-04 5.619916400956621594e+00
1.604003107056819902e-04 1.321504028629243237e+02 1.321492829703319956e+02 3.207491731438919663e-04 5.614899265547844465e+00
1.622595287078087002e-04 1.321464033286943618e+02 1.321452573496926846e+02 3.244664096484443775e-04 5.609881837887630951e+00
1.641402971144466361e-04 1.321423106479617502e+02 1.321411379755143969e+02 3.282267189972323958e-04 5.604864111050705588e+00
1.660428657187529582e-04 1.321381226540058265e+02 1.321369226669800412e+02 3.320306001246483034e-04 5.599846077948946288e+00
1.679674872092653225e-04 1.321338371298278673e+02 1.321326091926676440e+02 3.358785577406489791e-04 5.594827731327564280e+00
1.699144172034625999e-04 1.321294518069900334e+02 1.321281952693826724e+02 3.397711023975232372e-04 5.589809063761197905e+00
1.718839142817145534e-04 1.321249643644271714e+02 1.321236785609627589e+02 3.437087505574287316e-04 5.584790067649916701e+00
1.738762400216250527e-04 1.321203724272337183e+02 1.321190566770553971e+02 3.476920246607074268e-04 5.579770735215125121e+00
1.758916590327732731e-04 1.321156735654199110e+02 1.321143271718677852e+02 3.517214531949887954e-04 5.574751058495380995e+00
1.779304389918577296e-04 1.321108652926419609e+02 1.321094875428873365e+02 3.557975707650890365e-04 5.569731029342102957e+00
1.799928506782476454e-04 1.321059450649022153e+02 1.321045352295745658e+02 3.599209181637167787e-04 5.564710639415189952e+00
1.820791680099462359e-04 1.321009102792203578e+02 1.320994676120252507e+02 3.640920424429929100e-04 5.559689880178528831e+00
1.841896680799710861e-04 1.320957582722732866e+02 1.320942820096010166e+02 3.683114969867951061e-04 5.554668742895398914e+00
1.863246311931559835e-04 1.320904863190041851e+02 1.320889756795313019e+02 3.725798415839356222e-04 5.549647218623775302e+00
1.884843409033795474e-04 1.320850916312021468e+02 1.320835458154815001e+02 3.768976425021829200e-04 5.544625298211509623e+00
1.906690840512252085e-04 1.320795713560454203e+02 1.320779895460889861e+02 3.812654725631356933e-04 5.539602972291412186e+00
1.928791508020777693e-04 1.320739225746156933e+02 1.320723039334665998e+02 3.856839112179594859e-04 5.534580231276206241e+00
1.951148346846616412e-04 1.320681423003760528e+02 1.320664859716706303e+02 3.901535446239965256e-04 5.529557065353370326e+00
1.973764326300255292e-04 1.320622274776143001e+02 1.320605325851358032e+02 3.946749657222570142e-04 5.524533464479859823e+00
1.996642450109793374e-04 1.320561749798536084e+02 1.320544406270735749e+02 3.992487743158042342e-04 5.519509418376704168e+00
2.019785756819878484e-04 1.320499816082236748e+02 1.320482068778345024e+02 4.038755771490413322e-04 5.514484916523474389e+00
2.043197320195270594e-04 1.320436440897971409e+02 1.320418280432333802e+02 4.085559879879120844e-04 5.509459948152624520e+00
2.066880249629082160e-04 1.320371590758874731e+02 1.320353007528366334e+02 4.132906277010250777e-04 5.504434502243699789e+00
2.090837690555749911e-04 1.320305231403097821e+02 1.320286215582107445e+02 4.180801243417118758e-04 5.499408567517406254e+00
2.115072824868794756e-04 1.320237327775991787e+02 1.320217869311314871e+02 4.229251132310303941e-04 5.494382132429546317e+00
2.139588871343421563e-04 1.320167844011928651e+02 1.320147932617520894e+02 4.278262370417234553e-04 5.489355185164804141e+00
2.164389086064020347e-04 1.320096743415680010e+02 1.320076368567306133e+02 4.327841458831445626e-04 5.484327713630396062e+00
2.189476762856620634e-04 1.320023988443390124e+02 1.320003139373147008e+02 4.377994973871608101e-04 5.479299705449559355e+00
2.214855233726359179e-04 1.319949540683118414e+02 1.319928206373834030e+02 4.428729567950449105e-04 5.474271147954901551e+00
2.240527869300018224e-04 1.319873360834937159e+02 1.319851530014449565e+02 4.480051970453672368e-04 5.469242028181581006e+00
2.266498079273692845e-04 1.319795408690604006e+02 1.319773069825895107e+02 4.531968988628995334e-04 5.464212332860338250e+00
2.292769312865648647e-04 1.319715643112740793e+02 1.319692784403947599e+02 4.584487508485416253e-04 5.459182048410354149e+00
2.319345059274427543e-04 1.319634022013566437e+02 1.319610631387868693e+02 4.637614495702829451e-04 5.454151160931949960e+00
2.346228848142262321e-04 1.319550502333167401e+02 1.319526567438512359e+02 4.691356996552108020e-04 5.449119656199106210e+00
2.373424250023866149e-04 1.319465040017243211e+02 1.319440548215946762e+02 4.745722138825771044e-04 5.444087519651815477e+00
2.400934876860651764e-04 1.319377589994388131e+02 1.319352528356585026e+02 4.800717132779357848e-04 5.439054736388245992e+00
2.428764382460450548e-04 1.319288106152842772e+02 1.319262461449793875e+02 4.856349272083631814e-04 5.434021291156732936e+00
2.456916462982790305e-04 1.319196541316736671e+02 1.319170300013980750e+02 4.912625934787734090e-04 5.428987168347566339e+00
2.485394857429798422e-04 1.319102847221793695e+02 1.319075995472151703e+02 4.969554584293418929e-04 5.423952351984601350e+00
2.514203348142796828e-04 1.319006974490511368e+02 1.318979498126913654e+02 5.027142770340490468e-04 5.418916825716661556e+00
2.543345761304648361e-04 1.318908872606749867e+02 1.318880757134944872e+02 5.085398130003566160e-04 5.413880572808744240e+00
