# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.324789533219745010e+02 1.324756805601066958e+02 1.999800019997333795e-04 5.821149590882539471e+00
1.011591112223829728e-04 1.324773958662249242e+02 1.324747632850538253e+02 2.022977581832760541e-04 5.816142082113055167e+00
1.023316578330244966e-04 1.324758021123769538e+02 1.324737025928798175e+02 2.046423742725537011e-04 5.811134108985956281e+00
1.035177955630176228e-04 1.324741712148587567e+02 1.324725022493039148e+02 2.070141614763123497e-04 5.806125683902993551e+00
1.047176819485520245e-04 1.324725023084191378e+02 1.324711699380862342e+02 2.094134346075829226e-04 5.801116832110606580e+00
1.059314763518370031e-04 1.324707945076701208e+02 1.324697161708146780e+02 2.118405121253895179e-04 5.796107588126572452e+00
1.071593399822671198e-04 1.324690469066202070e+02 1.324681530108204583e+02 2.142957161769398083e-04 5.791097991557180968e+00
1.084014359178331018e-04 1.324672585781949579e+02 1.324664928222699984e+02 2.167793726403025999e-04 5.786088082996736937e+00
1.096579291267809898e-04 1.324654285737474879e+02 1.324647472192374948e+02 2.192918111675785128e-04 5.781077900582410223e+00
1.109289864895222780e-04 1.324635559225583279e+02 1.324629263224028932e+02 2.218333652285692595e-04 5.776067477557350394e+00
1.122147768207980290e-04 1.324616396313218729e+02 1.324610383548165089e+02 2.244043721549514021e-04 5.771056840945230526e+00
1.135154708920999033e-04 1.324596786836228830e+02 1.324590895429732313e+02 2.270051731849600921e-04 5.766046011225627765e+00
1.148312414543511137e-04 1.324576720393992844e+02 1.324570842478209727e+02 2.296361135085894041e-04 5.761035002763210677e+00
1.161622632608501891e-04 1.324556186343940283e+02 1.324550252354448503e+02 2.322975423133139818e-04 5.756023824694883828e+00
1.175087130904807617e-04 1.324535173795930518e+02 1.324529140043775897e+02 2.349898128303393684e-04 5.751012482002648696e+00
1.188707697711903309e-04 1.324513671606509320e+02 1.324507511069910777e+02 2.377132823813860615e-04 5.746000976567120944e+00
1.202486142037412301e-04 1.324491668373030109e+02 1.324485364270819616e+02 2.404683124260139629e-04 5.740989308077496744e+00
