# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 8.813581150913552165e+01 8.813484473204403002e+01 1.999800019997333795e-04 5.644161075360051072e+00
1.011591112223829728e-04 8.813535143564600105e+01 8.813457376600236159e+01 2.022977581832760541e-04 5.639155238481959209e+00
1.023316578330244966e-04 8.813488063697663222e+01 8.813426043291198653e+01 2.046423742725537011e-04 5.634149198663706670e+00
1.035177955630176228e-04 8.813439886315514116e+01 8.813390584468170630e+01 2.070141614763123497e-04 5.629142961449788984e+00
1.047176819485520245e-04 8.813390585838496349e+01 8.813351227059615667e+01 2.094134346075829226e-04 5.624136538088468917e+00
1.059314763518370031e-04 8.813340136091063926e+01 8.813308281529597821e+01 2.118405121253895179e-04 5.619129943945129213e+00
1.071593399822671198e-04 8.813288510287848965e+01 8.813262104184452994e+01 2.142957161769398083e-04 5.614123196645011582e+00
1.084014359178331018e-04 8.813235681019521905e+01 8.813213060222105355e+01 2.167793726403025999e-04 5.609116314252506008e+00
1.096579291267809898e-04 8.813181620238208325e+01 8.813161492687747511e+01 2.192918111675785128e-04 5.604109313741429510e+00
1.109289864895222780e-04 8.813126299242691175e+01 8.813107700515793397e+01 2.218333652285692595e-04 5.599102209913005446e+00
1.122147768207980290e-04 8.813069688663139800e+01 8.813051926587313289e+01 2.244043721549514021e-04 5.594095014807338728e+00
1.135154708920999033e-04 8.813011758445604471e+01 8.812994354806166086e+01 2.270051731849600921e-04 5.589087737559284008e+00
1.148312414543511137e-04 8.812952477836067544e+01 8.812935113967596124e+01 2.296361135085894041e-04 5.584080384589022117e+00
1.161622632608501891e-04 8.812891815364170611e+01 8.812874285753079562e+01 2.322975423133139818e-04 5.579072959995980518e+00
1.175087130904807617e-04 8.812829738826505377e+01 8.812811914398484703e+01 2.349898128303393684e-04 5.574065466035218464e+00
1.188707697711903309e-04 8.812766215269638792e+01 8.812748016187516953e+01 2.377132823813860615e-04 5.569057903585212799e+00
1.202486142037412301e-04 8.812701210972578281e+01 8.812682587651531207e+01 2.404683124260139629e-04 5.564050272551916088e+00
1.216424293857368039e-04 8.812634691428931433e+01 8.812615633981960173e+01 2.432552686094931291e-04 5.559042573268924592e+00
1.230524004359261579e-04 8.812566621328711847e+01 8.812547119638477966e+01 2.460745208112275753e-04 5.554034804063406661e+00
1.244787146187906256e-04 8.812496964539496958e+01 8.812477008253027577e+01 2.489264431937378481e-04 5.549026963222572384e+00
1.259215613694150942e-04 8.812425684087472177e+01 8.812405262610623424e+01 2.518114142522093635e-04 5.544019048992738341e+00
1.273811323186478520e-04 8.812352742137710493e+01 8.812331844629596844e+01 2.547298168646127152e-04 5.539011059578356821e+00
1.288576213185518003e-04 8.812278099974247425e+01 8.812256715341459312e+01 2.576820383424025126e-04 5.534002993141028170e+00
1.303512244681508938e-04 8.812201717979517923e+01 8.812179834870289596e+01 2.606684704818018248e-04 5.528994847798494483e+00
1.318621401394748458e-04 8.812123555613433723e+01 8.812101162411603639e+01 2.636895096156779473e-04 5.523986621623600435e+00
1.333905690039058638e-04 8.812043571391900798e+01 8.812020656210773950e+01 2.667455566660177873e-04 5.518978312643236350e+00
1.349367140588306430e-04 8.811961722864904800e+01 8.811938273540948785e+01 2.698370171970083421e-04 5.513969918837253736e+00
1.365007806546013845e-04 8.811877966594022382e+01 8.811853970680436987e+01 2.729643014687300768e-04 5.508961438137360389e+00
1.380829765218092263e-04 8.811792258129432298e+01 8.811767702889562770e+01 2.761278244914698696e-04 5.503952868425976419e+00
