# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.321953398799487331e+02 1.321920726994528934e+02 1.999800019997333795e-04 5.820218843751222337e+00
1.011591112223829728e-04 1.321937850801212733e+02 1.321911569887687961e+02 2.022977581832760541e-04 5.815211333669696891e+00
1.023316578330244966e-04 1.321921940441597485e+02 1.321900981055769932e+02 2.046423742725537011e-04 5.810203359025469361e+00
1.035177955630176228e-04 1.321905659279382803e+02 1.321888998091829706e+02 2.070141614763123497e-04 5.805194932225693272e+00
1.047176819485520245e-04 1.321888998676858193e+02 1.321875697702529351e+02 2.094134346075829226e-04 5.800186078527824307e+00
1.059314763518370031e-04 1.321871949795300907e+02 1.321861184824581983e+02 2.118405121253895179e-04 5.795176832464698613e+00
1.071593399822671198e-04 1.321854503590290904e+02 1.321845579885670361e+02 2.142957161769398083e-04 5.790167233659884616e+00
1.084014359178331018e-04 1.321836650806957039e+02 1.321829006316697530e+02 2.167793726403025999e-04 5.785157322725400064e+00
1.096579291267809898e-04 1.321818381975062096e+02 1.321811580060432334e+02 2.192918111675785128e-04 5.780147137815050407e+00
1.109289864895222780e-04 1.321799687404030692e+02 1.321793402151166958e+02 2.218333652285692595e-04 5.775136712186487387e+00
1.122147768207980290e-04 1.321780557177809499e+02 1.321774554679256255e+02 2.244043721549514021e-04 5.770126072875168433e+00
1.135154708920999033e-04 1.321760981149651855e+02 1.321755099803547466e+02 2.270051731849600921e-04 5.765115240369600436e+00
1.148312414543511137e-04 1.321740948936743791e+02 1.321735081059233323e+02 2.296361135085894041e-04 5.760104229040713619e+00
1.161622632608501891e-04 1.321720449914740527e+02 1.321714526060075627e+02 2.322975423133139818e-04 5.755093048029389813e+00
1.175087130904807617e-04 1.321699473212156022e+02 1.321693449765935213e+02 2.349898128303393684e-04 5.750081702319796761e+00
1.188707697711903309e-04 1.321678007704623496e+02 1.321671857691198397e+02 2.377132823813860615e-04 5.745070193793361923e+00
1.202486142037412301e-04 1.321656042009032035e+02 1.321649748675903595e+02 2.404683124260139629e-04 5.740058522139139363e+00
