# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.324396472598436105e+02 1.324363738298353894e+02 1.999800019997333795e-04 5.821020712668801167e+00
1.011591112223829728e-04 1.324380894861264721e+02 1.324354563675275358e+02 2.022977581832760541e-04 5.816013202392748660e+00
1.023316578330244966e-04 1.324364954069116322e+02 1.324343954588257759e+02 2.046423742725537011e-04 5.811005227523518002e+00
1.035177955630176228e-04 1.324348641764553633e+02 1.324331948702195518e+02 2.070141614763123497e-04 5.805996800469037211e+00
1.047176819485520245e-04 1.324331949293307957e+02 1.324318622870399622e+02 2.094134346075829226e-04 5.800987946488363356e+00
1.059314763518370031e-04 1.324314867799699869e+02 1.324304082230227664e+02 2.118405121253895179e-04 5.795978700116532600e+00
1.071593399822671198e-04 1.324297388221974359e+02 1.324288447439638219e+02 2.142957161769398083e-04 5.790969100979642903e+00
1.084014359178331018e-04 1.324279501287504672e+02 1.324271842165551902e+02 2.167793726403025999e-04 5.785959189692303717e+00
1.096579291267809898e-04 1.324261197507895531e+02 1.324254382572437123e+02 2.192918111675785128e-04 5.780949004410754100e+00
1.109289864895222780e-04 1.324242467173980060e+02 1.324236169887772974e+02 2.218333652285692595e-04 5.775938578394766765e+00
1.122147768207980290e-04 1.324223300350688817e+02 1.324217286358857848e+02 2.244043721549514021e-04 5.770927938681515101e+00
1.135154708920999033e-04 1.324203686871802006e+02 1.324197794263366177e+02 2.270051731849600921e-04 5.765917105760800965e+00
1.148312414543511137e-04 1.324183616334591420e+02 1.324177737219692972e+02 2.296361135085894041e-04 5.760906094004453415e+00
1.161622632608501891e-04 1.324163078094327375e+02 1.324157142894350159e+02 2.322975423133139818e-04 5.755894912553917386e+00
1.175087130904807617e-04 1.324142061258656042e+02 1.324136026275739084e+02 2.349898128303393684e-04 5.750883566393651947e+00
1.188707697711903309e-04 1.324120554681868782e+02 1.324114392888716338e+02 2.377132823813860615e-04 5.745872057405176925e+00
1.202486142037412301e-04 1.324098546959002647e+02 1.324092241571026420e+02 2.404683124260139629e-04 5.740860385277493982e+00
1.216424293857368039e-04 1.324076026419844823e+02 1.324069574092541473e+02 2.432552686094931291e-04 5.735848550662027812e+00
1.230524004359261579e-04 1.324052981122765402e+02 1.324046378433822042e+02 2.460745208112275753e-04 5.730836549687995607e+00
1.244787146187906256e-04 1.324029398848428514e+02 1.324022642295915375e+02 2.489264431937378481e-04 5.725824378393378211e+00
