# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.323946854872960159e+02 1.323914114231249357e+02 1.999800019997333795e-04 5.820873243812416220e+00
1.011591112223829728e-04 1.323931274117631176e+02 1.323904937830900224e+02 2.022977581832760541e-04 5.815865731931565641e+00
1.023316578330244966e-04 1.323915330237167609e+02 1.323894326688802323e+02 2.046423742725537011e-04 5.810857755206619402e+00
1.035177955630176228e-04 1.323899014772499640e+02 1.323882318477175204e+02 2.070141614763123497e-04 5.805849326052091364e+00
1.047176819485520245e-04 1.323882319067696471e+02 1.323868990064244713e+02 2.094134346075829226e-04 5.800840469740478511e+00
1.059314763518370031e-04 1.323865234265379627e+02 1.323854446607772957e+02 2.118405121253895179e-04 5.795831220825206742e+00
1.071593399822671198e-04 1.323847751302051847e+02 1.323838808789114694e+02 2.142957161769398083e-04 5.790821618953475358e+00
1.084014359178331018e-04 1.323829860903302915e+02 1.323822200299180736e+02 2.167793726403025999e-04 5.785811704761524510e+00
1.096579291267809898e-04 1.323811553578919700e+02 1.323804737324966823e+02 2.192918111675785128e-04 5.780801516425913000e+00
1.109289864895222780e-04 1.323792819617868872e+02 1.323786521113585479e+02 2.218333652285692595e-04 5.775791087224117604e+00
1.122147768207980290e-04 1.323773649083174462e+02 1.323767633928291900e+02 2.244043721549514021e-04 5.770780444207698423e+00
1.135154708920999033e-04 1.323754031806668365e+02 1.323748138058848838e+02 2.270051731849600921e-04 5.765769607877352598e+00
1.148312414543511137e-04 1.323733957383623192e+02 1.323728077132119267e+02 2.296361135085894041e-04 5.760758592612535089e+00
1.161622632608501891e-04 1.323713415167271990e+02 1.323707478820001029e+02 2.322975423133139818e-04 5.755747407559534068e+00
1.175087130904807617e-04 1.323692394263173924e+02 1.323686358113815231e+02 2.349898128303393684e-04 5.750736057705426063e+00
1.188707697711903309e-04 1.323670883523479631e+02 1.323664720539518953e+02 2.377132823813860615e-04 5.745724544932699018e+00
1.202486142037412301e-04 1.323648871541044798e+02 1.323642564934653194e+02 2.404683124260139629e-04 5.740712868930150314e+00
1.216424293857368039e-04 1.323626346643420959e+02 1.323619893069457873e+02 2.432552686094931291e-04 5.735701030349512841e+00
1.230524004359261579e-04 1.323603296886692533e+02 1.323596692922195643e+02 2.460745208112275753e-04 5.730689025317900587e+00
1.244787146187906256e-04 1.323579710049186247e+02 1.323572952191557022e+02 2.489264431937378481e-04 5.725676849871141449e+00
1.259215613694150942e-04 1.323555573625024238e+02 1.323548658290187348e+02 2.518114142522093635e-04 5.720664499951642057e+00
1.273811323186478520e-04 1.323530874817541587e+02 1.323523798338050312e+02 2.547298168646127152e-04 5.715651971406193077e+00
1.288576213185518003e-04 1.323505600532537869e+02 1.323498359155634319e+02 2.576820383424025126e-04 5.710639259983728344e+00
1.303512244681508938e-04 1.323479737371375222e+02 1.323472327257024119e+02 2.606684704818018248e-04 5.705626361333028917e+00
1.318621401394748458e-04 1.323453271623932039e+02 1.323445688842785728e+02 2.636895096156779473e-04 5.700613271000373850e+00
1.333905690039058638e-04 1.323426189261375043e+02 1.323418429792701829e+02 2.667455566660177873e-04 5.695599984427137663e+00
1.349367140588306430e-04 1.323398475928776463e+02 1.323390535658344902e+02 2.698370171970083421e-04 5.690586496947328321e+00
1.365007806546013845e-04 1.323370116937560113e+02 1.323361991655468728e+02 2.729643014687300768e-04 5.685572803785072793e+00
1.380829765218092263e-04 1.323341097257769547e+02 1.323332782656231643e+02 2.761278244914698696e-04 5.680558900052039562e+00
1.396835117988739626e-04 1.323311401510158021e+02 1.323302893181225386e+02 2.793280060806610596e-04 5.675544780744795403e+00
1.413025990599533599e-04 1.323281013958105632e+02 1.323272307391352456e+02 2.825652709124569940e-04 5.670530440742115985e+00
1.429404533431761061e-04 1.323249918499337809e+02 1.323241009079482353e+02 2.858400485799463138e-04 5.665515874802220964e+00
1.445972921792019463e-04 1.323218098657459336e+02 1.323208981661934729e+02 2.891527736500166482e-04 5.660501077559941585e+00
1.462733356201129868e-04 1.323185537573298518e+02 1.323176208169770973e+02 2.925038857208746290e-04 5.655486043523836770e+00
1.479688062686396383e-04 1.323152217996044158e+02 1.323142671239862125e+02 2.958938294802293295e-04 5.650470767073225709e+00
1.496839293077255632e-04 1.323118122274188693e+02 1.323108353105781418e+02 2.993230547641470953e-04 5.645455242455161837e+00
1.514189325304352018e-04 1.323083232346244245e+02 1.323073235588464911e+02 3.027920166165852479e-04 5.640439463781330431e+00
1.531740463702079740e-04 1.323047529731272220e+02 1.323037300086675714e+02 3.063011753496128480e-04 5.635423425024875144e+00
1.549495039314631646e-04 1.323010995519175879e+02 1.323000527567228062e+02 3.098509966043256183e-04 5.630407120017149936e+00
1.567455410205595065e-04 1.322973610360776888e+02 1.322962898555010440e+02 3.134419514124640264e-04 5.625390542444398179e+00
1.585623961771137158e-04 1.322935354457666222e+02 1.322924393122757181e+02 3.170745162587414656e-04 5.620373685844344713e+00
1.604003107056819902e-04 1.322896207551816872e+02 1.322884990880613998e+02 3.207491731438919663e-04 5.615356543602720407e+00
1.622595287078087002e-04 1.322856148914967775e+02 1.322844670965430396e+02 3.244664096484443775e-04 5.610339108949696119e+00
1.641402971144466361e-04 1.322815157337748815e+02 1.322803412029837489e+02 3.282267189972323958e-04 5.605321374956238500e+00
1.660428657187529582e-04 1.322773211118580434e+02 1.322761192231055816e+02 3.320306001246483034e-04 5.600303334530373434e+00
1.679674872092653225e-04 1.322730288052295862e+02 1.322717989219457024e+02 3.358785577406489791e-04 5.595284980413373077e+00
1.699144172034625999e-04 1.322686365418517482e+02 1.322673780126862084e+02 3.397711023975232372e-04 5.590266305175840778e+00
1.718839142817145534e-04 1.322641419969762353e+02 1.322628541554566937e+02 3.437087505574287316e-04 5.585247301213716931e+00
1.738762400216250527e-04 1.322595427919276858e+02 1.322582249561105527e+02 3.476920246607074268e-04 5.580227960744178262e+00
1.758916590327732731e-04 1.322548364928596243e+02 1.322534879649724928e+02 3.517214531949887954e-04 5.575208275801454505e+00
1.779304389918577296e-04 1.322500206094812540e+02 1.322486406755568851e+02 3.557975707650890365e-04 5.570188238232534061e+00
1.799928506782476454e-04 1.322450925937564534e+02 1.322436805232590586e+02 3.599209181637167787e-04 5.565167839692778173e+00
1.820791680099462359e-04 1.322400498385716787e+02 1.322386048840140234e+02 3.640920424429929100e-04 5.560147071641428518e+00
1.841896680799710861e-04 1.322348896763749622e+02 1.322334110729271401e+02 3.683114969867951061e-04 5.555125925337013548e+00
1.863246311931559835e-04 1.322296093777823387e+02 1.322280963428716518e+02 3.725798415839356222e-04 5.550104391832637596e+00
1.884843409033795474e-04 1.322242061501543446e+02 1.322226578830553478e+02 3.768976425021829200e-04 5.545082461971171384e+00
1.906690840512252085e-04 1.322186771361385524e+02 1.322170928175543452e+02 3.812654725631356933e-04 5.540060126380319971e+00
1.928791508020777693e-04 1.322130194121793352e+02 1.322113982038140705e+02 3.856839112179594859e-04 5.535037375467584120e+00
1.951148346846616412e-04 1.322072299869952303e+02 1.322055710311148857e+02 3.901535446239965256e-04 5.530014199415093756e+00
1.973764326300255292e-04 1.322013058000194690e+02 1.321996082190042614e+02 3.946749657222570142e-04 5.524990588174328643e+00
1.996642450109793374e-04 1.321952437198068537e+02 1.321935066156925700e+02 3.992487743158042342e-04 5.519966531460711145e+00
2.019785756819878484e-04 1.321890405424033190e+02 1.321872629964130681e+02 4.038755771490413322e-04 5.514942018748071995e+00
2.043197320195270594e-04 1.321826929896795946e+02 1.321808740617440492e+02 4.085559879879120844e-04 5.509917039262988148e+00
2.066880249629082160e-04 1.321761977076263577e+02 1.321743364358937356e+02 4.132906277010250777e-04 5.504891581978984760e+00
2.090837690555749911e-04 1.321695512646114992e+02 1.321676466649454937e+02 4.180801243417118758e-04 5.499865635610608372e+00
2.115072824868794756e-04 1.321627501495968886e+02 1.321608012150643958e+02 4.229251132310303941e-04 5.494839188607349101e+00
