# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.322958179397321317e+02 1.322925521834754932e+02 1.999800019997333795e-04 5.820548826543788579e+00
1.011591112223829728e-04 1.322942638177306947e+02 1.322916368719432683e+02 2.022977581832760541e-04 5.815541320057601382e+00
1.023316578330244966e-04 1.322926734753553148e+02 1.322905784502968629e+02 2.046423742725537011e-04 5.810533349570860651e+00
1.035177955630176228e-04 1.322910460688457874e+02 1.322893806761973678e+02 2.070141614763123497e-04 5.805524927475969932e+00
1.047176819485520245e-04 1.322893807348050075e+02 1.322880512169610370e+02 2.094134346075829226e-04 5.800516079000274772e+00
1.059314763518370031e-04 1.322876765897426310e+02 1.322866005616783411e+02 2.118405121253895179e-04 5.795506838635414049e+00
1.071593399822671198e-04 1.322859327296085041e+02 1.322850407478619559e+02 2.142957161769398083e-04 5.790497245957680228e+00
1.084014359178331018e-04 1.322841482293152922e+02 1.322833841132161865e+02 2.167793726403025999e-04 5.785487341530633820e+00
1.096579291267809898e-04 1.322823221422490860e+02 1.322816422469582847e+02 2.192918111675785128e-04 5.780477163462559353e+00
1.109289864895222780e-04 1.322804534997710562e+02 1.322798252481086081e+02 2.218333652285692595e-04 5.775466744971442523e+00
1.122147768207980290e-04 1.322785413107042132e+02 1.322779413221195171e+02 2.244043721549514021e-04 5.770456113060513204e+00
1.135154708920999033e-04 1.322765845608125233e+02 1.322759966821617752e+02 2.270051731849600921e-04 5.765445288193873807e+00
1.148312414543511137e-04 1.322745822122632262e+02 1.322739956798525043e+02 2.296361135085894041e-04 5.760434284725361564e+00
1.161622632608501891e-04 1.322725332030801724e+02 1.322719410753598197e+02 2.322975423133139818e-04 5.755423111785020751e+00
1.175087130904807617e-04 1.322704364465841422e+02 1.322698343640127803e+02 2.349898128303393684e-04 5.750411774351146477e+00
1.188707697711903309e-04 1.322682908308185290e+02 1.322676760970048804e+02 2.377132823813860615e-04 5.745400274303004373e+00
1.202486142037412301e-04 1.322660952179636809e+02 1.322654661583854363e+02 2.404683124260139629e-04 5.740388611330105917e+00
1.216424293857368039e-04 1.322638484437356112e+02 1.322632047247297464e+02 2.432552686094931291e-04 5.735376786083176803e+00
1.230524004359261579e-04 1.322615493167740226e+02 1.322608905969139528e+02 2.460745208112275753e-04 5.730364794696430231e+00
1.244787146187906256e-04 1.322591966180121403e+02 1.322585225479288624e+02 2.489264431937378481e-04 5.725352633212962061e+00
1.259215613694150942e-04 1.322567891000354336e+02 1.322560993222328136e+02 2.518114142522093635e-04 5.720340297582617417e+00
1.273811323186478520e-04 1.322543254864241078e+02 1.322536196350898194e+02 2.547298168646127152e-04 5.715327783659797767e+00
