# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.321603812444838297e+02 1.321571135700561967e+02 1.999800019997333795e-04 5.820103976311743033e+00
1.011591112223829728e-04 1.321588262095900745e+02 1.321561977209433110e+02 2.022977581832760541e-04 5.815096464979498059e+00
1.023316578330244966e-04 1.321572349330940028e+02 1.321551386776832260e+02 2.046423742725537011e-04 5.810088488888991876e+00
1.035177955630176228e-04 1.321556065707435437e+02 1.321539402001519079e+02 2.070141614763123497e-04 5.805080060452509016e+00
1.047176819485520245e-04 1.321539402586379310e+02 1.321526099601766759e+02 2.094134346075829226e-04 5.800071204937979452e+00
1.059314763518370031e-04 1.321522351127715638e+02 1.321511584530174730e+02 2.118405121253895179e-04 5.795061956892566535e+00
1.071593399822671198e-04 1.321504902285672074e+02 1.321495977232645203e+02 2.142957161769398083e-04 5.790052355956286867e+00
1.084014359178331018e-04 1.321487046803980547e+02 1.321479401158759117e+02 2.167793726403025999e-04 5.785042442758013159e+00
1.096579291267809898e-04 1.321468775210988724e+02 1.321461972268829470e+02 2.192918111675785128e-04 5.780032255467383528e+00
1.109289864895222780e-04 1.321450077814664041e+02 1.321443791612437053e+02 2.218333652285692595e-04 5.775021827355848458e+00
1.122147768207980290e-04 1.321430944697463872e+02 1.321424941292358142e+02 2.244043721549514021e-04 5.770011185470077741e+00
1.135154708920999033e-04 1.321411365711116161e+02 1.321405483476849270e+02 2.270051731849600921e-04 5.765000350307063925e+00
1.148312414543511137e-04 1.321391330471256822e+02 1.321385461707696720e+02 2.296361135085894041e-04 5.759989336243681812e+00
1.161622632608501891e-04 1.321370828351942350e+02 1.321364903602852507e+02 2.322975423133139818e-04 5.754978152424586213e+00
1.175087130904807617e-04 1.321349848480056437e+02 1.321343824124448929e+02 2.349898128303393684e-04 5.749966803835984130e+00
1.188707697711903309e-04 1.321328379729566223e+02 1.321322228787719268e+02 2.377132823813860615e-04 5.744955292360053534e+00
