# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 8.797634409411539025e+01 8.797537905545458159e+01 1.999800019997333795e-04 5.643374578348872461e+00
1.011591112223829728e-04 8.797588484789986296e+01 8.797510857666050299e+01 2.022977581832760541e-04 5.638368741455865418e+00
1.023316578330244966e-04 8.797541489579586482e+01 8.797479580700364465e+01 2.046423742725537011e-04 5.633362701620376001e+00
1.035177955630176228e-04 8.797493398828086697e+01 8.797444185639403713e+01 2.070141614763123497e-04 5.628356464386962799e+00
1.047176819485520245e-04 8.797444187001889304e+01 8.797404899003683454e+01 2.094134346075829226e-04 5.623350041004020028e+00
1.059314763518370031e-04 8.797393827972533131e+01 8.797362030699078161e+01 2.118405121253895179e-04 5.618343446837105404e+00
1.071593399822671198e-04 8.797342295002903256e+01 8.797315936391302671e+01 2.142957161769398083e-04 5.613336699511661365e+00
1.084014359178331018e-04 8.797289560732997415e+01 8.797266980621701293e+01 2.167793726403025999e-04 5.608329817092282177e+00
1.096579291267809898e-04 8.797235597165411036e+01 8.797215505818680015e+01 2.192918111675785128e-04 5.603322816552979369e+00
1.109289864895222780e-04 8.797180375650596318e+01 8.797161810379226665e+01 2.218333652285692595e-04 5.598315712695146829e+00
1.122147768207980290e-04 8.797123866871625353e+01 8.797106136747733274e+01 2.244043721549514021e-04 5.593308517559025361e+00
1.135154708920999033e-04 8.797066040828624978e+01 8.797048668497470203e+01 2.270051731849600921e-04 5.588301240279575310e+00
1.148312414543511137e-04 8.797006866822950144e+01 8.796989534192140070e+01 2.296361135085894041e-04 5.583293887277053003e+00
1.161622632608501891e-04 8.796946313440898280e+01 8.796928815366455012e+01 2.322975423133139818e-04 5.578286462650936528e+00
1.175087130904807617e-04 8.796884348537075482e+01 8.796866556176784968e+01 2.349898128303393684e-04 5.573278968656309118e+00
1.188707697711903309e-04 8.796820939217337809e+01 8.796802772877671828e+01 2.377132823813860615e-04 5.568271406171663607e+00
1.202486142037412301e-04 8.796756051821434141e+01 8.796737462006761632e+01 2.404683124260139629e-04 5.563263775102955222e+00
1.216424293857368039e-04 8.796689651905106189e+01 8.796670628746274190e+01 2.432552686094931291e-04 5.558256075783787331e+00
1.230524004359261579e-04 8.796621704221924176e+01 8.796602237619859466e+01 2.460745208112275753e-04 5.553248306541311408e+00
1.244787146187906256e-04 8.796552172704589623e+01 8.796532252324976753e+01 2.489264431937378481e-04 5.548240465662724219e+00
1.259215613694150942e-04 8.796481020445831689e+01 8.796460635713654597e+01 2.518114142522093635e-04 5.543232551394327245e+00
1.273811323186478520e-04 8.796408209678884305e+01 8.796387349772807340e+01 2.547298168646127152e-04 5.538224561940555013e+00
1.288576213185518003e-04 8.796333701757487233e+01 8.796312355604126765e+01 2.576820383424025126e-04 5.533216495462993656e+00
1.303512244681508938e-04 8.796257457135453706e+01 8.796235613403543141e+01 2.606684704818018248e-04 5.528208350079369282e+00
1.318621401394748458e-04 8.796179435345719355e+01 8.796157082440038266e+01 2.636895096156779473e-04 5.523200123862509692e+00
1.333905690039058638e-04 8.796099594978903724e+01 8.796076721034233969e+01 2.667455566660177873e-04 5.518191814839289222e+00
1.349367140588306430e-04 8.796017893661468179e+01 8.795994486536237389e+01 2.698370171970083421e-04 5.513183420989543393e+00
1.365007806546013845e-04 8.795934288033241444e+01 8.795910335303121030e+01 2.729643014687300768e-04 5.508174940244960460e+00
1.380829765218092263e-04 8.795848733724487545e+01 8.795824222675815918e+01 2.761278244914698696e-04 5.503166370487946324e+00
1.396835117988739626e-04 8.795761185332446530e+01 8.795736102955497415e+01 2.793280060806610596e-04 5.498157709550461902e+00
1.413025990599533599e-04 8.795671596397311021e+01 8.795645929379433881e+01 2.825652709124569940e-04 5.493148955212836526e+00
1.429404533431761061e-04 8.795579919377668432e+01 8.795553654096194407e+01 2.858400485799463138e-04 5.488140105202547581e+00
1.445972921792019463e-04 8.795486105625370499e+01 8.795459228140423136e+01 2.891527736500166482e-04 5.483131157192976168e+00
1.462733356201129868e-04 8.795390105359747679e+01 8.795362601406888814e+01 2.925038857208746290e-04 5.478122108802136125e+00
1.479688062686396383e-04 8.795291867641354600e+01 8.795263722624017078e+01 2.958938294802293295e-04 5.473112957591363070e+00
1.496839293077255632e-04 8.795191340345022013e+01 8.795162539326807405e+01 2.993230547641470953e-04 5.468103701063986577e+00
1.514189325304352018e-04 8.795088470132310476e+01 8.795058997829053737e+01 3.027920166165852479e-04 5.463094336663957051e+00
1.531740463702079740e-04 8.794983202423294699e+01 8.794953043194999509e+01 3.063011753496128480e-04 5.458084861774449514e+00
1.549495039314631646e-04 8.794875481367745351e+01 8.794844619210317660e+01 3.098509966043256183e-04 5.453075273716435412e+00
1.567455410205595065e-04 8.794765249815596064e+01 8.794733668352402844e+01 3.134419514124640264e-04 5.448065569747213566e+00
1.585623961771137158e-04 8.794652449286796525e+01 8.794620131759953097e+01 3.170745162587414656e-04 5.443055747058913596e+00
1.604003107056819902e-04 8.794537019940348443e+01 8.794503949201897797e+01 3.207491731438919663e-04 5.438045802776958482e+00
1.622595287078087002e-04 8.794418900542781614e+01 8.794385059045610831e+01 3.244664096484443775e-04 5.433035733958499591e+00
1.641402971144466361e-04 8.794298028435724746e+01 8.794263398224333628e+01 3.282267189972323958e-04 5.428025537590804639e+00
1.660428657187529582e-04 8.794174339502924909e+01 8.794138902203849284e+01 3.320306001246483034e-04 5.423015210589612778e+00
1.679674872092653225e-04 8.794047768136276488e+01 8.794011504948484514e+01 3.358785577406489791e-04 5.418004749797456832e+00
1.699144172034625999e-04 8.793918247201294491e+01 8.793881138886169424e+01 3.397711023975232372e-04 5.412994151981932234e+00
1.718839142817145534e-04 8.793785708001625778e+01 8.793747734872837896e+01 3.437087505574287316e-04 5.407983413833941100e+00
1.738762400216250527e-04 8.793650080242797173e+01 8.793611222155912799e+01 3.476920246607074268e-04 5.402972531965882119e+00
1.758916590327732731e-04 8.793511291995137924e+01 8.793471528336988285e+01 3.517214531949887954e-04 5.397961502909808473e+00
1.779304389918577296e-04 8.793369269655849507e+01 8.793328579333588380e+01 3.557975707650890365e-04 5.392950323115533351e+00
1.799928506782476454e-04 8.793223937910138943e+01 8.793182299340158181e+01 3.599209181637167787e-04 5.387938988948696384e+00
1.820791680099462359e-04 8.793075219691537825e+01 8.793032610788075942e+01 3.640920424429929100e-04 5.382927496688788338e+00
1.841896680799710861e-04 8.792923036141256432e+01 8.792879434304697384e+01 3.683114969867951061e-04 5.377915842527115409e+00
1.863246311931559835e-04 8.792767306566574348e+01 8.792722688671578624e+01 3.725798415839356222e-04 5.372904022564735982e+00
1.884843409033795474e-04 8.792607948398381268e+01 8.792562290781631873e+01 3.768976425021829200e-04 5.367892032810329894e+00
1.906690840512252085e-04 8.792444877147593729e+01 8.792398155595337528e+01 3.812654725631356933e-04 5.362879869178030390e+00
1.928791508020777693e-04 8.792278006360660925e+01 8.792230196095938766e+01 3.856839112179594859e-04 5.357867527485201897e+00
