# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.322651245390320014e+02 1.322618571591456771e+02 1.999800019997333795e-04 5.820448048183819445e+00
1.011591112223829728e-04 1.322635696443554423e+02 1.322609413925621595e+02 2.022977581832760541e-04 5.815440539506060880e+00
1.023316578330244966e-04 1.322619785113133730e+02 1.322598824447234449e+02 2.046423742725537011e-04 5.810432566485080663e+00
1.035177955630176228e-04 1.322603502957276476e+02 1.322586840751615966e+02 2.070141614763123497e-04 5.805424141522268933e+00
1.047176819485520245e-04 1.322586841337728458e+02 1.322573539550074884e+02 2.094134346075829226e-04 5.800415289863323665e+00
1.059314763518370031e-04 1.322569791415210716e+02 1.322559025785695326e+02 2.118405121253895179e-04 5.795406046024991653e+00
1.071593399822671198e-04 1.322552344144735343e+02 1.322543419893476369e+02 2.142957161769398083e-04 5.790396449612380536e+00
1.084014359178331018e-04 1.322534490270846561e+02 1.322526845311824673e+02 2.167793726403025999e-04 5.785386541218584533e+00
1.096579291267809898e-04 1.322516220322714560e+02 1.322509417990554255e+02 2.192918111675785128e-04 5.780376358979632201e+00
1.109289864895222780e-04 1.322497524609148343e+02 1.322491238970098948e+02 2.218333652285692595e-04 5.775365936137686340e+00
1.122147768207980290e-04 1.322478393213473282e+02 1.322472390345797919e+02 2.244043721549514021e-04 5.770355299715618891e+00
1.135154708920999033e-04 1.322458815988297260e+02 1.322452934280261161e+02 2.270051731849600921e-04 5.765344470192404813e+00
1.148312414543511137e-04 1.322438782550155736e+02 1.322432914311317802e+02 2.296361135085894041e-04 5.760333461932296117e+00
1.161622632608501891e-04 1.322418282274025785e+02 1.322412358054391746e+02 2.322975423133139818e-04 5.755322284071944239e+00
1.175087130904807617e-04 1.322397304287734130e+02 1.322391280470224899e+02 2.349898128303393684e-04 5.750310941593218317e+00
1.188707697711903309e-04 1.322375837466209134e+02 1.322369687073516218e+02 2.377132823813860615e-04 5.745299436376700264e+00
1.202486142037412301e-04 1.322353870425615980e+02 1.322347576704203505e+02 2.404683124260139629e-04 5.740287768111619116e+00
1.216424293857368039e-04 1.322331391517356849e+02 1.322324951128939858e+02 2.432552686094931291e-04 5.735275937449118011e+00
1.230524004359261579e-04 1.322308388821926428e+02 1.322301798350553099e+02 2.460745208112275753e-04 5.730263940520533339e+00
1.244787146187906256e-04 1.322284850142622474e+02 1.322278106092876158e+02 2.489264431937378481e-04 5.725251773366019314e+00
1.259215613694150942e-04 1.322260762999130463e+02 1.322253861794279430e+02 2.518114142522093635e-04 5.720239431932405694e+00
1.273811323186478520e-04 1.322236114620932597e+02 1.322229052601048238e+02 2.547298168646127152e-04 5.715226912071013743e+00
1.288576213185518003e-04 1.322210891940590045e+02 1.322203665360610501e+02 2.576820383424025126e-04 5.710214209535411811e+00
1.303512244681508938e-04 1.322185081586849833e+02 1.322177686614609797e+02 2.606684704818018248e-04 5.705201319979123831e+00
1.318621401394748458e-04 1.322158669877613875e+02 1.322151102591821541e+02 2.636895096156779473e-04 5.700188238953285413e+00
1.333905690039058638e-04 1.322131642812719292e+02 1.322123899200889809e+02 2.667455566660177873e-04 5.695174961904240440e+00
1.349367140588306430e-04 1.322103986066582024e+02 1.322096062022921217e+02 2.698370171970083421e-04 5.690161484171082584e+00
1.365007806546013845e-04 1.322075684980648873e+02 1.322067576303891485e+02 2.729643014687300768e-04 5.685147800983144428e+00
1.380829765218092263e-04 1.322046724555686410e+02 1.322038426946879781e+02 2.761278244914698696e-04 5.680133907457419973e+00
1.396835117988739626e-04 1.322017089443886846e+02 1.322008598504127690e+02 2.793280060806610596e-04 5.675119798595931186e+00
1.413025990599533599e-04 1.321986763940798824e+02 1.321978075168915154e+02 2.825652709124569940e-04 5.670105469283035049e+00
1.429404533431761061e-04 1.321955731977065795e+02 1.321946840767247409e+02 2.858400485799463138e-04 5.665090914282659540e+00
1.445972921792019463e-04 1.321923977109979944e+02 1.321914878749350919e+02 2.891527736500166482e-04 5.660076128235486337e+00
1.462733356201129868e-04 1.321891482514835445e+02 1.321882172180980604e+02 2.925038857208746290e-04 5.655061105656054465e+00
1.479688062686396383e-04 1.321858230976092443e+02 1.321848703734511048e+02 2.958938294802293295e-04 5.650045840929809771e+00
1.496839293077255632e-04 1.321824204878332694e+02 1.321814455679841558e+02 2.993230547641470953e-04 5.645030328310072676e+00
1.514189325304352018e-04 1.321789386197001761e+02 1.321779409875086913e+02 3.027920166165852479e-04 5.640014561914944657e+00
1.531740463702079740e-04 1.321753756488948284e+02 1.321743547757043586e+02 3.063011753496128480e-04 5.634998535724134783e+00
1.549495039314631646e-04 1.321717296882748656e+02 1.321706850331449914e+02 3.098509966043256183e-04 5.629982243575719636e+00
1.567455410205595065e-04 1.321679988068788987e+02 1.321669298163025132e+02 3.134419514124640264e-04 5.624965679162819754e+00
1.585623961771137158e-04 1.321641810289152659e+02 1.321630871365260589e+02 3.170745162587414656e-04 5.619948836030202344e+00
1.604003107056819902e-04 1.321602743327242422e+02 1.321591549590002330e+02 3.207491731438919663e-04 5.614931707570805841e+00
1.622595287078087002e-04 1.321562766497191035e+02 1.321551312016776762e+02 3.244664096484443775e-04 5.609914287022175650e+00
1.641402971144466361e-04 1.321521858633010993e+02 1.321510137341879840e+02 3.282267189972323958e-04 5.604896567462829715e+00
1.660428657187529582e-04 1.321479998077511482e+02 1.321468003767212167e+02 3.320306001246483034e-04 5.599878541808521071e+00
1.679674872092653225e-04 1.321437162670948737e+02 1.321424888988871942e+02 3.358785577406489791e-04 5.594860202808433769e+00
1.699144172034625999e-04 1.321393329739421176e+02 1.321380770185458005e+02 3.397711023975232372e-04 5.589841543041266014e+00
1.718839142817145534e-04 1.321348476083008165e+02 1.321335624006145508e+02 3.437087505574287316e-04 5.584822554911246684e+00
1.738762400216250527e-04 1.321302577963615192e+02 1.321289426558449236e+02 3.476920246607074268e-04 5.579803230644035494e+00
1.758916590327732731e-04 1.321255611092580295e+02 1.321242153395740786e+02 3.517214531949887954e-04 5.574783562282544125e+00
1.779304389918577296e-04 1.321207550617947390e+02 1.321193779504455961e+02 3.557975707650890365e-04 5.569763541682648089e+00
1.799928506782476454e-04 1.321158371111491192e+02 1.321144279291029306e+02 3.599209181637167787e-04 5.564743160508808018e+00
1.820791680099462359e-04 1.321108046555429496e+02 1.321093626568515731e+02 3.640920424429929100e-04 5.559722410229579026e+00
1.841896680799710861e-04 1.321056550328829360e+02 1.321041794542914545e+02 3.683114969867951061e-04 5.554701282113017946e+00
1.863246311931559835e-04 1.321003855193714003e+02 1.320988755799186833e+02 3.725798415839356222e-04 5.549679767221987525e+00
1.884843409033795474e-04 1.320949933280845698e+02 1.320934482286948537e+02 3.768976425021829200e-04 5.544657856409346941e+00
1.906690840512252085e-04 1.320894756075182954e+02 1.320878945305832985e+02 3.812654725631356933e-04 5.539635540313026851e+00
