# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.322283076686866536e+02 1.322250411192538024e+02 1.999800019997333795e-04 5.820327142360673278e+00
1.011591112223829728e-04 1.322267531691980480e+02 1.322241255854293627e+02 2.022977581832760541e-04 5.815319633610158689e+00
1.023316578330244966e-04 1.322251624405586199e+02 1.322230669067435258e+02 2.046423742725537011e-04 5.810311660505050213e+00
1.035177955630176228e-04 1.322235346388052903e+02 1.322218688417731869e+02 2.070141614763123497e-04 5.805303235447039967e+00
1.047176819485520245e-04 1.322218689003326517e+02 1.322205390597003429e+02 2.094134346075829226e-04 5.800294383682435218e+00
1.059314763518370031e-04 1.322201643414371119e+02 1.322190880521667395e+02 2.118405121253895179e-04 5.795285139728817647e+00
1.071593399822671198e-04 1.322184200578510627e+02 1.322175278596120904e+02 2.142957161769398083e-04 5.790275543192256791e+00
1.084014359178331018e-04 1.322166351242639166e+02 1.322158708227402428e+02 2.167793726403025999e-04 5.785265634666826529e+00
1.096579291267809898e-04 1.322148085938342774e+02 1.322141285335863472e+02 2.192918111675785128e-04 5.780255452289480900e+00
1.109289864895222780e-04 1.322129394976894616e+02 1.322123110936261412e+02 2.218333652285692595e-04 5.775245029303184729e+00
1.122147768207980290e-04 1.322110268444147607e+02 1.322104267103076154e+02 2.244043721549514021e-04 5.770234392731466322e+00
1.135154708920999033e-04 1.322090696195289183e+02 1.322084815983127442e+02 2.270051731849600921e-04 5.765223563053794464e+00
1.148312414543511137e-04 1.322070667849503423e+02 1.322064801103180685e+02 2.296361135085894041e-04 5.760212554634770221e+00
1.161622632608501891e-04 1.322050172784473716e+02 1.322044250071648150e+02 2.322975423133139818e-04 5.755201376611265296e+00
1.175087130904807617e-04 1.322029200130791651e+02 1.322023177845475459e+02 2.349898128303393684e-04 5.750190033965268732e+00
1.188707697711903309e-04 1.322007738766221792e+02 1.322001589937964638e+02 2.377132823813860615e-04 5.745178528577407739e+00
1.202486142037412301e-04 1.321985777309831462e+02 1.321979485189359593e+02 2.404683124260139629e-04 5.740166860136906912e+00
1.216424293857368039e-04 1.321963304115984954e+02 1.321956865365867202e+02 2.432552686094931291e-04 5.735155029294922713e+00
1.230524004359261579e-04 1.321940307268213246e+02 1.321933718473372039e+02 2.460745208112275753e-04 5.730143032182698271e+00
1.244787146187906256e-04 1.321916774572927125e+02 1.321910032238836550e+02 2.489264431937378481e-04 5.725130864840292766e+00
1.259215613694150942e-04 1.321892693552985918e+02 1.321885794103829141e+02 2.518114142522093635e-04 5.720118523214437367e+00
1.273811323186478520e-04 1.321868051441130660e+02 1.321860991217911021e+02 2.547298168646127152e-04 5.715106003156353864e+00
1.288576213185518003e-04 1.321842835173247579e+02 1.321835610431864723e+02 2.576820383424025126e-04 5.710093300419509355e+00
1.303512244681508938e-04 1.321817031381495440e+02 1.321809638290760915e+02 2.606684704818018248e-04 5.705080410657322076e+00
1.318621401394748458e-04 1.321790626387259238e+02 1.321783061026884809e+02 2.636895096156779473e-04 5.700067329420821061e+00
1.333905690039058638e-04 1.321763606193946998e+02 1.321755864552472133e+02 2.667455566660177873e-04 5.695054052156240054e+00
1.349367140588306430e-04 1.321735956479626566e+02 1.321728034452308407e+02 2.698370171970083421e-04 5.690040574202563484e+00
1.365007806546013845e-04 1.321707662589479924e+02 1.321699555976125282e+02 2.729643014687300768e-04 5.685026890789006693e+00
1.380829765218092263e-04 1.321678709528096363e+02 1.321670414030854488e+02 2.761278244914698696e-04 5.680012997032448219e+00
1.396835117988739626e-04 1.321649081951583184e+02 1.321640593172674869e+02 2.793280060806610596e-04 5.674998887934791902e+00
1.413025990599533599e-04 1.321618764159491093e+02 1.321610077598898556e+02 2.825652709124569940e-04 5.669984558380270379e+00
1.429404533431761061e-04 1.321587740086562519e+02 1.321578851139652784e+02 2.858400485799463138e-04 5.664970003132688170e+00
1.445972921792019463e-04 1.321555993294284406e+02 1.321546897249387769e+02 2.891527736500166482e-04 5.659955216832597280e+00
1.462733356201129868e-04 1.321523506962240333e+02 1.321514198998174265e+02 2.925038857208746290e-04 5.654940193994409725e+00
1.479688062686396383e-04 1.321490263879280462e+02 1.321480739062808141e+02 2.958938294802293295e-04 5.649924929003433682e+00
1.496839293077255632e-04 1.321456246434481727e+02 1.321446499717715142e+02 2.993230547641470953e-04 5.644909416112856348e+00
1.514189325304352018e-04 1.321421436607886903e+02 1.321411462825633691e+02 3.027920166165852479e-04 5.639893649440637091e+00
1.531740463702079740e-04 1.321385815961052117e+02 1.321375609828098447e+02 3.063011753496128480e-04 5.634877622966344646e+00
1.549495039314631646e-04 1.321349365627364136e+02 1.321338921735697625e+02 3.098509966043256183e-04 5.629861330527909047e+00
1.567455410205595065e-04 1.321312066302143364e+02 1.321301379118106070e+02 3.134419514124640264e-04 5.624844765818300729e+00
1.585623961771137158e-04 1.321273898232511783e+02 1.321262962093894942e+02 3.170745162587414656e-04 5.619827922382136798e+00
1.604003107056819902e-04 1.321234841207033242e+02 1.321223650320102934e+02 3.207491731438919663e-04 5.614810793612196704e+00
