# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.324366123034774603e+02 1.324333377113237304e+02 1.999800019997333795e-04 5.821010756305663669e+00
1.011591112223829728e-04 1.324350539767125952e+02 1.324324199232995625e+02 2.022977581832760541e-04 5.816003244892493207e+00
1.023316578330244966e-04 1.324334593315669224e+02 1.324313586379581977e+02 2.046423742725537011e-04 5.810995268708344597e+00
1.035177955630176228e-04 1.324318275219969507e+02 1.324301576231272577e+02 2.070141614763123497e-04 5.805986840165808793e+00
1.047176819485520245e-04 1.324301576822686002e+02 1.324288245668671777e+02 2.094134346075829226e-04 5.800977984533463250e+00
1.059314763518370031e-04 1.324284489265005789e+02 1.324273699866479035e+02 2.118405121253895179e-04 5.795968736359369267e+00
1.071593399822671198e-04 1.324267003481958227e+02 1.324258059525496662e+02 2.142957161769398083e-04 5.790959135284576398e+00
1.084014359178331018e-04 1.324249110197626749e+02 1.324241448356560795e+02 2.167793726403025999e-04 5.785949221939016063e+00
1.096579291267809898e-04 1.324230799920261177e+02 1.324223982565391111e+02 2.192918111675785128e-04 5.780939034493322026e+00
1.109289864895222780e-04 1.324212062937248788e+02 1.324205763415405954e+02 2.218333652285692595e-04 5.775928606219808081e+00
1.122147768207980290e-04 1.324192889309998691e+02 1.324186873183114983e+02 2.244043721549514021e-04 5.770917964165839464e+00
1.135154708920999033e-04 1.324173268868689775e+02 1.324167374168307845e+02 2.270051731849600921e-04 5.765907128828933637e+00
1.148312414543511137e-04 1.324153191206908389e+02 1.324147310004871940e+02 2.296361135085894041e-04 5.760896114586321559e+00
1.161622632608501891e-04 1.324132645676150162e+02 1.324126708369146854e+02 2.322975423133139818e-04 5.755884930582876535e+00
1.175087130904807617e-04 1.324111621380205861e+02 1.324105584254860730e+02 2.349898128303393684e-04 5.750873581804909485e+00
1.188707697711903309e-04 1.324090107169413955e+02 1.324083943188842625e+02 2.377132823813860615e-04 5.745862070134623245e+00
1.202486142037412301e-04 1.324068091634774476e+02 1.324061784008431744e+02 2.404683124260139629e-04 5.740850395260871153e+00
1.216424293857368039e-04 1.324045563101938399e+02 1.324039108484134601e+02 2.432552686094931291e-04 5.735838557835293727e+00
1.230524004359261579e-04 1.324022509625043256e+02 1.324015904592257016e+02 2.460745208112275753e-04 5.730826553985613359e+00
1.244787146187906256e-04 1.323998918980432222e+02 1.323992160029487195e+02 2.489264431937378481e-04 5.725814379748284111e+00
1.259215613694150942e-04 1.323974778660188747e+02 1.323967862206420136e+02 2.518114142522093635e-04 5.720802031066347659e+00
1.273811323186478520e-04 1.323950075865562610e+02 1.323942998240917746e+02 2.547298168646127152e-04 5.715789503787250148e+00
1.288576213185518003e-04 1.323924797500217210e+02 1.323917554951325997e+02 2.576820383424025126e-04 5.710776793660592432e+00
1.303512244681508938e-04 1.323898930163333034e+02 1.323891518849527245e+02 2.606684704818018248e-04 5.705763896335838581e+00
1.318621401394748458e-04 1.323872460142554246e+02 1.323864876133837072e+02 2.636895096156779473e-04 5.700750807359966643e+00
1.333905690039058638e-04 1.323845373406759336e+02 1.323837612681738563e+02 2.667455566660177873e-04 5.695737522175067902e+00
1.349367140588306430e-04 1.323817655598678584e+02 1.323809714042443773e+02 2.698370171970083421e-04 5.690724036115882178e+00
1.365007806546013845e-04 1.323789292027339286e+02 1.323781165429295186e+02 2.729643014687300768e-04 5.685710344407283401e+00
1.380829765218092263e-04 1.323760267660328509e+02 1.323751951711975607e+02 2.761278244914698696e-04 5.680696442161705662e+00
1.396835117988739626e-04 1.323730567115894132e+02 1.323722057408555770e+02 2.793280060806610596e-04 5.675682324376502663e+00
1.413025990599533599e-04 1.323700174654838975e+02 1.323691466677346682e+02 2.825652709124569940e-04 5.670667985931250321e+00
1.429404533431761061e-04 1.323669074172261162e+02 1.323660163308567803e+02 2.858400485799463138e-04 5.665653421584986305e+00
1.445972921792019463e-04 1.323637249189071099e+02 1.323628130715831333e+02 2.891527736500166482e-04 5.660638625973383853e+00
1.462733356201129868e-04 1.323604682843341607e+02 1.323595351927417596e+02 2.925038857208746290e-04 5.655623593605858090e+00
1.479688062686396383e-04 1.323571357881440065e+02 1.323561809577361146e+02 2.958938294802293295e-04 5.650608318862608392e+00
1.496839293077255632e-04 1.323537256648966434e+02 1.323527485896325970e+02 2.993230547641470953e-04 5.645592795991585255e+00
1.514189325304352018e-04 1.323502361081478966e+02 1.323492362702270952e+02 3.027920166165852479e-04 5.640577019105393219e+00
1.531740463702079740e-04 1.323466652695011589e+02 1.323456421390911828e+02 3.063011753496128480e-04 5.635560982178116518e+00
1.549495039314631646e-04 1.323430112576370163e+02 1.323419642925943265e+02 3.098509966043256183e-04 5.630544679042071898e+00
1.567455410205595065e-04 1.323392721373203642e+02 1.323382007829058296e+02 3.134419514124640264e-04 5.625528103384483281e+00
