# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.324339472377429843e+02 1.324306746503787053e+02 1.999800019997333795e-04 5.821002023124714597e+00
1.011591112223829728e-04 1.324323898650139881e+02 1.324297574242440021e+02 2.022977581832760541e-04 5.815994513493699003e+00
1.023316578330244966e-04 1.324307961961343096e+02 1.324286967886415027e+02 2.046423742725537011e-04 5.810986539370369464e+00
1.035177955630176228e-04 1.324291653855775053e+02 1.324274965090908438e+02 2.070141614763123497e-04 5.805978113160009890e+00
1.047176819485520245e-04 1.324274965681394747e+02 1.324261642689450014e+02 2.094134346075829226e-04 5.800969260116279891e+00
1.059314763518370031e-04 1.324257888584808143e+02 1.324247105792330785e+02 2.118405121253895179e-04 5.795960014766826873e+00
1.071593399822671198e-04 1.324240413506588823e+02 1.324231475026452927e+02 2.142957161769398083e-04 5.790950416729272909e+00
1.084014359178331018e-04 1.324222531176499160e+02 1.324214874026904738e+02 2.167793726403025999e-04 5.785940506609536627e+00
1.096579291267809898e-04 1.324204232108590986e+02 1.324197418928252716e+02 2.192918111675785128e-04 5.780930322555696499e+00
1.109289864895222780e-04 1.324185506596192283e+02 1.324179210931918647e+02 2.218333652285692595e-04 5.775919897820408266e+00
1.122147768207980290e-04 1.324166344706794121e+02 1.324160332264036413e+02 2.244043721549514021e-04 5.770909259435072158e+00
1.135154708920999033e-04 1.324146736276798322e+02 1.324140845186248896e+02 2.270051731849600921e-04 5.765898427885112199e+00
1.148312414543511137e-04 1.324126670906151446e+02 1.324120793305725101e+02 2.296361135085894041e-04 5.760887417539294120e+00
1.161622632608501891e-04 1.324106137952865367e+02 1.324100204281859021e+02 2.322975423133139818e-04 5.755876237537123963e+00
1.175087130904807617e-04 1.324085126527397165e+02 1.324079093099194608e+02 2.349898128303393684e-04 5.750864892862009192e+00
1.188707697711903309e-04 1.324063625486899696e+02 1.324057465281169641e+02 2.377132823813860615e-04 5.745853385395085944e+00
1.202486142037412301e-04 1.324041623429354786e+02 1.324035319665831025e+02 2.404683124260139629e-04 5.740841714825442033e+00
1.216424293857368039e-04 1.324019108687552659e+02 1.324012658022595303e+02 2.432552686094931291e-04 5.735829881804382246e+00
1.230524004359261579e-04 1.323996069322938069e+02 1.323989468335118147e+02 2.460745208112275753e-04 5.730817882461971990e+00
1.244787146187906256e-04 1.323972493119324270e+02 1.323965738307615823e+02 2.489264431937378481e-04 5.725805712837062522e+00
1.259215613694150942e-04 1.323948367576450380e+02 1.323941455358383052e+02 2.518114142522093635e-04 5.720793368875153107e+00
1.273811323186478520e-04 1.323923679903387551e+02 1.323916606613157967e+02 2.547298168646127152e-04 5.715780846426199879e+00
1.288576213185518003e-04 1.323898417011812114e+02 1.323891178898348073e+02 2.576820383424025126e-04 5.710768141242374085e+00
1.303512244681508938e-04 1.323872565509098536e+02 1.323865158734081717e+02 2.606684704818018248e-04 5.705755248975770577e+00
1.318621401394748458e-04 1.323846111691271972e+02 1.323838532327115445e+02 2.636895096156779473e-04 5.700742165176061249e+00
1.333905690039058638e-04 1.323819041535791996e+02 1.323811285563565718e+02 2.667455566660177873e-04 5.695728885288088961e+00
1.349367140588306430e-04 1.323791340694167502e+02 1.323783404001485167e+02 2.698370171970083421e-04 5.690715404649415277e+00
1.365007806546013845e-04 1.323762994484406761e+02 1.323754872863250966e+02 2.729643014687300768e-04 5.685701718487799816e+00
1.380829765218092263e-04 1.323733987883291263e+02 1.323725677027799179e+02 2.761278244914698696e-04 5.680687821918628089e+00
1.396835117988739626e-04 1.323704305518465389e+02 1.323695801022666672e+02 2.793280060806610596e-04 5.675673709942275380e+00
1.413025990599533599e-04 1.323673931660360665e+02 1.323665229015845455e+02 2.825652709124569940e-04 5.670659377441410243e+00
