# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.323362889187042697e+02 1.323330267618166260e+02 1.999800019997333795e-04 5.820681677542078880e+00
1.011591112223829728e-04 1.323347365095880832e+02 1.323321124590821682e+02 2.022977581832760541e-04 5.815674175285657554e+00
1.023316578330244966e-04 1.323331479199958949e+02 1.323310552039505410e+02 2.046423742725537011e-04 5.810666209690054096e+00
1.035177955630176228e-04 1.323315223070962077e+02 1.323298587499374719e+02 2.070141614763123497e-04 5.805657793130324151e+00
1.047176819485520245e-04 1.323298588084417986e+02 1.323285307559040973e+02 2.094134346075829226e-04 5.800648950798398928e+00
1.059314763518370031e-04 1.323281565415143461e+02 1.323270816993766630e+02 2.118405121253895179e-04 5.795639717137466285e+00
1.071593399822671198e-04 1.323264146032582858e+02 1.323255236045963841e+02 2.142957161769398083e-04 5.790630131668208058e+00
1.084014359178331018e-04 1.323246320696038651e+02 1.323238687956662432e+02 2.167793726403025999e-04 5.785620234897187686e+00
1.096579291267809898e-04 1.323228079949784046e+02 1.323221288490277061e+02 2.192918111675785128e-04 5.780610064879150300e+00
1.109289864895222780e-04 1.323209414118086045e+02 1.323203138525676650e+02 2.218333652285692595e-04 5.775599654785424697e+00
1.122147768207980290e-04 1.323190313300077321e+02 1.323184320026923615e+02 2.244043721549514021e-04 5.770589031581335071e+00
1.135154708920999033e-04 1.323170767364548794e+02 1.323164895057225863e+02 2.270051731849600921e-04 5.765578215702283238e+00
1.148312414543511137e-04 1.323150765944586453e+02 1.323144907084769386e+02 2.296361135085894041e-04 5.760567221482009614e+00
1.161622632608501891e-04 1.323130298432111260e+02 1.323124383680793699e+02 2.322975423133139818e-04 5.755556058037815781e+00
1.175087130904807617e-04 1.323109353972277518e+02 1.323103339782078649e+02 2.349898128303393684e-04 5.750544730341096589e+00
1.188707697711903309e-04 1.323087921457745608e+02 1.323081780894457609e+02 2.377132823813860615e-04 5.745533240268584585e+00
1.202486142037412301e-04 1.323065989522823998e+02 1.323059705859675717e+02 2.404683124260139629e-04 5.740521587510342805e+00
1.216424293857368039e-04 1.323043546537480779e+02 1.323037116441504679e+02 2.432552686094931291e-04 5.735509772716292254e+00
1.230524004359261579e-04 1.323020580601202028e+02 1.323014000661892169e+02 2.460745208112275753e-04 5.730497792026204351e+00
1.244787146187906256e-04 1.322997079536722538e+02 1.322990346264232926e+02 2.489264431937378481e-04 5.725485641488862854e+00
1.259215613694150942e-04 1.322973030883609056e+02 1.322966140706904810e+02 2.518114142522093635e-04 5.720473317059928675e+00
1.273811323186478520e-04 1.322948421891690600e+02 1.322941371156673540e+02 2.547298168646127152e-04 5.715460814599762074e+00
1.288576213185518003e-04 1.322923239514341560e+02 1.322916024481918953e+02 2.576820383424025126e-04 5.710448129871180001e+00
1.303512244681508938e-04 1.322897470401607904e+02 1.322890087245718860e+02 2.606684704818018248e-04 5.705435258537169929e+00
1.318621401394748458e-04 1.322871100893181051e+02 1.322863545698778012e+02 2.636895096156779473e-04 5.700422196158553945e+00
1.333905690039058638e-04 1.322844117011193532e+02 1.322836385772183121e+02 2.667455566660177873e-04 5.695408938191586223e+00
1.349367140588306430e-04 1.322816504452873403e+02 1.322808593069998437e+02 2.698370171970083421e-04 5.690395479985502547e+00
1.365007806546013845e-04 1.322788248583003110e+02 1.322780152861689373e+02 2.729643014687300768e-04 5.685381816780016528e+00
1.380829765218092263e-04 1.322759334426226872e+02 1.322751050074364514e+02 2.761278244914698696e-04 5.680367943702740341e+00
1.396835117988739626e-04 1.322729746659168484e+02 1.322721269284859318e+02 2.793280060806610596e-04 5.675353855766568145e+00
1.413025990599533599e-04 1.322699469602370073e+02 1.322690794711606657e+02 2.825652709124569940e-04 5.670339547866976915e+00
1.429404533431761061e-04 1.322668487212051502e+02 1.322659610206351317e+02 2.858400485799463138e-04 5.665325014779278412e+00
