# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 8.800329787140982774e+01 8.800232901980476186e+01 1.999800019997333795e-04 5.643507597707111856e+00
1.011591112223829728e-04 8.800283681068498254e+01 8.800205747233103182e+01 2.022977581832760541e-04 5.638501755949022254e+00
1.023316578330244966e-04 8.800236500177645382e+01 8.800174346690268123e+01 2.046423742725537011e-04 5.633495710487741448e+00
1.035177955630176228e-04 8.800188219417582047e+01 8.800138811781589254e+01 2.070141614763123497e-04 5.628489466887779180e+00
1.047176819485520245e-04 8.800138813153853334e+01 8.800099369922695303e+01 2.094134346075829226e-04 5.623483036438263305e+00
1.059314763518370031e-04 8.800088255154850003e+01 8.800056332244021462e+01 2.118405121253895179e-04 5.618476434560482069e+00
1.071593399822671198e-04 8.800036518577783795e+01 8.800010055816602517e+01 2.142957161769398083e-04 5.613469678943838304e+00
1.084014359178331018e-04 8.799983575954613002e+01 8.799960906622186485e+01 2.167793726403025999e-04 5.608462787718486275e+00
1.096579291267809898e-04 8.799929399177359812e+01 8.799909228442201936e+01 2.192918111675785128e-04 5.603455777920018477e+00
1.109289864895222780e-04 8.799873959483333863e+01 8.799855320852640261e+01 2.218333652285692595e-04 5.598448664403491648e+00
1.122147768207980290e-04 8.799817227439771727e+01 8.799799427255864259e+01 2.244043721549514021e-04 5.593441459252748160e+00
1.135154708920999033e-04 8.799759172928359874e+01 8.799741731950490475e+01 2.270051731849600921e-04 5.588434171635757508e+00
1.148312414543511137e-04 8.799699765129193452e+01 8.799682364008194213e+01 2.296361135085894041e-04 5.583426807995892638e+00
1.161622632608501891e-04 8.799638972504483547e+01 8.799621405285900266e+01 2.322975423133139818e-04 5.578419372447289248e+00
1.175087130904807617e-04 8.799576762781897799e+01 8.799558900114472237e+01 2.349898128303393684e-04 5.573411867252964669e+00
1.188707697711903309e-04 8.799513102937383735e+01 8.799494864812716344e+01 2.377132823813860615e-04 5.568404293294325846e+00
1.202486142037412301e-04 8.799447959177751954e+01 8.799429295904663206e+01 2.404683124260139629e-04 5.563396650476695626e+00
1.216424293857368039e-04 8.799381296922702234e+01 8.799362198593031792e+01 2.432552686094931291e-04 5.558388939134599305e+00
1.230524004359261579e-04 8.799313080786640739e+01 8.799293537261388565e+01 2.460745208112275753e-04 5.553381157588797912e+00
1.244787146187906256e-04 8.799243274559795225e+01 8.799223275463826610e+01 2.489264431937378481e-04 5.548373304119946781e+00
1.259215613694150942e-04 8.799171841189156851e+01 8.799151375905664452e+01 2.518114142522093635e-04 5.543365376967653191e+00
1.273811323186478520e-04 8.799098742758810943e+01 8.799077800423691542e+01 2.547298168646127152e-04 5.538357374329502036e+00
