# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.325190778505955222e+02 1.325158065331647208e+02 1.999800019997333795e-04 5.821281115777956927e+00
1.011591112223829728e-04 1.325175210822465601e+02 1.325148896629392539e+02 2.022977581832760541e-04 5.816273609245784293e+00
1.023316578330244966e-04 1.325159280318028152e+02 1.325138294388812881e+02 2.046423742725537011e-04 5.811265638705820358e+00
1.035177955630176228e-04 1.325142978540642673e+02 1.325126296250444113e+02 2.070141614763123497e-04 5.806257216550635647e+00
1.047176819485520245e-04 1.325126296841603732e+02 1.325112979017955297e+02 2.094134346075829226e-04 5.801248368007938083e+00
1.059314763518370031e-04 1.325109226370927900e+02 1.325098447760799161e+02 2.118405121253895179e-04 5.796239127569872807e+00
1.071593399822671198e-04 1.325091758072682921e+02 1.325082823059017016e+02 2.142957161769398083e-04 5.791229534813311375e+00
1.084014359178331018e-04 1.325073882680201223e+02 1.325066228499676981e+02 2.167793726403025999e-04 5.786219630302408490e+00
1.096579291267809898e-04 1.325055590711187676e+02 1.325048780172241720e+02 2.192918111675785128e-04 5.781209452146010896e+00
1.109289864895222780e-04 1.325036872462711983e+02 1.325030579238820110e+02 2.218333652285692595e-04 5.776199033562587459e+00
1.122147768207980290e-04 1.325017718006087080e+02 1.325011707893604012e+02 2.244043721549514021e-04 5.771188401555758851e+00
1.135154708920999033e-04 1.324998117181624764e+02 1.324992228374041190e+02 2.270051731849600921e-04 5.766177576589919695e+00
1.148312414543511137e-04 1.324978059593281898e+02 1.324972184270345679e+02 2.296361135085894041e-04 5.761166573019103510e+00
1.161622632608501891e-04 1.324957534603158251e+02 1.324951603231141632e+02 2.322975423133139818e-04 5.756155399973475362e+00
1.175087130904807617e-04 1.324936531325902251e+02 1.324930500235122963e+02 2.349898128303393684e-04 5.751144062431382764e+00
1.188707697711903309e-04 1.324915038622953887e+02 1.324908880803544378e+02 2.377132823813860615e-04 5.746132562272099342e+00
1.202486142037412301e-04 1.324893045096676190e+02 1.324886743774864328e+02 2.404683124260139629e-04 5.741120899185109927e+00
