# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 1.321225824729206693e+02 1.321193120573931594e+02 1.999800019997333795e-04 5.819979735275637722e+00
1.011591112223829728e-04 1.321210261335816085e+02 1.321183954400302412e+02 2.022977581832760541e-04 5.814972220556911431e+00
1.023316578330244966e-04 1.321194335222558323e+02 1.321173355084107754e+02 2.046423742725537011e-04 5.809964240550407943e+00
1.035177955630176228e-04 1.321178037939843364e+02 1.321161360255677266e+02 2.070141614763123497e-04 5.804955807682302904e+00
1.047176819485520245e-04 1.321161360841426529e+02 1.321148046697674374e+02 2.094134346075829226e-04 5.799946947248876938e+00
1.059314763518370031e-04 1.321144295079849087e+02 1.321133519450766869e+02 2.118405121253895179e-04 5.794937693836086368e+00
1.071593399822671198e-04 1.321126831601771414e+02 1.321117899061924845e+02 2.142957161769398083e-04 5.789928087128468626e+00
1.084014359178331018e-04 1.321108961143165459e+02 1.321101309084310742e+02 2.167793726403025999e-04 5.784918167800530142e+00
1.096579291267809898e-04 1.321090674224459462e+02 1.321083865575531604e+02 2.192918111675785128e-04 5.779907974064776965e+00
1.109289864895222780e-04 1.321071961145499074e+02 1.321065669669955014e+02 2.218333652285692595e-04 5.774897539230010146e+00
1.122147768207980290e-04 1.321052811980444233e+02 1.321046803539246639e+02 2.244043721549514021e-04 5.769886890373247645e+00
1.135154708920999033e-04 1.321033216572527351e+02 1.321027329403829356e+02 2.270051731849600921e-04 5.764876048014462739e+00
1.148312414543511137e-04 1.321013164528688719e+02 1.321007290842031523e+02 2.296361135085894041e-04 5.759865026546618694e+00
1.161622632608501891e-04 1.320992645214097081e+02 1.320986715494991017e+02 2.322975423133139818e-04 5.754853835124571937e+00
1.175087130904807617e-04 1.320971647746533222e+02 1.320965618337407363e+02 2.349898128303393684e-04 5.749842478740052165e+00
1.188707697711903309e-04 1.320950160990654751e+02 1.320944004889166479e+02 2.377132823813860615e-04 5.744830959277267723e+00
1.202486142037412301e-04 1.320928173552116220e+02 1.320921873989194353e+02 2.404683124260139629e-04 5.739819276424671379e+00
1.216424293857368039e-04 1.320905673771568729e+02 1.320899227405849956e+02 2.432552686094931291e-04 5.734807430834557351e+00
1.230524004359261579e-04 1.320882649718500659e+02 1.320876053130892274e+02 2.460745208112275753e-04 5.729795418630335924e+00
1.244787146187906256e-04 1.320859089184965853e+02 1.320852338876826479e+02 2.489264431937378481e-04 5.724783235844046914e+00
1.259215613694150942e-04 1.320834979679126775e+02 1.320828072070435439e+02 2.518114142522093635e-04 5.719770878414220050e+00
1.273811323186478520e-04 1.320810308418693069e+02 1.320803239846149211e+02 2.547298168646127152e-04 5.714758342183678508e+00
1.288576213185518003e-04 1.320785062324172259e+02 1.320777829039269307e+02 2.576820383424025126e-04 5.709745622897298034e+00
1.303512244681508938e-04 1.320759228011984590e+02 1.320751826179030957e+02 2.606684704818018248e-04 5.704732716199705678e+00
1.318621401394748458e-04 1.320732791787418421e+02 1.320725217481517575e+02 2.636895096156779473e-04 5.699719617632935886e+00
1.333905690039058638e-04 1.320705739637412535e+02 1.320697988842386508e+02 2.667455566660177873e-04 5.694706322634012885e+00
1.349367140588306430e-04 1.320678057223183828e+02 1.320670125829464041e+02 2.698370171970083421e-04 5.689692826532501080e+00
1.365007806546013845e-04 1.320649729872671116e+02 1.320641613675133783e+02 2.729643014687300768e-04 5.684679124547976414e+00
1.380829765218092263e-04 1.320620742572828874e+02 1.320612437268572990e+02 2.761278244914698696e-04 5.679665211787451540e+00
1.396835117988739626e-04 1.320591079961724574e+02 1.320582581147801591e+02 2.793280060806610596e-04 5.674651083242732597e+00
1.413025990599533599e-04 1.320560726320443621e+02 1.320552029491553299e+02 2.825652709124569940e-04 5.669636733787724481e+00
1.429404533431761061e-04 1.320529665564844777e+02 1.320520766110945772e+02 2.858400485799463138e-04 5.664622158175657063e+00
1.445972921792019463e-04 1.320497881237091065e+02 1.320488774440985651e+02 2.891527736500166482e-04 5.659607351036266110e+00
1.462733356201129868e-04 1.320465356497005303e+02 1.320456037531851337e+02 2.925038857208746290e-04 5.654592306872892493e+00
1.479688062686396383e-04 1.320432074113213901e+02 1.320422538039986193e+02 2.958938294802293295e-04 5.649577020059517452e+00
1.496839293077255632e-04 1.320398016454106767e+02 1.320388258218995645e+02 2.993230547641470953e-04 5.644561484837733012e+00
1.514189325304352018e-04 1.320363165478561314e+02 1.320353179910317181e+02 3.027920166165852479e-04 5.639545695313638696e+00
1.531740463702079740e-04 1.320327502726485989e+02 1.320317284533698228e+02 3.063011753496128480e-04 5.634529645454660951e+00
1.549495039314631646e-04 1.320291009309122785e+02 1.320280553077435570e+02 3.098509966043256183e-04 5.629513329086308637e+00
1.567455410205595065e-04 1.320253665899126077e+02 1.320242966088399612e+02 3.134419514124640264e-04 5.624496739888841468e+00
1.585623961771137158e-04 1.320215452720444773e+02 1.320204503661835531e+02 3.170745162587414656e-04 5.619479871393865622e+00
1.604003107056819902e-04 1.320176349537928786e+02 1.320165145430915459e+02 3.207491731438919663e-04 5.614462716980851198e+00
1.622595287078087002e-04 1.320136335646735120e+02 1.320124870556072381e+02 3.244664096484443775e-04 5.609445269873565287e+00
1.641402971144466361e-04 1.320095389861470210e+02 1.320083657714064600e+02 3.282267189972323958e-04 5.604427523136418898e+00
1.660428657187529582e-04 1.320053490505088973e+02 1.320041485086819932e+02 3.320306001246483034e-04 5.599409469670740158e+00
1.679674872092653225e-04 1.320010615397535219e+02 1.319998330349992273e+02 3.358785577406489791e-04 5.594391102210940048e+00
1.699144172034625999e-04 1.319966741844140756e+02 1.319954170661287094e+02 3.397711023975232372e-04 5.589372413320610633e+00
1.718839142817145534e-04 1.319921846623741715e+02 1.319908982648489939e+02 3.437087505574287316e-04 5.584353395388514052e+00
1.738762400216250527e-04 1.319875905976515185e+02 1.319862742397255602e+02 3.476920246607074268e-04 5.579334040624488900e+00
1.758916590327732731e-04 1.319828895591568312e+02 1.319815425438586090e+02 3.517214531949887954e-04 5.574314341055252697e+00
1.779304389918577296e-04 1.319780790594217024e+02 1.319767006736044834e+02 3.557975707650890365e-04 5.569294288520114655e+00
1.799928506782476454e-04 1.319731565532987645e+02 1.319717460672663947e+02 3.599209181637167787e-04 5.564273874666577413e+00
1.820791680099462359e-04 1.319681194366320085e+02 1.319666761037573508e+02 3.640920424429929100e-04 5.559253090945845521e+00
1.841896680799710861e-04 1.319629650448961797e+02 1.319614881012300600e+02 3.683114969867951061e-04 5.554231928608223789e+00
1.863246311931559835e-04 1.319576906518062458e+02 1.319561793156778151e+02 3.725798415839356222e-04 5.549210378698407276e+00
1.884843409033795474e-04 1.319522934678944921e+02 1.319507469395018688e+02 3.768976425021829200e-04 5.544188432050661142e+00
1.906690840512252085e-04 1.319467706390554724e+02 1.319451881000478295e+02 3.812654725631356933e-04 5.539166079283892152e+00
1.928791508020777693e-04 1.319411192450580756e+02 1.319394998581073821e+02 3.856839112179594859e-04 5.534143310796598492e+00
1.951148346846616412e-04 1.319353362980228610e+02 1.319336792063871258e+02 3.901535446239965256e-04 5.529120116761701453e+00
1.973764326300255292e-04 1.319294187408664527e+02 1.319277230679414856e+02 3.946749657222570142e-04 5.524096487121263443e+00
1.996642450109793374e-04 1.319233634457090432e+02 1.319216282945709793e+02 3.992487743158042342e-04 5.519072411581072757e+00
2.019785756819878484e-04 1.319171672122473638e+02 1.319153916651843588e+02 4.038755771490413322e-04 5.514047879605104896e+00
2.043197320195270594e-04 1.319108267660884621e+02 1.319090098841222130e+02 4.085559879879120844e-04 5.509022880409858658e+00
