U,W,L,N,nmax,boundary,g,n_realizations_used,source
1.0,15.0,8,8,3,periodic,-0.044044044044044384,110,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,0.5,8,8,4,periodic,1.1171171171171173,287,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,1.0,8,8,4,periodic,1.2772772772772774,277,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,2.0,8,8,4,periodic,1.1771771771771773,283,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,3.0,8,8,4,periodic,0.9519519519519521,262,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,4.0,8,8,4,periodic,0.4714714714714714,246,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,5.0,8,8,4,periodic,0.27127127127127126,225,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,6.0,8,8,4,periodic,0.2212212212212212,216,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,7.0,8,8,4,periodic,0.06606606606606615,185,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,8.0,8,8,4,periodic,0.0960960960960961,172,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,9.0,8,8,4,periodic,0.09609609609609616,162,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,10.0,8,8,4,periodic,0.05105105105105113,183,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,11.0,8,8,4,periodic,-0.029029029029029322,163,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,12.0,8,8,4,periodic,0.0010010010010011274,134,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,13.0,8,8,4,periodic,-0.06406406406406444,144,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,14.0,8,8,4,periodic,-0.024024024024024367,133,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
1.0,15.0,8,8,4,periodic,0.03603603603603615,116,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,0.5,8,8,2,periodic,1.1321321321321323,295,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,1.0,8,8,2,periodic,1.3173173173173174,280,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,2.0,8,8,2,periodic,1.1771771771771773,248,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,3.0,8,8,2,periodic,1.0220220220220222,267,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,4.0,8,8,2,periodic,0.6366366366366365,264,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,5.0,8,8,2,periodic,0.41641641641641636,206,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,6.0,8,8,2,periodic,0.15115115115115116,178,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,7.0,8,8,2,periodic,0.1861861861861862,177,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,8.0,8,8,2,periodic,0.09609609609609616,182,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,9.0,8,8,2,periodic,0.10110110110110115,183,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,10.0,8,8,2,periodic,0.08108108108108117,177,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,11.0,8,8,2,periodic,0.0010010010010010313,164,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,12.0,8,8,2,periodic,0.02102102102102107,173,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,13.0,8,8,2,periodic,0.0010010010010010313,169,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,14.0,8,8,2,periodic,0.046046046046046105,170,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,15.0,8,8,2,periodic,0.01101101101101112,167,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
