L,N,nmax,filling,U,W,dim,observable,entropy_mean,entropy_stderr,pr_normalized_mean,pr_normalized_stderr,onsite_pair_density_mean,onsite_pair_density_stderr,n_realizations
9,7,2,0.7777777777777778,1.0,1.0,2304,ln_pr_normalized,0.8479803902919801,7.157039595624526e-05,0.3082170363902733,0.0001705041783473727,0.44705188803741996,4.061753778196245e-05,300
9,7,2,0.7777777777777778,1.0,2.0,2304,ln_pr_normalized,0.8335291086193479,0.0005287581485525545,0.27624689575879,0.0010787083388011452,0.4419310961042566,0.00011899642321448568,300
9,7,2,0.7777777777777778,1.0,3.0,2304,ln_pr_normalized,0.7980561360274443,0.0016585118063140213,0.21420131723404567,0.0024637653687292977,0.43642890817394325,0.0001524128289587263,300
9,7,2,0.7777777777777778,1.0,4.0,2304,ln_pr_normalized,0.7287957912271884,0.004047206901916694,0.13870515798985333,0.0035711253407493255,0.43224673285964665,0.0001649164111737304,300
9,7,2,0.7777777777777778,1.0,5.0,2304,ln_pr_normalized,0.6263706641285379,0.006306354801184705,0.07663042774605948,0.003441784341932489,0.4287982001276034,0.0001608907942273475,300
9,7,2,0.7777777777777778,1.0,6.0,2304,ln_pr_normalized,0.5455859936209531,0.006764821348479785,0.044611343107212535,0.002534465222595778,0.4264622979855467,0.00014712015551960535,300
9,7,2,0.7777777777777778,1.0,7.0,2304,ln_pr_normalized,0.4852912938465842,0.007161489350102438,0.029118410975222667,0.001733280709742637,0.4247758793990867,0.00011888927754372663,300
9,7,2,0.7777777777777778,1.0,8.0,2304,ln_pr_normalized,0.415519716365261,0.0070213999842015816,0.01808566753410613,0.0014480415226830218,0.42378451466097666,0.00012671376815572206,300
9,7,2,0.7777777777777778,1.0,9.0,2304,ln_pr_normalized,0.34936812226023695,0.006150809511614713,0.009461748786235024,0.0006180780620186284,0.42273163899212,0.00010856525616225544,300
9,7,2,0.7777777777777778,1.0,10.0,2304,ln_pr_normalized,0.3093758111167055,0.005623951105519427,0.006489200246094857,0.00037045628219198166,0.4217485852817034,0.00010404503498798167,300
9,7,2,0.7777777777777778,1.0,11.0,2304,ln_pr_normalized,0.2967269779462657,0.006194421714578242,0.006740989536470826,0.0005764185218833182,0.42132240961633327,0.00011532109531563367,300
9,7,2,0.7777777777777778,1.0,12.0,2304,ln_pr_normalized,0.272836045742226,0.005491183848744995,0.005141135190407287,0.0005202432604830997,0.4208163418241867,0.00010524101000912792,300
9,7,2,0.7777777777777778,1.0,13.0,2304,ln_pr_normalized,0.236413739424592,0.0054608545033522785,0.00402596234570636,0.00052613909030514,0.4206063923878533,0.0001086575360792666,300
9,7,2,0.7777777777777778,1.0,14.0,2304,ln_pr_normalized,0.22809965006282454,0.005437962124035176,0.0034321890580624095,0.00020394301639089807,0.4197248305149167,0.0001506667358631876,300
9,7,2,0.7777777777777778,1.0,15.0,2304,ln_pr_normalized,0.21294576057351888,0.005006199722158566,0.0029446045589179635,0.00016839311171429794,0.42000969706961666,0.00012267678139575342,300
9,7,2,0.7777777777777778,2.0,1.0,2304,ln_pr_normalized,0.8286592772038053,8.898521854273444e-05,0.26539980041121664,0.00018241889757458912,0.44320169409483656,6.463787033523269e-06,300
9,7,2,0.7777777777777778,2.0,2.0,2304,ln_pr_normalized,0.8137500245621219,0.0004564018545102364,0.23688593603409,0.0008233932354956824,0.44216492036167004,4.654821228535185e-05,300
9,7,2,0.7777777777777778,2.0,3.0,2304,ln_pr_normalized,0.7757921848906324,0.0016291982632980228,0.18019791685777203,0.0020714630599478444,0.4390205653690134,0.00010968612420862722,300
9,7,2,0.7777777777777778,2.0,4.0,2304,ln_pr_normalized,0.7119624109047044,0.0035584685311557045,0.118972208056858,0.0028719383442332436,0.4354922939466,0.0001540528387209474,300
9,7,2,0.7777777777777778,2.0,5.0,2304,ln_pr_normalized,0.6401162652873942,0.005264949357139905,0.07671546384586364,0.0027695723842888417,0.43263456810122325,0.0001671013826619374,300
9,7,2,0.7777777777777778,2.0,6.0,2304,ln_pr_normalized,0.5546433725117904,0.0065786826975480365,0.0455317922654494,0.002250388314767002,0.43010613891137334,0.00016612988292307872,300
