L,N,nmax,c_half_slope,b_half_intercept,r2,n_W
9,7,2,0.281270070948962,3.4647964032233216,0.9384943876845436,15
9,8,2,0.2712526180869652,3.767954182965929,0.9176086114501673,15
9,9,2,0.27119861826947217,3.8952792885840246,0.966593521267335,15
9,10,2,0.24845567446992142,4.122714669724271,0.9167690264708802,15
9,11,2,0.28673900747447373,3.8719330605258446,0.964146228229012,15
