U,W,L,N,nmax,boundary,g,n_realizations_used,source
1.0,0.5,7,7,2,periodic,0.6966966966966965,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,1.0,7,7,2,periodic,1.2272272272272273,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,2.0,7,7,2,periodic,1.1521521521521523,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,3.0,7,7,2,periodic,0.9169169169169171,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,4.0,7,7,2,periodic,0.4714714714714714,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,5.0,7,7,2,periodic,0.38638638638638634,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,6.0,7,7,2,periodic,0.2762762762762762,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,7.0,7,7,2,periodic,0.21621621621621628,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,8.0,7,7,2,periodic,0.12112112112112118,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,9.0,7,7,2,periodic,0.12612612612612614,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,10.0,7,7,2,periodic,0.12112112112112118,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,11.0,7,7,2,periodic,0.11111111111111113,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,12.0,7,7,2,periodic,0.09109109109109112,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,13.0,7,7,2,periodic,0.09609609609609615,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,14.0,7,7,2,periodic,0.06606606606606612,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,15.0,7,7,2,periodic,0.05605605605605614,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,0.5,7,7,3,periodic,1.2822822822822824,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,1.0,7,7,3,periodic,1.2072072072072073,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,2.0,7,7,3,periodic,1.2572572572572573,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,3.0,7,7,3,periodic,1.0320320320320322,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,4.0,7,7,3,periodic,0.5465465465465464,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,5.0,7,7,3,periodic,0.39139139139139134,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,6.0,7,7,3,periodic,0.2662662662662663,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,7.0,7,7,3,periodic,0.19119119119119118,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
1.0,8.0,7,7,3,periodic,0.1711711711711712,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p05/thouless_summary.csv
