L,N,nmax,W_over_t,U_M_star_over_t,mixing_max,search_U_max_over_t,local_maxima,U_small_W_over_t,U_large_W_over_t,small_W_regime,large_W_regime,beta_eff
7,4,4,0.1,0.023611791627640603,0.9996947387329385,4.0,2,0.02361183409190479,0.17428269868587676,True,False,0.9994272324047088
7,4,4,0.11009117314389681,0.025993067052334062,0.9996300919344493,4.0,2,0.025993084914322662,0.182864972907944,True,False,0.9993764984584423
7,4,4,0.12120066404199469,0.028614217617088593,0.9995517726394774,4.0,2,0.028614143704572284,0.19186986757012459,True,False,0.9992331377206476
7,4,4,0.13343123290202505,0.03149912497571898,0.9994568976404257,4.0,2,0.03149904669676225,0.20131819394362463,True,False,0.999058443530668
7,4,4,0.14689600964220462,0.03467434375092859,0.9993419796791395,4.0,2,0.034674201102181126,0.21123178811759136,True,False,0.9988512947209252
7,4,4,0.16171954031667485,0.03816871738131807,0.9992028027356913,4.0,2,0.03816860612835463,0.2216335614646418,True,False,0.998599787302954
7,4,4,0.17803893913754448,0.04201422189973613,0.9990342724259875,4.0,2,0.04201409020354296,0.23254755359148674,True,False,0.9983181236955758
7,4,4,0.19600515674947117,0.04624578123130243,0.9988302369408267,4.0,2,0.04624556400336884,0.24399898789702376,True,False,0.9979867280287635
7,4,4,0.2,0.04718637918705629,0.9987822410553991,4.0,2,0.047186130021670505,0.24647295616855047,True,False,0.9978996426596698
7,4,4,0.21578437648802667,0.05090156549753203,0.9985832733084125,4.0,2,0.05090128815402957,0.2560143298662999,True,False,0.9975394626501952
7,4,4,0.23755955153691163,0.056023707130807954,0.9982844331154268,4.0,2,0.056023153463580014,0.2686213482350683,True,False,0.9970403045392331
7,4,4,0.25,0.05894818335149155,0.9981010767902372,4.0,2,0.058947470500082734,0.2755651423041025,True,False,0.9967260035206706
7,4,4,0.26153209720236614,0.06165785972985033,0.9979229412338051,4.0,2,0.0616569701025596,0.2818491791662953,True,False,0.9964169092185653
7,4,4,0.2879237539579214,0.06785420517105552,0.9974858406652178,4.0,2,0.06785276017504027,0.295728393586939,True,False,0.9956713170980933
7,4,4,0.3,0.07068711591530405,0.9972722401227833,4.0,2,0.07068534962715804,0.30186648900415614,True,False,0.9953128981623642
7,4,4,0.3169786384922227,0.07466737567483253,0.9969575764711995,4.0,2,0.07466504539987995,0.3102910678406181,True,False,0.9947704871680436
7,4,4,0.34896550173163965,0.08215688284469658,0.9963195121082944,4.0,2,0.08215311790383845,0.3255708578194616,True,False,0.9936731441281026
7,4,4,0.38418021472384767,0.09038733103219444,0.9955493726199408,4.0,2,0.0903812770712063,0.34160307674646123,True,False,0.9923918514607166
7,4,4,0.4,0.09407931742764405,0.9951805508362566,4.0,2,0.09407195474622837,0.3485653973717535,True,False,0.9917835454070456
7,4,4,0.4229485053762257,0.09942873393703067,0.9946206114384935,4.0,2,0.09941900854143843,0.35842477678809365,True,False,0.9908371725342526
7,4,4,0.4656289713632644,0.10935672201586637,0.9935017015256413,4.0,2,0.10934107218584457,0.3760748346858254,True,False,0.9889677660637908
7,4,4,0.5,0.11733062493744519,0.9925284940872249,4.0,2,0.11730840721674234,0.3897079615637337,True,False,0.9874077524392035
7,4,4,0.5126163970716772,0.12025260357784498,0.9921553578462421,4.0,2,0.12022745341016132,0.3945940416044059,True,False,0.9867929259240507
