L,N,nmax,points,A_theory,B_theory,A_ED_fit,B_ED_fit,A_ED_bootstrap_median,A_ED_ci95_low,A_ED_ci95_high,B_ED_bootstrap_median,B_ED_ci95_low,B_ED_ci95_high,bootstrap_valid_fraction
7,4,4,19,0.236180904522613,-0.0062563603565134,0.39330739849232316,-0.06434480833268522,0.3932123537498359,0.38561016888718513,0.4007059387722848,-0.06426814096825434,-0.06760924181830472,-0.0611441528109111,0.9995
7,5,5,19,0.2072776561359607,-0.0058477121292602,0.36104006384354687,-0.06088153928069746,0.36106997957957043,0.3569984118856241,0.36541967927968694,-0.06088711448321699,-0.06239992573095501,-0.05933140259381844,1.0
7,6,6,19,0.1849540852366376,-0.0054588135193368,0.3157567859999281,-0.05256944684591888,0.3157160691866724,0.31263946672753984,0.3189926769961403,-0.052568075697840104,-0.053782965894418805,-0.05133939323113424,1.0
7,7,7,19,0.167125132110437,-0.005090728140782,0.27322176976386264,-0.04468723524790006,0.273287731840706,0.27084169430748434,0.2758955422229048,-0.044703551091691225,-0.045697174361911015,-0.04376459675397998,1.0
