L,N,nmax,W_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high
7,4,4,0.1,0.0236117916276406,0.0232667938854757,0.0223918945147656,0.0242129629349108
7,4,4,0.2,0.0471863791870562,0.0465218979896035,0.0447770589889846,0.0484123573206142
7,4,4,0.3,0.070687115915304,0.0696883423320221,0.0670533181289695,0.072532457076103
7,4,4,0.4,0.094079317427644,0.0927313304795217,0.0892216585727963,0.096533281102089
7,4,4,0.5,0.1173306249374451,0.1156307905325741,0.1111843587329471,0.1203963877330882
7,4,4,0.6,0.1404116366738348,0.1383488232486375,0.1330024690774328,0.1440811236853906
7,4,4,0.7,0.1632962626970096,0.160872049750431,0.1546862111621224,0.1676092470909193
7,4,4,0.8,0.1859622149258344,0.1831939804516009,0.1760874508433461,0.1909074083518639
7,4,4,0.9,0.2083907590690607,0.2052837962791157,0.1972334736789361,0.2139860118068152
7,4,4,1.0,0.230566911994299,0.2271020567205859,0.2180713422237482,0.2367639732896604
7,4,4,1.1,0.2524792100551823,0.2486408884772703,0.2386822614116782,0.2593460606812414
7,4,4,1.2,0.274119294401779,0.2699382522005453,0.2589951520033656,0.281637265517798
7,4,4,1.3,0.2954818420522609,0.2908911579232249,0.2789140336030699,0.3037831058207754
7,4,4,1.4,0.3165639548011165,0.3115570350921875,0.2987800694078396,0.3254775702161837
7,4,4,1.5,0.3373650294973242,0.3320306588079155,0.3182519241720755,0.3469577946273308
7,4,4,1.6,0.3578861201702815,0.352231379689419,0.3374262626146125,0.3681491589563473
7,4,4,1.7,0.3781298711991938,0.372101878218509,0.3565020763086973,0.3891877140788177
7,4,4,1.8,0.398100103384974,0.3917446765217556,0.3752789151641224,0.4097797615923048
7,4,4,1.9,0.4178014703655949,0.4111084379691727,0.3936459413480598,0.4303054212074981
7,4,4,2.0,0.4372393343015033,0.4302078146186974,0.4116315990652845,0.4505045624967976
7,4,4,2.1,0.4564195066899945,0.4490616506439304,0.4294774310706488,0.4704578122359866
7,4,4,2.2,0.4753481646877263,0.4676097321801137,0.4469361877118669,0.4902382999608515
7,4,4,2.3,0.4940315644382013,0.4859606576504883,0.4643774663978159,0.5096665703358567
7,4,4,2.4,0.5124761007052401,0.5041591589651115,0.4814421231806708,0.5289066029694985
7,4,4,2.5,0.5306881682798229,0.5221511627645996,0.4983697988142396,0.5479020800074902
7,5,5,0.1,0.0207219263636667,0.0203960557092399,0.0196272521558022,0.0212493711890714
7,5,5,0.2,0.0414090099796155,0.0408167128802549,0.0392841111017611,0.0425176969020044
7,5,5,0.3,0.0620273206532117,0.0610934451510622,0.0588071119481538,0.0636714989890903
7,5,5,0.4,0.0825448219675101,0.0813152274315942,0.0782694519844056,0.0847047170077334
7,5,5,0.5,0.1029319057363437,0.1013985887669403,0.0975945953435903,0.1056506854114696
7,5,5,0.6,0.123162240443962,0.1213099746081473,0.116762840456779,0.1264226239319137
7,5,5,0.7,0.1432129604969704,0.1410324264028405,0.1356720613349227,0.1469978836184961
7,5,5,0.8,0.1630648965324487,0.1605306279569786,0.1544466745079518,0.1673641704749425
7,5,5,0.9,0.1827026604883891,0.1798965941697582,0.1730070954388231,0.1874528601260045
7,5,5,1.0,0.2021144058073339,0.1990075886205029,0.1913257103136966,0.2074380811346411
7,5,5,1.1,0.2212916704471271,0.2178628655792484,0.2093731405037243,0.2271097029923706
7,5,5,1.2,0.2402289664103922,0.2364385674274723,0.2272422410724003,0.2466411757635052
7,5,5,1.3,0.2589234192142495,0.2548680053411599,0.2448342093902335,0.2658185919813331
7,5,5,1.4,0.2773743724387647,0.273024812076337,0.2621343850266268,0.2846764243494591
7,5,5,1.5,0.2955829499815748,0.2909223316930678,0.2793346906218987,0.3033107811485523
7,5,5,1.6,0.3135518430372909,0.308547578224133,0.2962102637559641,0.3217726249819943
7,5,5,1.7,0.3312848050482986,0.3260069417953546,0.3125769838198896,0.3399566808642175
7,5,5,1.8,0.3487864426632958,0.3432421000299975,0.3290045176142547,0.3580969197462363
7,5,5,1.9,0.3660620499049257,0.360207681934429,0.3450999975946444,0.3760559538876241
7,5,5,2.0,0.383117222409753,0.3769579567813499,0.3607532309454005,0.3937495047663162
