U,W,mean_r,stderr_r,n_r_values,n_realizations_used,n_realizations_total,n_levels_min,n_levels_max,zero_gap_fraction,duplicate_levels_removed,L,Nup,Ndown,N,nmax,boundary,file
1.0,0.5,0.5334312277532026,0.001479427776160357,29400,300,300,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_1/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U1_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
2.0,0.5,0.5304460419609806,0.0014870006629220214,29400,300,300,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_2/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U2_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
3.0,0.5,0.5334034324452985,0.001476027315012766,29400,300,300,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_3/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
4.0,0.5,0.5210486601784268,0.0014958376294003043,29400,300,300,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_4/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
5.0,0.5,0.5199328411120501,0.0015098055679056812,29204,298,298,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_5/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U5_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
6.0,0.5,0.5294729143419803,0.0015000395982738277,29302,299,299,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_6/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U6_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
7.0,0.5,0.5301527901903244,0.0014856694025694734,29400,300,300,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_7/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U7_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
8.0,0.5,0.5296342917806364,0.0014824564159512121,29400,300,300,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_8/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U8_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
9.0,0.5,0.5268120846035548,0.0014814435214901864,29400,300,300,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_9/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U9_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
10.0,0.5,0.526539135957702,0.0014871605341863058,29302,299,299,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_10/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U10_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
12.0,0.5,0.5250061196568654,0.0014917937962691647,29400,300,300,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_12/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U12_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
15.0,0.5,0.5219678190502355,0.0014827496988357447,29400,300,300,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_15/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U15_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
20.0,0.5,0.5180468250669099,0.0014982331411491961,29400,300,300,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_20/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U20_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
30.0,0.5,0.501530505014045,0.0015039260503802235,29400,300,300,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_30/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U30_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
40.0,0.5,0.49458439397863585,0.0015224245506293113,29400,300,300,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_40/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U40_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
1.0,1.0,0.5299815780933947,0.0014722412430494226,29400,300,300,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_1/W_1/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U1_L9_N9_nmax2_W1_boundaryperiodic_nreal300.txt
2.0,1.0,0.5339953576582026,0.0014781871098868452,29400,300,300,100,100,0.0,0,9,,,9,2,periodic,pbs_bose_midpoint_L9/data/U_2/W_1/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U2_L9_N9_nmax2_W1_boundaryperiodic_nreal300.txt
