U,W,L,N,nmax,boundary,tau_Th,mean_spacing,t_H,t_Th,g,n_realizations_used,n_realizations_total,n_levels,file,epsilon,curve_file
1.0,0.5,7,7,2,periodic,0.2010496416260499,0.027814563345280707,225.8955220393799,45.41621375094679,0.6966966966966965,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt,0.05,results_multi_nmax_L7_allU/curves/SFF_U1_W0.5_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,1.0,7,7,2,periodic,0.059261518124755524,0.02922006609487239,215.02981159519607,12.742993077211477,1.2272272272272273,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_1/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W1_boundaryperiodic_nreal300.txt,0.05,results_multi_nmax_L7_allU/curves/SFF_U1_W1_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,2.0,7,7,2,periodic,0.07044462277299036,0.032830652729017765,191.38167489512378,13.481809893650075,1.1521521521521523,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_2/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W2_boundaryperiodic_nreal300.txt,0.05,results_multi_nmax_L7_allU/curves/SFF_U1_W2_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,3.0,7,7,2,periodic,0.12108297502320395,0.03819143048436915,164.51819760328553,19.920352811261154,0.9169169169169171,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_3/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W3_boundaryperiodic_nreal300.txt,0.05,results_multi_nmax_L7_allU/curves/SFF_U1_W3_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,4.0,7,7,2,periodic,0.3376980310825091,0.04437055073431509,141.60710658748542,47.82044108188483,0.4714714714714714,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_4/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W4_boundaryperiodic_nreal300.txt,0.05,results_multi_nmax_L7_allU/curves/SFF_U1_W4_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,5.0,7,7,2,periodic,0.41078408899656466,0.05205713364065534,120.6978730437162,49.58076582208598,0.38638638638638634,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W5_boundaryperiodic_nreal300.txt,0.05,results_multi_nmax_L7_allU/curves/SFF_U1_W5_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,6.0,7,7,2,periodic,0.5293266058360562,0.05874935356287029,106.94901179560505,56.610957411287956,0.2762762762762762,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_6/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W6_boundaryperiodic_nreal300.txt,0.05,results_multi_nmax_L7_allU/curves/SFF_U1_W6_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,7.0,7,7,2,periodic,0.6078323128297229,0.0648138227864891,96.94205706516914,58.92451475639274,0.21621621621621628,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_7/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W7_boundaryperiodic_nreal300.txt,0.05,results_multi_nmax_L7_allU/curves/SFF_U1_W7_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,8.0,7,7,2,periodic,0.7566218500481054,0.07442782329387451,84.41984501374903,63.87389931507712,0.12112112112112118,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_8/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W8_boundaryperiodic_nreal300.txt,0.05,results_multi_nmax_L7_allU/curves/SFF_U1_W8_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,9.0,7,7,2,periodic,0.7479522515621821,0.08186693745053987,76.74875233943605,57.40440211686949,0.12612612612612614,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_9/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W9_boundaryperiodic_nreal300.txt,0.05,results_multi_nmax_L7_allU/curves/SFF_U1_W9_L7_N7_nmax2_boundaryperiodic_nreal300.txt
