U,W,L,N,nmax,boundary,tau_Th,mean_spacing,t_H,t_Th,g,n_realizations_used,n_realizations_total,n_levels,file,epsilon,curve_file
1.0,12.0,7,7,2,periodic,0.8789090653419954,0.10696669167280362,58.73964323771913,51.626804936585984,0.05605605605605614,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_12/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W12_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W12_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,13.0,7,7,2,periodic,0.952750047242729,0.11551339798694628,54.39356314225667,51.823469853485406,0.02102102102102108,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_13/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W13_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W13_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,14.0,7,7,2,periodic,1.0209606623060477,0.1195962030882249,52.53666207567262,53.637865308127736,-0.009009009009009398,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_14/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W14_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W14_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,15.0,7,7,2,periodic,1.0209606623060477,0.1286578362672869,48.836398073151614,49.86004132140666,-0.009009009009009398,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_15/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W15_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U1_W15_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,0.5,7,7,2,periodic,0.18124175473742377,0.033454889377836895,187.81067353766394,34.03913603038365,0.7417417417417416,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W0.5_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,1.0,7,7,2,periodic,0.08668379930019773,0.033970118154172696,184.96212696886943,16.03321989230717,1.0620620620620622,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_1/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W1_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W1_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,2.0,7,7,2,periodic,0.07996554525892346,0.0365058262356797,172.11458978124946,13.76323701887355,1.0970970970970972,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_2/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W2_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W2_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,3.0,7,7,2,periodic,0.19646866461804466,0.04094175936299294,153.46642169117254,30.15134293337439,0.7067067067067065,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_3/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W3_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W3_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,4.0,7,7,2,periodic,0.35772850993678734,0.04709647598129918,133.41094373333752,47.72489811098741,0.4464464464464464,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_4/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W4_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W4_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,5.0,7,7,2,periodic,0.5293266058360562,0.053632537783749636,117.15248926899291,62.01192951000101,0.2762762762762762,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W5_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W5_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,6.0,7,7,2,periodic,0.5804485942768978,0.05997756377696594,104.75892836435297,60.807172707042916,0.23623623623623624,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_6/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W6_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W6_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,7.0,7,7,2,periodic,0.7142559285543126,0.06809794536272884,92.26688520059932,65.90216976376823,0.14614614614614618,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_7/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W7_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W7_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,8.0,7,7,2,periodic,0.8107909806731687,0.07662777881394923,81.99618212130406,66.48176491358785,0.09109109109109112,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_8/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W8_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W8_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,9.0,7,7,2,periodic,0.7923168624866254,0.08184609762854055,76.76829426487619,60.8248140503967,0.10110110110110114,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_9/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W9_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W9_L7_N7_nmax2_boundaryperiodic_nreal300.txt
