U,W,L,N,nmax,boundary,tau_Th,mean_spacing,t_H,t_Th,g,n_realizations_used,n_realizations_total,n_levels,file
2.0,4.0,9,9,2,periodic,0.09727203192450537,0.00632954303312631,992.6759758636435,96.55960921489786,1.0120120120120122,299,299,100,pbs_bose_midpoint_L9/data/U_2/W_4/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U2_L9_N9_nmax2_W4_boundaryperiodic_nreal300.txt
2.0,5.0,9,9,2,periodic,0.18761746914391214,0.007331132475779044,857.0552132209154,160.79853002110414,0.7267267267267266,299,299,100,pbs_bose_midpoint_L9/data/U_2/W_5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U2_L9_N9_nmax2_W5_boundaryperiodic_nreal300.txt
2.0,6.0,9,9,2,periodic,0.4014242490499322,0.008335309779671155,753.8034546122736,302.5949856989766,0.39639639639639634,295,295,100,pbs_bose_midpoint_L9/data/U_2/W_6/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U2_L9_N9_nmax2_W6_boundaryperiodic_nreal300.txt
2.0,7.0,9,9,2,periodic,0.4996877453854884,0.009519956228457669,660.0014912250838,329.7946571013223,0.30130130130130134,291,291,100,pbs_bose_midpoint_L9/data/U_2/W_7/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U2_L9_N9_nmax2_W7_boundaryperiodic_nreal300.txt
2.0,8.0,9,9,2,periodic,0.5354620899273608,0.01042219953206623,602.8655743778422,322.81166040161816,0.2712712712712712,290,290,100,pbs_bose_midpoint_L9/data/U_2/W_8/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U2_L9_N9_nmax2_W8_boundaryperiodic_nreal300.txt
2.0,9.0,9,9,2,periodic,0.6148777653810024,0.011532781451179959,544.8109230004295,334.99212288966544,0.21121121121121117,286,286,100,pbs_bose_midpoint_L9/data/U_2/W_9/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U2_L9_N9_nmax2_W9_boundaryperiodic_nreal300.txt
2.0,10.0,9,9,2,periodic,0.6078323128297229,0.012369946496402417,507.93957023233213,308.74208375205393,0.21621621621621626,284,284,100,pbs_bose_midpoint_L9/data/U_2/W_10/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U2_L9_N9_nmax2_W10_boundaryperiodic_nreal300.txt
2.0,11.0,9,9,2,periodic,0.658898955079995,0.013707563204706428,458.3736155980141,302.0218963537708,0.18118118118118118,285,285,100,pbs_bose_midpoint_L9/data/U_2/W_11/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U2_L9_N9_nmax2_W11_boundaryperiodic_nreal300.txt
2.0,12.0,9,9,2,periodic,0.7060717714137773,0.014616423062783369,429.8716095032826,303.5202088024743,0.15115115115115116,279,279,100,pbs_bose_midpoint_L9/data/U_2/W_12/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U2_L9_N9_nmax2_W12_boundaryperiodic_nreal300.txt
2.0,13.0,9,9,2,periodic,0.730909932860291,0.01580871089750971,397.45083251344386,290.50076130766803,0.13613613613613623,285,285,100,pbs_bose_midpoint_L9/data/U_2/W_13/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U2_L9_N9_nmax2_W13_boundaryperiodic_nreal300.txt
2.0,14.0,9,9,2,periodic,0.7060717714137773,0.017177458578870673,365.78084460691343,258.267528900831,0.15115115115115116,277,277,100,pbs_bose_midpoint_L9/data/U_2/W_14/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U2_L9_N9_nmax2_W14_boundaryperiodic_nreal300.txt
2.0,15.0,9,9,2,periodic,0.7479522515621821,0.01789452383728181,351.1233584259489,262.62350651076355,0.12612612612612617,269,269,100,pbs_bose_midpoint_L9/data/U_2/W_15/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U2_L9_N9_nmax2_W15_boundaryperiodic_nreal300.txt
3.0,0.5,9,9,2,periodic,0.056591701632462424,0.0073957221123385165,849.5702261037026,48.07862475148438,1.2472472472472473,300,300,100,pbs_bose_midpoint_L9/data/U_3/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
3.0,1.0,9,9,2,periodic,0.05791122647641758,0.00686992199901197,914.593398306885,52.96522542318641,1.2372372372372373,300,300,100,pbs_bose_midpoint_L9/data/U_3/W_1/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W1_boundaryperiodic_nreal300.txt
