L,N,nmax,W_over_t,predictor,estimate_over_t,ci95_low,ci95_high,mean_cov,mean_var,fraction_cov_negative,fraction_U_positive,fraction_U_negative,valid_states,total_states
7,4,4,0.1,U_mean,7.500649211356784e-05,-0.00011949499576143172,0.00027638944240275303,-0.0005043894889675145,7.52831403351743,0.49683333333333335,0.49683333333333335,0.5031666666666667,6000.0,6000.0
7,4,4,0.1,U_pool,6.699899694963313e-05,-8.841942373835386e-05,0.00022898849418142466,-0.0005043894889675145,7.52831403351743,0.49683333333333335,0.49683333333333335,0.5031666666666667,6000.0,6000.0
7,4,4,0.1,U_edge_mean,0.00015279152575265004,2.068784555237887e-05,0.00028604263935428265,-0.0005043894889675145,7.52831403351743,0.49683333333333335,0.49683333333333335,0.5031666666666667,6000.0,6000.0
7,4,4,0.1,U_edge_pool,7.376394541182803e-05,-1.3141915092501823e-05,0.00015829242272994947,-0.0005043894889675145,7.52831403351743,0.49683333333333335,0.49683333333333335,0.5031666666666667,6000.0,6000.0
7,4,4,0.2,U_mean,0.00025150485703817567,-4.042029436148338e-05,0.0005733954470308606,-0.0016917666892162727,7.511029829738708,0.502,0.502,0.498,6000.0,6000.0
7,4,4,0.2,U_pool,0.00022523764750846765,-1.4753349800885304e-05,0.0004983174145776852,-0.0016917666892162727,7.511029829738708,0.502,0.502,0.498,6000.0,6000.0
7,4,4,0.2,U_edge_mean,0.00032566626211846653,9.812329715576733e-05,0.0005640055800499503,-0.0016917666892162727,7.511029829738708,0.502,0.502,0.498,6000.0,6000.0
7,4,4,0.2,U_edge_pool,0.00018391841928050502,4.398713831987185e-05,0.00032900235326324424,-0.0016917666892162727,7.511029829738708,0.502,0.502,0.498,6000.0,6000.0
7,4,4,0.3,U_mean,0.0003443977967157104,-8.640034977724399e-05,0.0007487950629864954,-0.001964052226128064,7.418845238364508,0.5056666666666667,0.5056666666666667,0.49433333333333335,6000.0,6000.0
7,4,4,0.3,U_pool,0.0002647382662697303,-9.930438355665457e-05,0.0005952211107641261,-0.001964052226128064,7.418845238364508,0.5056666666666667,0.5056666666666667,0.49433333333333335,6000.0,6000.0
7,4,4,0.3,U_edge_mean,0.0003878323165392564,9.924178326750464e-05,0.000663677607920869,-0.001964052226128064,7.418845238364508,0.5056666666666667,0.5056666666666667,0.49433333333333335,6000.0,6000.0
7,4,4,0.3,U_edge_pool,0.0001860217305493516,-1.394141860321236e-05,0.000374745649666154,-0.001964052226128064,7.418845238364508,0.5056666666666667,0.5056666666666667,0.49433333333333335,6000.0,6000.0
7,4,4,0.4,U_mean,0.0006678386842792488,0.00015596905891232095,0.0011580672945998422,-0.0037785484654204353,7.263986782624916,0.5056666666666667,0.5056666666666667,0.49433333333333335,6000.0,6000.0
7,4,4,0.4,U_pool,0.0005201755700407564,5.972843667851437e-05,0.0009649097165503925,-0.0037785484654204353,7.263986782624916,0.5056666666666667,0.5056666666666667,0.49433333333333335,6000.0,6000.0
7,4,4,0.4,U_edge_mean,0.0003519907109288398,-9.371256192241628e-06,0.0006898220743624326,-0.0037785484654204353,7.263986782624916,0.5056666666666667,0.5056666666666667,0.49433333333333335,6000.0,6000.0
7,4,4,0.4,U_edge_pool,0.0001848891426999479,-8.615235869580896e-05,0.00042684726458439227,-0.0037785484654204353,7.263986782624916,0.5056666666666667,0.5056666666666667,0.49433333333333335,6000.0,6000.0
7,4,4,0.5,U_mean,0.0009328924584233161,0.00030004520993128273,0.0015793715670318839,-0.005324338351457572,7.092104456704488,0.5095,0.5095,0.4905,6000.0,6000.0
7,4,4,0.5,U_pool,0.0007507416711021837,0.0001469511236302849,0.0013878919598211234,-0.005324338351457572,7.092104456704488,0.5095,0.5095,0.4905,6000.0,6000.0
7,4,4,0.5,U_edge_mean,0.0005771728488077961,0.00016318913424810168,0.0009882745180734745,-0.005324338351457572,7.092104456704488,0.5095,0.5095,0.4905,6000.0,6000.0
7,4,4,0.5,U_edge_pool,0.00041419190607003097,9.549951303697377e-05,0.0007355853957584623,-0.005324338351457572,7.092104456704488,0.5095,0.5095,0.4905,6000.0,6000.0
7,4,4,0.6,U_mean,0.0008725568531202577,1.980495473230559e-05,0.0017411658778036646,-0.0047546512819391755,6.925523177725161,0.507,0.507,0.493,6000.0,6000.0
7,4,4,0.6,U_pool,0.0006865403753512445,-0.00019063315394224822,0.001570721647329519,-0.0047546512819391755,6.925523177725161,0.507,0.507,0.493,6000.0,6000.0
7,4,4,0.6,U_edge_mean,0.0007785970670632484,0.0003090385662092165,0.0012325549547793494,-0.0047546512819391755,6.925523177725161,0.507,0.507,0.493,6000.0,6000.0
7,4,4,0.6,U_edge_pool,0.0006009791387012422,0.0002039736697667755,0.0009707189171536093,-0.0047546512819391755,6.925523177725161,0.507,0.507,0.493,6000.0,6000.0
7,4,4,0.7,U_mean,0.0005738130002466956,-0.0006823430474436228,0.0017927828065020062,-0.0028171374257542603,6.765753523080492,0.5085,0.5085,0.4915,6000.0,6000.0
7,4,4,0.7,U_pool,0.00041638191757118566,-0.0009010898274424979,0.0016561959304842169,-0.0028171374257542603,6.765753523080492,0.5085,0.5085,0.4915,6000.0,6000.0
7,4,4,0.7,U_edge_mean,0.00044068127906848973,-0.00014177737203003178,0.0010011760125087285,-0.0028171374257542603,6.765753523080492,0.5085,0.5085,0.4915,6000.0,6000.0
7,4,4,0.7,U_edge_pool,0.00030224451792925527,-0.0002023302763238761,0.0007891297806223433,-0.0028171374257542603,6.765753523080492,0.5085,0.5085,0.4915,6000.0,6000.0
7,4,4,0.8,U_mean,0.0006963132629502482,-0.0010712596285690345,0.0023898762213320143,-0.003574982264982803,6.621306529877223,0.5091666666666667,0.5091666666666667,0.49083333333333334,6000.0,6000.0
7,4,4,0.8,U_pool,0.0005399209731268993,-0.001297063453164186,0.002260108547482839,-0.003574982264982803,6.621306529877223,0.5091666666666667,0.5091666666666667,0.49083333333333334,6000.0,6000.0
7,4,4,0.8,U_edge_mean,0.00046739798955690716,-0.00021121405943346825,0.0011559664781592943,-0.003574982264982803,6.621306529877223,0.5091666666666667,0.5091666666666667,0.49083333333333334,6000.0,6000.0
7,4,4,0.8,U_edge_pool,0.00031753613730801987,-0.0003001341174242261,0.0009366342049959065,-0.003574982264982803,6.621306529877223,0.5091666666666667,0.5091666666666667,0.49083333333333334,6000.0,6000.0
7,4,4,0.9,U_mean,0.00034708264008827104,-0.002006164338370162,0.0026855613179520596,-0.001555248801154395,6.481613142182638,0.5055,0.5055,0.4945,6000.0,6000.0
7,4,4,0.9,U_pool,0.00023994779803082722,-0.002155741710982869,0.002590501604777718,-0.001555248801154395,6.481613142182638,0.5055,0.5055,0.4945,6000.0,6000.0
7,4,4,0.9,U_edge_mean,0.00037683036149977394,-0.0005006940820014016,0.0012664092470607623,-0.001555248801154395,6.481613142182638,0.5055,0.5055,0.4945,6000.0,6000.0
7,4,4,0.9,U_edge_pool,0.00019721704547091823,-0.0005937731272708328,0.0010092214662364924,-0.001555248801154395,6.481613142182638,0.5055,0.5055,0.4945,6000.0,6000.0
7,4,4,1.0,U_mean,0.0005522927755136782,-0.002376302936799093,0.003387090011016335,-0.005471243905222039,6.345749091291306,0.5073333333333333,0.5073333333333333,0.49266666666666664,6000.0,6000.0
7,4,4,1.0,U_pool,0.000862190393365945,-0.0020300405483713313,0.0036457354991320393,-0.005471243905222039,6.345749091291306,0.5073333333333333,0.5073333333333333,0.49266666666666664,6000.0,6000.0
7,4,4,1.0,U_edge_mean,0.0003376733322447613,-0.0007582466207673499,0.001404194101748997,-0.005471243905222039,6.345749091291306,0.5073333333333333,0.5073333333333333,0.49266666666666664,6000.0,6000.0
7,4,4,1.0,U_edge_pool,0.00014764999483410309,-0.0008849837153530241,0.0011735726206450426,-0.005471243905222039,6.345749091291306,0.5073333333333333,0.5073333333333333,0.49266666666666664,6000.0,6000.0
7,4,4,1.1,U_mean,7.648435783032396e-05,-0.0032952600167143052,0.0033293503370087564,-0.005443728162831866,6.21965044928451,0.508,0.508,0.492,6000.0,6000.0
7,4,4,1.1,U_pool,0.0008752466408233756,-0.0024361509027629384,0.004089873687475476,-0.005443728162831866,6.21965044928451,0.508,0.508,0.492,6000.0,6000.0
7,4,4,1.1,U_edge_mean,0.0001891067720786382,-0.0010901679680618917,0.0014328435990896206,-0.005443728162831866,6.21965044928451,0.508,0.508,0.492,6000.0,6000.0
7,4,4,1.1,U_edge_pool,-2.2943536789030357e-05,-0.0012605072980177684,0.001168929044997419,-0.005443728162831866,6.21965044928451,0.508,0.508,0.492,6000.0,6000.0
7,4,4,1.2,U_mean,-0.000887354000483764,-0.0049299489803722885,0.003024906773232448,-0.0009424305995522447,6.100679350722877,0.5046666666666667,0.5046666666666667,0.49533333333333335,6000.0,6000.0
7,4,4,1.2,U_pool,0.00015447961536293084,-0.0037036872339902918,0.003866720073156412,-0.0009424305995522447,6.100679350722877,0.5046666666666667,0.5046666666666667,0.49533333333333335,6000.0,6000.0
7,4,4,1.2,U_edge_mean,0.00043516028352946404,-0.0010324576683420604,0.001954464207187277,-0.0009424305995522447,6.100679350722877,0.5046666666666667,0.5046666666666667,0.49533333333333335,6000.0,6000.0
7,4,4,1.2,U_edge_pool,0.0001882860022615798,-0.001189714905410404,0.0015925154432273583,-0.0009424305995522447,6.100679350722877,0.5046666666666667,0.5046666666666667,0.49533333333333335,6000.0,6000.0
7,4,4,1.3,U_mean,-0.0018404110355930835,-0.006339038759156149,0.002568993609368445,0.0019530610489800007,5.980451888878272,0.5005,0.5005,0.4995,6000.0,6000.0
7,4,4,1.3,U_pool,-0.0003265741594898656,-0.004552327615133278,0.0038606730215042695,0.0019530610489800007,5.980451888878272,0.5005,0.5005,0.4995,6000.0,6000.0
7,4,4,1.3,U_edge_mean,0.0006972840630023616,-0.0009675066774930648,0.0024361905523715027,0.0019530610489800007,5.980451888878272,0.5005,0.5005,0.4995,6000.0,6000.0
7,4,4,1.3,U_edge_pool,0.00046322404138753,-0.0011428800899021458,0.002133028312318817,0.0019530610489800007,5.980451888878272,0.5005,0.5005,0.4995,6000.0,6000.0
7,4,4,1.4,U_mean,-0.0021492870914964946,-0.007209440134034644,0.0027384022197895386,0.000827698983990319,5.850189490473257,0.499,0.499,0.501,6000.0,6000.0
7,4,4,1.4,U_pool,-0.0001414824229776122,-0.004963247241811543,0.004541575789126283,0.000827698983990319,5.850189490473257,0.499,0.499,0.501,6000.0,6000.0
7,4,4,1.4,U_edge_mean,0.000625989455638265,-0.001294212862271324,0.002563494864740404,0.000827698983990319,5.850189490473257,0.499,0.499,0.501,6000.0,6000.0
7,4,4,1.4,U_edge_pool,0.0005844355080365291,-0.0012531745366525298,0.0024493662857734857,0.000827698983990319,5.850189490473257,0.499,0.499,0.501,6000.0,6000.0
7,4,4,1.5,U_mean,-0.0022883368609550136,-0.007814595303976676,0.0031571370903691713,-0.001875635300283599,5.735439530948056,0.5,0.5,0.5,6000.0,6000.0
7,4,4,1.5,U_pool,0.0003270255557857064,-0.004927025285218908,0.005337473119389067,-0.001875635300283599,5.735439530948056,0.5,0.5,0.5,6000.0,6000.0
7,4,4,1.5,U_edge_mean,0.0006609153735896451,-0.001492342520269434,0.0029129120646036906,-0.001875635300283599,5.735439530948056,0.5,0.5,0.5,6000.0,6000.0
7,4,4,1.5,U_edge_pool,0.0006999003002088367,-0.0013366964639842406,0.002879856094165652,-0.001875635300283599,5.735439530948056,0.5,0.5,0.5,6000.0,6000.0
7,4,4,1.6,U_mean,-0.003072800189454739,-0.008997934252895079,0.002541649700614994,0.0019431252116842252,5.622123513988029,0.5031666666666667,0.5031666666666667,0.49683333333333335,6000.0,6000.0
7,4,4,1.6,U_pool,-0.0003456212242313186,-0.005773760593030563,0.0049487032925351285,0.0019431252116842252,5.622123513988029,0.5031666666666667,0.5031666666666667,0.49683333333333335,6000.0,6000.0
7,4,4,1.6,U_edge_mean,0.0006869392755201779,-0.0017140742847497035,0.003190271494575444,0.0019431252116842252,5.622123513988029,0.5031666666666667,0.5031666666666667,0.49683333333333335,6000.0,6000.0
7,4,4,1.6,U_edge_pool,0.000680566587540117,-0.0015729559134190583,0.003082451758420522,0.0019431252116842252,5.622123513988029,0.5031666666666667,0.5031666666666667,0.49683333333333335,6000.0,6000.0
7,4,4,1.7,U_mean,-0.003562310274653419,-0.009750016101790477,0.002392485492781165,0.005164819966449232,5.522674809909273,0.5006666666666667,0.5006666666666667,0.49933333333333335,6000.0,6000.0
7,4,4,1.7,U_pool,-0.00093520262268241,-0.006486198155484079,0.004556297147815349,0.005164819966449232,5.522674809909273,0.5006666666666667,0.5006666666666667,0.49933333333333335,6000.0,6000.0
7,4,4,1.7,U_edge_mean,0.0007549248306661684,-0.0019324425597740092,0.0034002014645521683,0.005164819966449232,5.522674809909273,0.5006666666666667,0.5006666666666667,0.49933333333333335,6000.0,6000.0
7,4,4,1.7,U_edge_pool,0.0007242143737069531,-0.0018314986479869679,0.003353973126407068,0.005164819966449232,5.522674809909273,0.5006666666666667,0.5006666666666667,0.49933333333333335,6000.0,6000.0
7,4,4,1.8,U_mean,-0.0033313760109222167,-0.010001110569188858,0.002964801839753242,0.0019310966753593277,5.407040142162197,0.5023333333333333,0.5023333333333333,0.49766666666666665,6000.0,6000.0
7,4,4,1.8,U_pool,-0.0003571448749383817,-0.00632399434162536,0.005610688839223338,0.0019310966753593277,5.407040142162197,0.5023333333333333,0.5023333333333333,0.49766666666666665,6000.0,6000.0
