U,W,L,N,nmax,boundary,g,n_realizations_used,source
1.0,15.0,7,7,3,periodic,-0.02402402402402436,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,0.5,7,7,4,periodic,1.1471471471471473,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,1.0,7,7,4,periodic,1.1571571571571573,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,2.0,7,7,4,periodic,1.1871871871871873,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,3.0,7,7,4,periodic,0.8368368368368371,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,4.0,7,7,4,periodic,0.41641641641641636,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,5.0,7,7,4,periodic,0.23623623623623624,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,6.0,7,7,4,periodic,0.2212212212212212,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,7.0,7,7,4,periodic,0.1811811811811812,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,8.0,7,7,4,periodic,0.09609609609609615,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,9.0,7,7,4,periodic,0.07607607607607617,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,10.0,7,7,4,periodic,0.07107107107107112,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,11.0,7,7,4,periodic,0.011011011011011117,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,12.0,7,7,4,periodic,-0.004004004004004405,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,13.0,7,7,4,periodic,-0.02402402402402436,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,14.0,7,7,4,periodic,0.031031031031031085,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
1.0,15.0,7,7,4,periodic,-0.06906906906906941,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
