# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 8.831090853149713382e+01 8.830994342428034827e+01 1.999800019997333795e-04 5.645023038148345051e+00
1.011591112223829728e-04 8.831044925268798806e+01 8.830967292625796006e+01 2.022977581832760541e-04 5.640017206219345880e+00
1.023316578330244966e-04 8.830997926721208557e+01 8.830936013435922405e+01 2.046423742725537011e-04 5.635011172124017698e+00
1.035177955630176228e-04 8.830949832552788337e+01 8.830900615857051150e+01 2.070141614763123497e-04 5.630004941386553163e+00
1.047176819485520245e-04 8.830900617227983673e+01 8.830861326425468860e+01 2.094134346075829226e-04 5.624998525213774414e+00
1.059314763518370031e-04 8.830850254616355244e+01 8.830818455068774142e+01 2.118405121253895179e-04 5.619991938914363772e+00
1.071593399822671198e-04 8.830798717978713341e+01 8.830772357477665935e+01 2.142957161769398083e-04 5.614985200048493219e+00
1.084014359178331018e-04 8.830745979952941127e+01 8.830723398219076614e+01 2.167793726403025999e-04 5.609978326613851429e+00
1.096579291267809898e-04 8.830692012539529401e+01 8.830671919745505249e+01 2.192918111675785128e-04 5.604971335521605980e+00
1.109289864895222780e-04 8.830636787086673678e+01 8.830618220474885049e+01 2.218333652285692595e-04 5.599964241518383901e+00
1.122147768207980290e-04 8.830580274275180841e+01 8.830562542868595699e+01 2.244043721549514021e-04 5.594957056599931811e+00
1.135154708920999033e-04 8.830522444102878410e+01 8.830505070512732857e+01 2.270051731849600921e-04 5.589949789867517893e+00
1.148312414543511137e-04 8.830463265868701228e+01 8.830445931979913610e+01 2.296361135085894041e-04 5.584942447717802239e+00
1.161622632608501891e-04 8.830402708156515246e+01 8.830385208810399433e+01 2.322975423133139818e-04 5.579935034235296243e+00
1.175087130904807617e-04 8.830340738818395607e+01 8.830322945163480597e+01 2.349898128303393684e-04 5.574927551666981174e+00
1.188707697711903309e-04 8.830277324957636154e+01 8.830259157294588590e+01 2.377132823813860615e-04 5.569920000888364697e+00
1.202486142037412301e-04 8.830212432911325493e+01 8.830193841740900496e+01 2.404683124260139629e-04 5.564912381806037089e+00
1.216424293857368039e-04 8.830146028232518063e+01 8.830127003684698650e+01 2.432552686094931291e-04 5.559904694752650478e+00
1.230524004359261579e-04 8.830078075671974602e+01 8.830058607646846269e+01 2.460745208112275753e-04 5.554896938061866685e+00
1.244787146187906256e-04 8.830008539159540248e+01 8.829988617321919264e+01 2.489264431937378481e-04 5.549889110027545591e+00
1.259215613694150942e-04 8.829937381785001094e+01 8.829916995558971848e+01 2.518114142522093635e-04 5.544881208902804559e+00
1.273811323186478520e-04 8.829864565778592578e+01 8.829843704341899979e+01 2.547298168646127152e-04 5.539873232899055644e+00
1.288576213185518003e-04 8.829790052490966445e+01 8.829768704769283261e+01 2.576820383424025126e-04 5.534865180185025046e+00
1.303512244681508938e-04 8.829713802372765485e+01 8.829691957033817573e+01 2.606684704818018248e-04 5.529857048885741477e+00
1.318621401394748458e-04 8.829635774953634098e+01 8.829613420401247481e+01 2.636895096156779473e-04 5.524848837081509423e+00
1.333905690039058638e-04 8.829555928820887800e+01 8.829533053188779945e+01 2.667455566660177873e-04 5.519840542806851325e+00
1.349367140588306430e-04 8.829474221597543249e+01 8.829450812743095867e+01 2.698370171970083421e-04 5.514832164049431995e+00
1.365007806546013845e-04 8.829390609919887822e+01 8.829366655417676668e+01 2.729643014687300768e-04 5.509823698748947507e+00
1.380829765218092263e-04 8.829305049414574569e+01 8.829280536549826763e+01 2.761278244914698696e-04 5.504815144796000759e+00
1.396835117988739626e-04 8.829217494675128819e+01 8.829192410436974114e+01 2.793280060806610596e-04 5.499806500030939738e+00
1.413025990599533599e-04 8.829127899237933264e+01 8.829102230312511779e+01 2.825652709124569940e-04 5.494797762242673578e+00
1.429404533431761061e-04 8.829036215557668754e+01 8.829009948321080969e+01 2.858400485799463138e-04 5.489788929167462861e+00
1.445972921792019463e-04 8.828942394982111352e+01 8.828915515493264365e+01 2.891527736500166482e-04 5.484779998487677943e+00
1.462733356201129868e-04 8.828846387726491685e+01 8.828818881719648459e+01 2.925038857208746290e-04 5.479770967830524420e+00
1.479688062686396383e-04 8.828748142847106806e+01 8.828719995724374314e+01 2.958938294802293295e-04 5.474761834766749047e+00
1.496839293077255632e-04 8.828647608214424736e+01 8.828618805038034623e+01 2.993230547641470953e-04 5.469752596809309253e+00
1.514189325304352018e-04 8.828544730485526770e+01 8.828515255969895748e+01 3.027920166165852479e-04 5.464743251412007119e+00
1.531740463702079740e-04 8.828439455075864828e+01 8.828409293579571226e+01 3.063011753496128480e-04 5.459733795968102932e+00
1.549495039314631646e-04 8.828331726130474522e+01 8.828300861647950626e+01 3.098509966043256183e-04 5.454724227808883441e+00
1.567455410205595065e-04 8.828221486494464898e+01 8.828189902647503118e+01 3.134419514124640264e-04 5.449714544202202582e+00
1.585623961771137158e-04 8.828108677682726579e+01 8.828076357711887567e+01 3.170745162587414656e-04 5.444704742350993776e+00
1.604003107056819902e-04 8.827993239849162421e+01 8.827960166604876235e+01 3.207491731438919663e-04 5.439694819391735159e+00
1.622595287078087002e-04 8.827875111755007254e+01 8.827841267688479832e+01 3.244664096484443775e-04 5.434684772392886387e+00
1.641402971144466361e-04 8.827754230736466923e+01 8.827719597890464343e+01 3.282267189972323958e-04 5.429674598353290804e+00
1.660428657187529582e-04 8.827630532671670949e+01 8.827595092670982524e+01 3.320306001246483034e-04 5.424664294200530534e+00
1.679674872092653225e-04 8.827503951946826533e+01 8.827467685988574431e+01 3.358785577406489791e-04 5.419653856789257595e+00
