# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 8.803562180150123595e+01 8.803465732266782595e+01 1.999800019997333795e-04 5.643667109682319882e+00
1.011591112223829728e-04 8.803516282170221530e+01 8.803438700077798273e+01 2.022977581832760541e-04 5.638661274462441142e+00
1.023316578330244966e-04 8.803469314222159881e+01 8.803407441255666299e+01 2.046423742725537011e-04 5.633655236561687651e+00
1.035177955630176228e-04 8.803421251368135358e+01 8.803372066726919343e+01 2.070141614763123497e-04 5.628649001517755046e+00
1.047176819485520245e-04 8.803372068089304037e+01 8.803332802880632357e+01 2.094134346075829226e-04 5.623642580565027416e+00
1.059314763518370031e-04 8.803321738272367725e+01 8.803289959442810186e+01 2.118405121253895179e-04 5.618635989049894697e+00
1.071593399822671198e-04 8.803270235195674331e+01 8.803243891872790527e+01 2.142957161769398083e-04 5.613629244575800925e+00
1.084014359178331018e-04 8.803217531515031169e+01 8.803194964500377750e+01 2.167793726403025999e-04 5.608622365184792180e+00
1.096579291267809898e-04 8.803163599249309357e+01 8.803143519555291618e+01 2.192918111675785128e-04 5.603615367829700489e+00
1.109289864895222780e-04 8.803108409765476949e+01 8.803089855261360697e+01 2.218333652285692595e-04 5.598608267293461616e+00
1.122147768207980290e-04 8.803051933763600800e+01 8.803034213922283868e+01 2.244043721549514021e-04 5.593601075601321249e+00
1.135154708920999033e-04 8.802994141261162042e+01 8.802976779004809771e+01 2.270051731849600921e-04 5.588593801876886147e+00
1.148312414543511137e-04 8.802935001577314722e+01 8.802917678997994244e+01 2.296361135085894041e-04 5.583586452532458999e+00
1.161622632608501891e-04 8.802874483316479370e+01 8.802856995389224437e+01 2.322975423133139818e-04 5.578579031662476595e+00
1.175087130904807617e-04 8.802812554351895358e+01 8.802794772309196958e+01 2.349898128303393684e-04 5.573571541519291905e+00
1.188707697711903309e-04 8.802749181808445655e+01 8.802731026002980741e+01 2.377132823813860615e-04 5.568563982980395011e+00
1.202486142037412301e-04 8.802684332045326698e+01 8.802665753010178662e+01 2.404683124260139629e-04 5.563556355951956078e+00
1.216424293857368039e-04 8.802617970638246447e+01 8.802598958509943827e+01 2.432552686094931291e-04 5.558548660767257843e+00
1.230524004359261579e-04 8.802550062361146388e+01 8.802530607046445255e+01 2.460745208112275753e-04 5.553540895755650020e+00
1.244787146187906256e-04 8.802480571167575363e+01 8.802460662338144459e+01 2.489264431937378481e-04 5.548533059206576468e+00
1.259215613694150942e-04 8.802409460171612920e+01 8.802389087258555378e+01 2.518114142522093635e-04 5.543525149368638161e+00
1.273811323186478520e-04 8.802336691628342180e+01 8.802315843816555230e+01 2.547298168646127152e-04 5.538517164448622410e+00
1.288576213185518003e-04 8.802262226913852317e+01 8.802240893136361422e+01 2.576820383424025126e-04 5.533509102610525865e+00
1.303512244681508938e-04 8.802186026504796246e+01 8.802164195436868965e+01 2.606684704818018248e-04 5.528500961974536665e+00
1.318621401394748458e-04 8.802108049957510616e+01 8.802085710010659625e+01 2.636895096156779473e-04 5.523492740616005925e+00
1.333905690039058638e-04 8.802028255886580155e+01 8.802005395202412785e+01 2.667455566660177873e-04 5.518484436564389028e+00
1.349367140588306430e-04 8.801946601942940163e+01 8.801923208386881470e+01 2.698370171970083421e-04 5.513476047802161162e+00
1.365007806546013845e-04 8.801863044791460311e+01 8.801839105946376662e+01 2.729643014687300768e-04 5.508467572263713308e+00
1.380829765218092263e-04 8.801777540088070850e+01 8.801753043247640562e+01 2.761278244914698696e-04 5.503459007834218930e+00
1.396835117988739626e-04 8.801690042456245067e+01 8.801664974618255144e+01 2.793280060806610596e-04 5.498450352348466907e+00
1.413025990599533599e-04 8.801600505463015622e+01 8.801574853322479441e+01 2.825652709124569940e-04 5.493441603589682032e+00
1.429404533431761061e-04 8.801508881594432410e+01 8.801482631536551082e+01 2.858400485799463138e-04 5.488432759288305540e+00
1.445972921792019463e-04 8.801415122230443444e+01 8.801388260323383861e+01 2.891527736500166482e-04 5.483423817120752553e+00
1.462733356201129868e-04 8.801319177619129164e+01 8.801291689606699720e+01 2.925038857208746290e-04 5.478414774708138424e+00
1.479688062686396383e-04 8.801220996850480560e+01 8.801192868144524084e+01 2.958938294802293295e-04 5.473405629614974899e+00
1.496839293077255632e-04 8.801120527829419871e+01 8.801091743502134079e+01 2.993230547641470953e-04 5.468396379347840508e+00
1.514189325304352018e-04 8.801017717248286942e+01 8.800988262024341680e+01 3.027920166165852479e-04 5.463387021354011885e+00
1.531740463702079740e-04 8.800912510558680424e+01 8.800882368807091893e+01 3.063011753496128480e-04 5.458377553020066664e+00
1.549495039314631646e-04 8.800804851942601204e+01 8.800774007668512411e+01 3.098509966043256183e-04 5.453367971670457948e+00
1.567455410205595065e-04 8.800694684282987623e+01 8.800663121119185917e+01 3.134419514124640264e-04 5.448358274566048820e+00
1.585623961771137158e-04 8.800581949133507464e+01 8.800549650331782914e+01 3.170745162587414656e-04 5.443348458902613984e+00
1.604003107056819902e-04 8.800466586687714710e+01 8.800433535109979744e+01 3.207491731438919663e-04 5.438338521809309434e+00
1.622595287078087002e-04 8.800348535747447443e+01 8.800314713856704429e+01 3.244664096484443775e-04 5.433328460347103928e+00
1.641402971144466361e-04 8.800227733690485366e+01 8.800193123541568241e+01 3.282267189972323958e-04 5.428318271507171389e+00
1.660428657187529582e-04 8.800104116437536561e+01 8.800068699667579608e+01 3.320306001246483034e-04 5.423307952209251326e+00
1.679674872092653225e-04 8.799977618418360237e+01 8.799941376237138968e+01 3.358785577406489791e-04 5.418297499299966624e+00
1.699144172034625999e-04 8.799848172537160451e+01 8.799811085717144010e+01 3.397711023975232372e-04 5.413286909551101367e+00
1.718839142817145534e-04 8.799715710137175506e+01 8.799677759003370170e+01 3.437087505574287316e-04 5.408276179657841354e+00
1.738762400216250527e-04 8.799580160964475795e+01 8.799541325384038259e+01 3.476920246607074268e-04 5.403265306236971099e+00
1.758916590327732731e-04 8.799441453130820889e+01 8.799401712502414341e+01 3.517214531949887954e-04 5.398254285825026422e+00
1.779304389918577296e-04 8.799299513075825985e+01 8.799258846318761584e+01 3.557975707650890365e-04 5.393243114876415945e+00
1.799928506782476454e-04 8.799154265528086682e+01 8.799112651071176572e+01 3.599209181637167787e-04 5.388231789761477764e+00
1.820791680099462359e-04 8.799005633465515075e+01 8.798963049235688061e+01 3.640920424429929100e-04 5.383220306764506802e+00
1.841896680799710861e-04 8.798853538074743597e+01 8.798809961485383724e+01 3.683114969867951061e-04 5.378208662081732427e+00
1.863246311931559835e-04 8.798697898709522747e+01 8.798653306648564865e+01 3.725798415839356222e-04 5.373196851819246334e+00
1.884843409033795474e-04 8.798538632848237739e+01 8.798493001665995905e+01 3.768976425021829200e-04 5.368184871990880680e+00
1.906690840512252085e-04 8.798375656050474447e+01 8.798328961547076688e+01 3.812654725631356933e-04 5.363172718516040050e+00
1.928791508020777693e-04 8.798208881912415791e+01 8.798161099325120915e+01 3.856839112179594859e-04 5.358160387217481890e+00
1.951148346846616412e-04 8.798038222021413901e+01 8.797989326011534672e+01 3.901535446239965256e-04 5.353147873819046332e+00
1.973764326300255292e-04 8.797863585909381356e+01 8.797813550548917760e+01 3.946749657222570142e-04 5.348135173943322940e+00
1.996642450109793374e-04 8.797684881005147872e+01 8.797633679763094960e+01 3.992487743158042342e-04 5.343122283109276616e+00
2.019785756819878484e-04 8.797502012585768227e+01 8.797449618314175268e+01 4.038755771490413322e-04 5.338109196729813988e+00
2.043197320195270594e-04 8.797314883726608059e+01 8.797261268646207100e+01 4.085559879879120844e-04 5.333095910109280524e+00
2.066880249629082160e-04 8.797123395250368105e+01 8.797068530935982267e+01 4.132906277010250777e-04 5.328082418440919454e+00
2.090837690555749911e-04 8.796927445674860735e+01 8.796871303040447287e+01 4.180801243417118758e-04 5.323068716804256084e+00
2.115072824868794756e-04 8.796726931159702190e+01 8.796669480442972144e+01 4.229251132310303941e-04 5.318054800162421714e+00
2.139588871343421563e-04 8.796521745451647689e+01 8.796462956198421068e+01 4.278262370417234553e-04 5.313040663359425153e+00
2.164389086064020347e-04 8.796311779828720034e+01 8.796251620876894606e+01 4.327841458831445626e-04 5.308026301117347856e+00
2.189476762856620634e-04 8.796096923043072024e+01 8.796035362506223976e+01 4.377994973871608101e-04 5.303011708033483096e+00
2.214855233726359179e-04 8.795877061262572738e+01 8.795814066513159446e+01 4.428729567950449105e-04 5.297996878577400537e+00
2.240527869300018224e-04 8.795652078010903097e+01 8.795587615663106362e+01 4.480051970453672368e-04 5.292981807087947743e+00
