# tau=t/t_H SFF SFF_smoothed GOE_connected DeltaK_abs_log10_ratio
1.000000000000000048e-04 8.793577783429473982e+01 8.793481184426401853e+01 1.999800019997333795e-04 5.643174270269068593e+00
1.011591112223829728e-04 8.793531813533587638e+01 8.793454109882503644e+01 2.022977581832760541e-04 5.638168431443157047e+00
1.023316578330244966e-04 8.793484771993776405e+01 8.793422802083321699e+01 2.046423742725537011e-04 5.633162389372535550e+00
1.035177955630176228e-04 8.793436633833226779e+01 8.793387372129355128e+01 2.070141614763123497e-04 5.628156149609691461e+00
1.047176819485520245e-04 8.793387373493176540e+01 8.793348046764481296e+01 2.094134346075829226e-04 5.623149723419201607e+00
1.059314763518370031e-04 8.793336964819469870e+01 8.793305136200194738e+01 2.118405121253895179e-04 5.618143126188769543e+00
1.071593399822671198e-04 8.793285381048637817e+01 8.793258996452851761e+01 2.142957161769398083e-04 5.613136375569249381e+00
1.084014359178331018e-04 8.793232594793717283e+01 8.793209992423241772e+01 2.167793726403025999e-04 5.608129489651283883e+00
1.096579291267809898e-04 8.793178578029784376e+01 8.793158466877434876e+01 2.192918111675785128e-04 5.603122485433353894e+00
1.109289864895222780e-04 8.793123302079033010e+01 8.793104718506573647e+01 2.218333652285692595e-04 5.598115377738173137e+00
1.122147768207980290e-04 8.793066737595691507e+01 8.793048989994137798e+01 2.244043721549514021e-04 5.593108178623307225e+00
1.135154708920999033e-04 8.793008854550346598e+01 8.792991465094392822e+01 2.270051731849600921e-04 5.588100897236833120e+00
1.148312414543511137e-04 8.792949622214148064e+01 8.792932272497824897e+01 2.296361135085894041e-04 5.583093540008191802e+00
1.161622632608501891e-04 8.792889009142446355e+01 8.792871493819575335e+01 2.322975423133139818e-04 5.578086111042686035e+00
1.175087130904807617e-04 8.792826983158194309e+01 8.792809173259583133e+01 2.349898128303393684e-04 5.573078612598554749e+00
1.188707697711903309e-04 8.792763511334891291e+01 8.792745327088439922e+01 2.377132823813860615e-04 5.568071045555447185e+00
1.202486142037412301e-04 8.792698559979125150e+01 8.792679951840463559e+01 2.404683124260139629e-04 5.563063409819069882e+00
1.216424293857368039e-04 8.792632094612764604e+01 8.792613052702985499e+01 2.432552686094931291e-04 5.558055705723393913e+00
1.230524004359261579e-04 8.792564079954679812e+01 8.792544594164783689e+01 2.460745208112275753e-04 5.553047931593033226e+00
1.244787146187906256e-04 8.792494479902046578e+01 8.792474539887555807e+01 2.489264431937378481e-04 5.548040085712588443e+00
1.259215613694150942e-04 8.792423257511306645e+01 8.792402852686777237e+01 2.518114142522093635e-04 5.543032166325700061e+00
1.273811323186478520e-04 8.792350374978491345e+01 8.792329494511960775e+01 2.547298168646127152e-04 5.538024171634085668e+00
1.288576213185518003e-04 8.792275793619343460e+01 8.792254426426521263e+01 2.576820383424025126e-04 5.533016099796547849e+00
1.303512244681508938e-04 8.792199473848735636e+01 8.792177608587201121e+01 2.606684704818018248e-04 5.528007948927963433e+00
1.318621401394748458e-04 8.792121375159776164e+01 8.792099000222914640e+01 2.636895096156779473e-04 5.522999717098246109e+00
1.333905690039058638e-04 8.792041456102377595e+01 8.792018559613286754e+01 2.667455566660177873e-04 5.517991402331289486e+00
1.349367140588306430e-04 8.791959674261283908e+01 8.791936244066442896e+01 2.698370171970083421e-04 5.512983002603874638e+00
1.365007806546013845e-04 8.791875986233668527e+01 8.791852009896517472e+01 2.729643014687300768e-04 5.507974515844567875e+00
