L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value
8,8,2,1.0,0.25,fres_l2.0,1.0,1.0
8,4,2,0.5,0.5,onsite_pair_density,10.0,0.24158233595804002
8,4,2,0.5,0.5,onsite_pair_variance,1.0,1.0903210037931201
8,4,2,0.5,0.5,charge_fluctuation,1.0,0.460046093666336
8,4,2,0.5,0.5,fock_entropy_normalized,1.0,0.86004165772459
8,4,2,0.5,0.5,pr_normalized,1.0,0.31186322071164396
8,4,2,0.5,0.5,Nres_mean_l1.0,1.0,3.5967368421048596
8,4,2,0.5,0.5,Nres_mean_l2.0,1.0,5.855263157897941
8,4,2,0.5,0.5,fres_l1.0,1.0,0.6101607142857319
8,4,2,0.5,0.5,fres_l2.0,1.0,0.993303571428538
8,5,2,0.625,0.5,onsite_pair_density,1.0,0.31657364804097804
8,5,2,0.625,0.5,onsite_pair_variance,1.0,1.37748412282214
8,5,2,0.625,0.5,charge_fluctuation,1.0,0.546223177018344
8,5,2,0.625,0.5,fock_entropy_normalized,1.0,0.875876953733856
8,5,2,0.625,0.5,pr_normalized,1.0,0.31090438255792996
8,5,2,0.625,0.5,Nres_mean_l1.0,1.0,3.7988095238079405
8,5,2,0.625,0.5,Nres_mean_l2.0,1.0,6.647619047617019
8,5,2,0.625,0.5,fres_l1.0,1.0,0.567120853080468
8,5,2,0.625,0.5,fres_l2.0,1.0,0.9924170616113002
8,6,2,0.75,0.5,onsite_pair_density,10.0,0.42803202580684
8,6,2,0.75,0.5,onsite_pair_variance,1.0,1.4960194824873199
8,6,2,0.75,0.5,charge_fluctuation,1.0,0.60468795446369
8,6,2,0.75,0.5,fock_entropy_normalized,1.0,0.8845656158519161
8,6,2,0.75,0.5,pr_normalized,1.0,0.311475720410406
8,6,2,0.75,0.5,Nres_mean_l1.0,1.0,3.9118877551007794
8,6,2,0.75,0.5,Nres_mean_l2.0,1.0,7.19964285714288
8,6,2,0.75,0.5,fres_l1.0,1.0,0.538433988763908
8,6,2,0.75,0.5,fres_l2.0,1.0,0.990962078651596
8,7,2,0.875,0.5,onsite_pair_density,1.0,0.53755184957189
8,7,2,0.875,0.5,onsite_pair_variance,1.0,1.6308426035536
8,7,2,0.875,0.5,charge_fluctuation,1.0,0.643750969029086
8,7,2,0.875,0.5,fock_entropy_normalized,1.0,0.889037703962278
8,7,2,0.875,0.5,pr_normalized,1.0,0.310980812300872
8,7,2,0.875,0.5,Nres_mean_l1.0,1.0,3.9850393700781805
8,7,2,0.875,0.5,Nres_mean_l2.0,1.0,7.549251968505878
8,7,2,0.875,0.5,fres_l1.0,1.0,0.5239130434782039
8,7,2,0.875,0.5,fres_l2.0,1.0,0.9925000000000341
8,8,2,1.0,0.5,onsite_pair_density,10.0,0.6588401276032501
8,8,2,1.0,0.5,onsite_pair_variance,1.0,1.63804468413396
8,8,2,1.0,0.5,charge_fluctuation,1.0,0.655106712191166
8,8,2,1.0,0.5,fock_entropy_normalized,1.0,0.8908787907895601
8,8,2,1.0,0.5,pr_normalized,1.0,0.313131098466692
8,8,2,1.0,0.5,Nres_mean_l1.0,1.0,3.9917831978322202
8,8,2,1.0,0.5,Nres_mean_l2.0,1.0,7.65447154471458
8,8,2,1.0,0.5,fres_l1.0,1.0,0.51719382022491
8,8,2,1.0,0.5,fres_l2.0,1.0,0.991748595505542
8,4,2,0.5,0.75,onsite_pair_density,10.0,0.241575062866994
8,4,2,0.5,0.75,onsite_pair_variance,1.0,1.1156009491222
8,4,2,0.5,0.75,charge_fluctuation,1.0,0.45925135119758803
8,4,2,0.5,0.75,fock_entropy_normalized,1.0,0.8611288273095361
8,4,2,0.5,0.75,pr_normalized,1.0,0.31348076391033997
8,4,2,0.5,0.75,Nres_mean_l1.0,1.0,3.52230075187982
8,4,2,0.5,0.75,Nres_mean_l2.0,1.0,5.64684210526332
8,4,2,0.5,0.75,fres_l1.0,1.0,0.597533163265308
8,4,2,0.5,0.75,fres_l2.0,1.0,0.9579464285714739
8,5,2,0.625,0.75,onsite_pair_density,1.0,0.31581104414780997
8,5,2,0.625,0.75,onsite_pair_variance,1.0,1.38705731037378
8,5,2,0.625,0.75,charge_fluctuation,1.0,0.5448937228137499
8,5,2,0.625,0.75,fock_entropy_normalized,1.0,0.87582356296952
8,5,2,0.625,0.75,pr_normalized,1.0,0.31068142931332204
8,5,2,0.625,0.75,Nres_mean_l1.0,1.0,3.7938095238080396
8,5,2,0.625,0.75,Nres_mean_l2.0,1.0,6.3924603174599195
8,5,2,0.625,0.75,fres_l1.0,1.0,0.566374407582942
8,5,2,0.625,0.75,fres_l2.0,1.0,0.954324644549644
8,6,2,0.75,0.75,onsite_pair_density,10.0,0.428036328498338
8,6,2,0.75,0.75,onsite_pair_variance,1.0,1.51325627758272
8,6,2,0.75,0.75,charge_fluctuation,1.0,0.60393692114415
8,6,2,0.75,0.75,fock_entropy_normalized,1.0,0.8843531281404541
8,6,2,0.75,0.75,pr_normalized,1.0,0.310624858626406
8,6,2,0.75,0.75,Nres_mean_l1.0,1.0,3.9921530612237404
8,6,2,0.75,0.75,Nres_mean_l2.0,1.0,6.886020408161599
8,6,2,0.75,0.75,fres_l1.0,1.0,0.549481741573034
8,6,2,0.75,0.75,fres_l2.0,1.0,0.9477949438200001
8,7,2,0.875,0.75,onsite_pair_density,1.0,0.5368229897690621
8,7,2,0.875,0.75,onsite_pair_variance,1.0,1.64053639737598
8,7,2,0.875,0.75,charge_fluctuation,1.0,0.642554094151314
8,7,2,0.875,0.75,fock_entropy_normalized,1.0,0.88880851325385
8,7,2,0.875,0.75,pr_normalized,1.0,0.310365022224914
8,7,2,0.875,0.75,Nres_mean_l1.0,1.0,4.12118503936996
8,7,2,0.875,0.75,Nres_mean_l2.0,1.0,7.1920866141743796
8,7,2,0.875,0.75,fres_l1.0,1.0,0.541812111801268
8,7,2,0.875,0.75,fres_l2.0,1.0,0.9455434782609161
8,8,2,1.0,0.75,onsite_pair_density,10.0,0.658849195457694
8,8,2,1.0,0.75,onsite_pair_variance,1.0,1.65321370233726
8,8,2,1.0,0.75,charge_fluctuation,1.0,0.6543780569732498
8,8,2,1.0,0.75,fock_entropy_normalized,1.0,0.890619816925042
8,8,2,1.0,0.75,pr_normalized,1.0,0.312089974493302
8,8,2,1.0,0.75,Nres_mean_l1.0,1.0,4.21658536585446
8,8,2,1.0,0.75,Nres_mean_l2.0,1.0,7.30751219512302
8,8,2,1.0,0.75,fres_l1.0,1.0,0.5463202247192
8,8,2,1.0,0.75,fres_l2.0,1.0,0.946794943820036
8,4,2,0.5,1.0,onsite_pair_density,10.0,0.24157006699224398
8,4,2,0.5,1.0,onsite_pair_variance,1.0,1.1406885216564202
8,4,2,0.5,1.0,charge_fluctuation,1.0,0.45753307083580796
8,4,2,0.5,1.0,fock_entropy_normalized,1.0,0.8602372998792521
8,4,2,0.5,1.0,pr_normalized,1.0,0.31084306835496
8,4,2,0.5,1.0,Nres_mean_l1.0,1.0,3.2763609022556
8,4,2,0.5,1.0,Nres_mean_l2.0,1.0,5.463684210526241
8,4,2,0.5,1.0,fres_l1.0,1.0,0.5558112244897979
8,4,2,0.5,1.0,fres_l2.0,1.0,0.9268750000000339
8,5,2,0.625,1.0,onsite_pair_density,1.0,0.314651371335814
8,5,2,0.625,1.0,onsite_pair_variance,1.0,1.3967724809493602
8,5,2,0.625,1.0,charge_fluctuation,1.0,0.542756218290106
8,5,2,0.625,1.0,fock_entropy_normalized,1.0,0.8746378127186519
8,5,2,0.625,1.0,pr_normalized,1.0,0.307237107240724
8,5,2,0.625,1.0,Nres_mean_l1.0,1.0,3.5959523809511804
8,5,2,0.625,1.0,Nres_mean_l2.0,1.0,6.15119047618968
8,5,2,0.625,1.0,fres_l1.0,1.0,0.5368364928910739
8,5,2,0.625,1.0,fres_l2.0,1.0,0.9183056872037481
8,6,2,0.75,1.0,onsite_pair_density,10.0,0.428032697766122
8,6,2,0.75,1.0,onsite_pair_variance,1.0,1.53187985229768
8,6,2,0.75,1.0,charge_fluctuation,1.0,0.6024151235810421
8,6,2,0.75,1.0,fock_entropy_normalized,1.0,0.8833586179925039
8,6,2,0.75,1.0,pr_normalized,1.0,0.30730384316367
8,6,2,0.75,1.0,Nres_mean_l1.0,1.0,3.86459183673466
8,6,2,0.75,1.0,Nres_mean_l2.0,1.0,6.638979591835361
8,6,2,0.75,1.0,fres_l1.0,1.0,0.531924157303416
8,6,2,0.75,1.0,fres_l2.0,1.0,0.913792134831258
8,7,2,0.875,1.0,onsite_pair_density,1.0,0.5358206445926941
8,7,2,0.875,1.0,onsite_pair_variance,1.0,1.6501260415546801
8,7,2,0.875,1.0,charge_fluctuation,1.0,0.640825782131378
8,7,2,0.875,1.0,fock_entropy_normalized,1.0,0.888067183174512
8,7,2,0.875,1.0,pr_normalized,1.0,0.30791916343007
8,7,2,0.875,1.0,Nres_mean_l1.0,1.0,4.0743897637797195
8,7,2,0.875,1.0,Nres_mean_l2.0,1.0,6.92917322834724
8,7,2,0.875,1.0,fres_l1.0,1.0,0.5356599378881581
8,7,2,0.875,1.0,fres_l2.0,1.0,0.9109782608694941
8,8,2,1.0,1.0,onsite_pair_density,10.0,0.6588489106114521
8,8,2,1.0,1.0,onsite_pair_variance,1.0,1.66970027276782
8,8,2,1.0,1.0,charge_fluctuation,1.0,0.65295813993204
8,8,2,1.0,1.0,fock_entropy_normalized,1.0,0.8898422578760681
8,8,2,1.0,1.0,pr_normalized,1.0,0.30924152072161004
8,8,2,1.0,1.0,Nres_mean_l1.0,1.0,4.21370189701964
8,8,2,1.0,1.0,Nres_mean_l2.0,1.0,7.01557723577352
8,8,2,1.0,1.0,fres_l1.0,1.0,0.5459466292135201
8,8,2,1.0,1.0,fres_l2.0,1.0,0.908970505617812
8,4,2,0.5,2.0,onsite_pair_density,10.0,0.241525063413172
8,4,2,0.5,2.0,onsite_pair_variance,1.0,1.22457873467842
8,4,2,0.5,2.0,charge_fluctuation,1.0,0.44077932157043803
8,4,2,0.5,2.0,fock_entropy_normalized,1.0,0.839158719129884
8,4,2,0.5,2.0,pr_normalized,1.0,0.26443276219692596
8,4,2,0.5,2.0,Nres_mean_l1.0,1.0,2.4711879699250003
8,4,2,0.5,2.0,Nres_mean_l2.0,1.0,4.35446616541292
8,4,2,0.5,2.0,fres_l1.0,1.0,0.41921938775509604
8,4,2,0.5,2.0,fres_l2.0,1.0,0.73870408163263
8,5,2,0.625,2.0,onsite_pair_density,1.0,0.308709821094374
8,5,2,0.625,2.0,onsite_pair_variance,1.0,1.4391241948176599
8,5,2,0.625,2.0,charge_fluctuation,1.0,0.528108005087862
8,5,2,0.625,2.0,fock_entropy_normalized,1.0,0.8599114303755401
8,5,2,0.625,2.0,pr_normalized,1.0,0.26847422142422794
8,5,2,0.625,2.0,Nres_mean_l1.0,1.0,2.8938730158727597
8,5,2,0.625,2.0,Nres_mean_l2.0,1.0,5.00928571428588
8,5,2,0.625,2.0,fres_l1.0,1.0,0.432023696682474
8,5,2,0.625,2.0,fres_l2.0,1.0,0.747831753554574
8,6,2,0.75,2.0,onsite_pair_density,10.0,0.42798230339911597
8,6,2,0.75,2.0,onsite_pair_variance,1.0,1.60301657169812
8,6,2,0.75,2.0,charge_fluctuation,1.0,0.590015607757884
8,6,2,0.75,2.0,fock_entropy_normalized,1.0,0.871488490002354
8,6,2,0.75,2.0,pr_normalized,1.0,0.27210169000040196
8,6,2,0.75,2.0,Nres_mean_l1.0,1.0,3.19570408163264
8,6,2,0.75,2.0,Nres_mean_l2.0,1.0,5.458877551020479
8,6,2,0.75,2.0,fres_l1.0,1.0,0.439858146067444
8,6,2,0.75,2.0,fres_l2.0,1.0,0.7513623595506002
8,7,2,0.875,2.0,onsite_pair_density,1.0,0.529870666555876
8,7,2,0.875,2.0,onsite_pair_variance,1.0,1.6962778929232198
8,7,2,0.875,2.0,charge_fluctuation,1.0,0.62856005656889
8,7,2,0.875,2.0,fock_entropy_normalized,1.0,0.878176497341478
8,7,2,0.875,2.0,pr_normalized,1.0,0.27690875520778596
8,7,2,0.875,2.0,Nres_mean_l1.0,1.0,3.43417322834644
8,7,2,0.875,2.0,Nres_mean_l2.0,1.0,5.78515748031504
8,7,2,0.875,2.0,fres_l1.0,1.0,0.45149068322983005
8,7,2,0.875,2.0,fres_l2.0,1.0,0.7605745341615159
8,8,2,1.0,2.0,onsite_pair_density,10.0,0.6588059100808459
8,8,2,1.0,2.0,onsite_pair_variance,1.0,1.73495360292352
8,8,2,1.0,2.0,charge_fluctuation,1.0,0.642125378623728
8,8,2,1.0,2.0,fock_entropy_normalized,1.0,0.881101415089372
8,8,2,1.0,2.0,pr_normalized,1.0,0.28085804352571003
8,8,2,1.0,2.0,Nres_mean_l1.0,1.0,3.59646612466136
8,8,2,1.0,2.0,Nres_mean_l2.0,1.0,5.96300271002718
8,8,2,1.0,2.0,fres_l1.0,1.0,0.46597471910103205
8,8,2,1.0,2.0,fres_l2.0,1.0,0.772594101123428
8,4,2,0.5,3.0,onsite_pair_density,10.0,0.24144884951231801
8,4,2,0.5,3.0,onsite_pair_variance,1.0,1.25530460466478
8,4,2,0.5,3.0,charge_fluctuation,1.0,0.408648488791032
8,4,2,0.5,3.0,fock_entropy_normalized,1.0,0.7885955416175181
8,4,2,0.5,3.0,pr_normalized,1.0,0.1927118629564436
8,4,2,0.5,3.0,Nres_mean_l1.0,1.0,1.941774436090334
8,4,2,0.5,3.0,Nres_mean_l2.0,1.0,3.5937293233082
8,4,2,0.5,3.0,fres_l1.0,1.0,0.3294081632652772
8,4,2,0.5,3.0,fres_l2.0,1.0,0.609650510204054
8,5,2,0.625,3.0,onsite_pair_density,3.0,0.30689826388857205
8,5,2,0.625,3.0,onsite_pair_variance,1.0,1.47078276562604
8,5,2,0.625,3.0,charge_fluctuation,2.0,0.49607387825819205
8,5,2,0.625,3.0,fock_entropy_normalized,1.0,0.815577577737746
8,5,2,0.625,3.0,pr_normalized,1.0,0.19208286653891918
8,5,2,0.625,3.0,Nres_mean_l1.0,1.0,2.2079285714288464
8,5,2,0.625,3.0,Nres_mean_l2.0,1.0,4.077880952381039
8,5,2,0.625,3.0,fres_l1.0,1.0,0.3296196682464456
8,5,2,0.625,3.0,fres_l2.0,1.0,0.60878317535547
8,6,2,0.75,3.0,onsite_pair_density,10.0,0.427910550127264
8,6,2,0.75,3.0,onsite_pair_variance,1.0,1.6452306995815797
8,6,2,0.75,3.0,charge_fluctuation,2.0,0.564861366452584
8,6,2,0.75,3.0,fock_entropy_normalized,1.0,0.838476088708352
8,6,2,0.75,3.0,pr_normalized,1.0,0.2053291123542354
8,6,2,0.75,3.0,Nres_mean_l1.0,1.0,2.4953979591838396
8,6,2,0.75,3.0,Nres_mean_l2.0,1.0,4.56315306122462
8,6,2,0.75,3.0,fres_l1.0,1.0,0.34346769662924703
8,6,2,0.75,3.0,fres_l2.0,1.0,0.628074438202262
8,7,2,0.875,3.0,onsite_pair_density,3.0,0.528052669708146
8,7,2,0.875,3.0,onsite_pair_variance,1.0,1.7380607876857401
8,7,2,0.875,3.0,charge_fluctuation,2.0,0.606960381545694
8,7,2,0.875,3.0,fock_entropy_normalized,1.0,0.851480107310876
8,7,2,0.875,3.0,pr_normalized,1.0,0.2149244863203976
8,7,2,0.875,3.0,Nres_mean_l1.0,1.0,2.684740157480206
8,7,2,0.875,3.0,Nres_mean_l2.0,1.0,4.8709842519689
8,7,2,0.875,3.0,fres_l1.0,1.0,0.352962732919278
8,7,2,0.875,3.0,fres_l2.0,1.0,0.640388198757854
8,8,2,1.0,3.0,onsite_pair_density,10.0,0.658737504451606
8,8,2,1.0,3.0,onsite_pair_variance,1.0,1.7832885050568
8,8,2,1.0,3.0,charge_fluctuation,2.0,0.623363427574244
8,8,2,1.0,3.0,fock_entropy_normalized,1.0,0.857794825978074
8,8,2,1.0,3.0,pr_normalized,1.0,0.2236254690170326
8,8,2,1.0,3.0,Nres_mean_l1.0,1.0,2.8717506775065504
8,8,2,1.0,3.0,Nres_mean_l2.0,1.0,5.1183631436319
8,8,2,1.0,3.0,fres_l1.0,1.0,0.372077247190954
8,8,2,1.0,3.0,fres_l2.0,1.0,0.663158707865024
8,4,2,0.5,4.0,onsite_pair_density,10.0,0.24104696524381
8,4,2,0.5,4.0,onsite_pair_variance,1.0,1.22345227126491
8,4,2,0.5,4.0,charge_fluctuation,1.0,0.360647593970492
8,4,2,0.5,4.0,fock_entropy_normalized,1.0,0.705966095696264
8,4,2,0.5,4.0,pr_normalized,1.0,0.1229383265007994
8,4,2,0.5,4.0,Nres_mean_l1.0,1.0,1.514150375939876
8,4,2,0.5,4.0,Nres_mean_l2.0,1.0,2.872285714285894
8,4,2,0.5,4.0,fres_l1.0,1.0,0.2568647959183356
8,4,2,0.5,4.0,fres_l2.0,1.0,0.487262755102016
8,5,2,0.625,4.0,onsite_pair_density,4.0,0.30626319956548004
8,5,2,0.625,4.0,onsite_pair_variance,1.0,1.4556629778494004
8,5,2,0.625,4.0,charge_fluctuation,2.0,0.453784491884312
