L,N,nmax,filling,W_over_t,realizations,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high
7,7,7,1.0,1.0,300,0.16272523759996146,0.0,0.0,0.0
7,7,7,1.0,2.0,300,0.30833704950642726,0.0,0.0,0.0
7,7,7,1.0,3.0,300,0.43782757745043593,0.0,0.0,1.0
7,7,7,1.0,4.0,300,0.5556657650032572,0.510047957019287,0.4067993855170178,0.6081729357122161
7,7,7,1.0,5.0,300,0.6647748824771159,0.8537410917200596,0.7761417362773618,0.928612524194744
7,7,7,1.0,6.0,300,0.7669311983325444,1.0636351477185275,0.9968186170660128,1.1286939975436812
7,7,7,1.0,7.0,300,0.8632936438831075,1.2120786650021564,1.1497119831555433,1.273115942371439
7,7,7,1.0,8.0,300,0.9546815119536648,1.327855938523391,1.267098379783911,1.3873992249233218
7,7,7,1.0,9.0,300,1.0417136607463795,1.42427342769555,1.3642975116882645,1.4845242200656619
7,7,7,1.0,10.0,300,1.1248817062507641,1.5078589821917414,1.4468791739498894,1.5713876564613443
