U,W,L,N,nmax,boundary,tau_Th,mean_spacing,t_H,t_Th,g,n_realizations_used,n_realizations_total,n_levels,file,epsilon,curve_file
1.0,0.5,7,7,2,periodic,0.08768856094587427,0.027814563345280707,225.8955220393799,19.808453251750247,1.0570570570570572,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt,0.08,results_multi_nmax_L7_allU/curves/SFF_U1_W0.5_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,1.0,7,7,2,periodic,0.056591701632462424,0.02922006609487239,215.02981159519607,12.168902939879944,1.2472472472472473,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_1/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W1_boundaryperiodic_nreal300.txt,0.08,results_multi_nmax_L7_allU/curves/SFF_U1_W1_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,2.0,7,7,2,periodic,0.060643293954080614,0.032830652729017765,191.38167489512378,11.606015168089282,1.2172172172172173,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_2/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W2_boundaryperiodic_nreal300.txt,0.08,results_multi_nmax_L7_allU/curves/SFF_U1_W2_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,3.0,7,7,2,periodic,0.11169868184678226,0.03819143048436915,164.51819760328553,18.376465812095446,0.9519519519519521,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_3/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W3_boundaryperiodic_nreal300.txt,0.08,results_multi_nmax_L7_allU/curves/SFF_U1_W3_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,4.0,7,7,2,periodic,0.19874595495809838,0.04437055073431509,141.60710658748542,28.143839627583013,0.7017017017017015,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_4/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W4_boundaryperiodic_nreal300.txt,0.08,results_multi_nmax_L7_allU/curves/SFF_U1_W4_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,5.0,7,7,2,periodic,0.3376980310825091,0.05205713364065534,120.6978730437162,40.75943408270961,0.4714714714714714,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W5_boundaryperiodic_nreal300.txt,0.08,results_multi_nmax_L7_allU/curves/SFF_U1_W5_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,6.0,7,7,2,periodic,0.44529585099426555,0.05874935356287029,106.94901179560505,47.62395122051969,0.3513513513513513,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_6/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W6_boundaryperiodic_nreal300.txt,0.08,results_multi_nmax_L7_allU/curves/SFF_U1_W6_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,7.0,7,7,2,periodic,0.5232614239486661,0.0648138227864891,96.94205706516914,50.72603882043325,0.2812812812812813,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_7/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W7_boundaryperiodic_nreal300.txt,0.08,results_multi_nmax_L7_allU/curves/SFF_U1_W7_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,8.0,7,7,2,periodic,0.5542985515684669,0.07442782329387451,84.41984501374903,46.79379781475554,0.25625625625625625,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_8/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W8_boundaryperiodic_nreal300.txt,0.08,results_multi_nmax_L7_allU/curves/SFF_U1_W8_L7_N7_nmax2_boundaryperiodic_nreal300.txt
1.0,9.0,7,7,2,periodic,0.6008675891719687,0.08186693745053987,76.74875233943605,46.115837790153435,0.2212212212212212,300,300,150,pbs_bose_midpoint_L7/data/U_1/W_9/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W9_boundaryperiodic_nreal300.txt,0.08,results_multi_nmax_L7_allU/curves/SFF_U1_W9_L7_N7_nmax2_boundaryperiodic_nreal300.txt
