L,N,nmax,points,A_theory,B_theory,A_ED_fit,B_ED_fit,A_ED_bootstrap_median,A_ED_ci95_low,A_ED_ci95_high,B_ED_bootstrap_median,B_ED_ci95_low,B_ED_ci95_high,bootstrap_valid_fraction
6,6,3,6,0.2319391634980988,-0.0059237547302016,1.8202713015045908,-3.695541630168592,1.8161743643995685,1.7235214452669372,1.87904296348921,-3.677498673591569,-3.930995568291913,-3.343010946790379,0.946
6,6,4,9,0.1944773175542406,-0.0056038768373641,0.40954686444499094,-0.08374711989706647,0.4127706334133418,0.38170751869348735,0.4562752562076012,-0.08524920357936397,-0.10643505534914777,-0.07314646461647509,0.687
6,6,5,17,0.1766726107918895,-0.0053474823963057,0.3950990068565925,-0.07158677283855981,0.3950220563834228,0.38402882091665885,0.40669985061095976,-0.07165324052336541,-0.07589141687443048,-0.06728863831281119,0.904
6,6,6,19,0.1714807123529041,-0.0051818131230847,0.38072824813801415,-0.07510879855666718,0.3807525916839185,0.37144870046262124,0.39014858383034995,-0.07520628207797692,-0.07929496325930113,-0.07111156289392308,0.951
