L,N,nmax,W_over_t,U_M_star_over_t,mixing_max,search_U_max_over_t,local_maxima,U_small_W_over_t,U_large_W_over_t,small_W_regime,large_W_regime,beta_eff
6,6,3,0.1,0.023188004968345458,0.9997355991882201,4.0,2,0.02318799259507968,0.187503745067006,True,False,0.9994495718300419
6,6,3,0.11009117314389681,0.025526595860483618,0.9996796003627988,4.0,2,0.02552655046854919,0.19673706868411409,True,False,0.9993851339286657
6,6,3,0.12120066404199469,0.028100693603639388,0.9996117555827558,4.0,2,0.028100634043235595,0.2064250726330085,True,False,0.9992410909936424
6,6,3,0.13343123290202505,0.030933889456007547,0.9995295656616439,4.0,2,0.03093385609864448,0.21659014692325523,True,False,0.9990796499978423
6,6,3,0.14689600964220462,0.03405220075308709,0.9994300072776299,4.0,2,0.03405216056053019,0.22725578412482014,True,False,0.9988871323129267
6,6,3,0.16171954031667485,0.03748405776524448,0.9993094245078271,4.0,2,0.0374840404702531,0.23844663366190144,True,False,0.9986668029747321
6,6,3,0.17803893913754448,0.04126091510581198,0.9991633985950747,4.0,2,0.041260772176011984,0.2501885587803761,True,False,0.9983936550806014
6,6,3,0.19600515674947117,0.04541689712071988,0.9989865918941183,4.0,2,0.045416665452679805,0.2625086963205172,True,False,0.9981318139332274
6,6,3,0.2,0.046340787235990194,0.9989449984551437,4.0,2,0.046340442661778156,0.2651703392695072,True,False,0.9980438023605434
6,6,3,0.21578437648802667,0.049989697157554074,0.9987725613391538,4.0,2,0.0499893285820702,0.2754355194331239,True,False,0.9976199219064021
6,6,3,0.23755955153691163,0.05502051307940469,0.9985135361512705,4.0,2,0.05501994646672272,0.2889989033840069,True,False,0.9971572241037876
6,6,3,0.25,0.05789302205010286,0.9983545892439183,4.0,2,0.05789223220686531,0.29646945211165004,True,False,0.9968552413846794
6,6,3,0.26153209720236614,0.060554533732919844,0.9982001539068326,4.0,2,0.060553568506950144,0.303230194598912,True,False,0.9965484159729705
6,6,3,0.2879237539579214,0.06664094787771183,0.9978211485845913,4.0,2,0.06663940110789777,0.3181622831084501,True,False,0.9958409562097543
6,6,3,0.3,0.06942371543602598,0.9976359071785172,4.0,2,0.06942180767171421,0.32476601306549663,True,False,0.9954967925250848
6,6,3,0.3169786384922227,0.07333360494321121,0.9973629839069836,4.0,2,0.07333109711987693,0.3338296785604634,True,False,0.9949743165028124
6,6,3,0.34896550173163965,0.08069108873698604,0.9968094253472749,4.0,2,0.08068703100923108,0.3502685899754989,True,False,0.9939247425768034
6,6,3,0.38418021472384767,0.08877705202654412,0.9961410448124498,4.0,2,0.08877054378474976,0.36751700942971394,True,False,0.9927049174844953
6,6,3,0.4,0.09240448945802977,0.9958208630614653,4.0,2,0.09239654509650663,0.375007490134012,True,False,0.9921227181157519
