L,N,nmax,filling,U,threshold,Wstar,Wstar_bootstrap_std,bootstrap_valid,bootstrap_total
6,3,2,0.5,1.0,0.45849718055994526,5.408062733482735,0.15685153138619554,500,500
6,3,2,0.5,2.0,0.45849718055994526,5.894664944639394,0.18290507200114112,500,500
6,3,2,0.5,3.0,0.45849718055994526,5.748100707784912,0.2523330062128134,500,500
6,3,2,0.5,4.0,0.45849718055994526,5.134709464252407,0.6392744037356362,500,500
6,3,2,0.5,5.0,0.45849718055994526,2.8310681026442066,0.23641928255304978,500,500
6,3,2,0.5,6.0,0.45849718055994526,2.0143583688793307,0.3113959602122833,490,500
6,3,2,0.5,7.0,0.45849718055994526,nan,0.47888736459699527,67,500
6,3,2,0.5,8.0,0.45849718055994526,nan,nan,0,500
6,3,2,0.5,9.0,0.45849718055994526,nan,nan,0,500
6,3,2,0.5,10.0,0.45849718055994526,nan,nan,0,500
6,4,2,0.6666666666666666,1.0,0.45849718055994526,5.8551636764075745,0.10872250043065151,500,500
6,4,2,0.6666666666666666,2.0,0.45849718055994526,6.1564429608104305,0.17338639800870237,500,500
6,4,2,0.6666666666666666,3.0,0.45849718055994526,6.471855257657378,0.12860906232393696,500,500
6,4,2,0.6666666666666666,4.0,0.45849718055994526,5.935908465381442,0.17158178062786644,500,500
6,4,2,0.6666666666666666,5.0,0.45849718055994526,4.872793011265307,0.161555335283216,500,500
6,4,2,0.6666666666666666,6.0,0.45849718055994526,4.501915176480114,0.1526472943905011,500,500
6,4,2,0.6666666666666666,7.0,0.45849718055994526,4.071958066814628,0.11232921793544103,500,500
6,4,2,0.6666666666666666,8.0,0.45849718055994526,3.7738580214058537,0.06943206368476623,500,500
6,4,2,0.6666666666666666,9.0,0.45849718055994526,3.8588275451961263,0.10568361331605036,500,500
6,4,2,0.6666666666666666,10.0,0.45849718055994526,3.696296105239984,0.07223718369538454,500,500
6,5,2,0.8333333333333334,1.0,0.45849718055994526,6.362961342488723,0.13671998451457543,500,500
6,5,2,0.8333333333333334,2.0,0.45849718055994526,6.694540707939131,0.1730904988377663,500,500
6,5,2,0.8333333333333334,3.0,0.45849718055994526,6.896342933126937,0.13353694090751686,500,500
6,5,2,0.8333333333333334,4.0,0.45849718055994526,6.62038346092606,0.11533974548717092,500,500
6,5,2,0.8333333333333334,5.0,0.45849718055994526,5.507575146667414,0.17826343836213274,500,500
6,5,2,0.8333333333333334,6.0,0.45849718055994526,4.36446722708071,0.1479198356274562,500,500
6,5,2,0.8333333333333334,7.0,0.45849718055994526,3.9851100580840875,0.1164147321023779,500,500
6,5,2,0.8333333333333334,8.0,0.45849718055994526,3.602342007459063,0.07879504939791575,500,500
6,5,2,0.8333333333333334,9.0,0.45849718055994526,3.5019018655066274,0.10506781937808375,500,500
6,5,2,0.8333333333333334,10.0,0.45849718055994526,3.4807452020407763,0.08841886156381924,500,500
6,6,2,1.0,1.0,0.45849718055994526,6.714548458623449,0.08896649827430829,500,500
6,6,2,1.0,2.0,0.45849718055994526,7.2110547202865165,0.1501553626281178,500,500
6,6,2,1.0,3.0,0.45849718055994526,7.446326709685189,0.16079147599398055,500,500
6,6,2,1.0,4.0,0.45849718055994526,7.335628210462954,0.1217093014995381,500,500
6,6,2,1.0,5.0,0.45849718055994526,6.520346194579262,0.12266473187721141,500,500
6,6,2,1.0,6.0,0.45849718055994526,5.591627604260747,0.1555379085804518,500,500
6,6,2,1.0,7.0,0.45849718055994526,4.53927336137971,0.08472450409864474,500,500
6,6,2,1.0,8.0,0.45849718055994526,4.394628278692065,0.07469281071469816,500,500
6,6,2,1.0,9.0,0.45849718055994526,4.009320143976309,0.1152347330544311,500,500
6,6,2,1.0,10.0,0.45849718055994526,3.8293777362161445,0.0852632232972711,500,500
