L,N,nmax,W_over_t,observable,U_peak,peak_value,curvature,grid_argmax,fit_window_spread,quality_flag,fit_method,U_peak_ci_low,U_peak_ci_high,bootstrap_valid,n_disorder
7,4,4,2.5,S2_graph_sum,0.039147916627984974,2.748160674406185,-9.481641884069326,0.035,0.0026734149395866227,unstable_bootstrap,local_smooth_quadratic_3_5_7_stability,0.02142000684449675,0.08220267064136852,331,100
7,4,4,2.5,M_graph_per_edge,0.02914884172571243,0.7126245414013943,-1.495336869276925,0.03,0.0005427819237714751,ok,local_smooth_quadratic_3_5_7_stability,0.019454622024545887,0.12533982337352365,421,100
7,4,4,2.5,S2_graph_per_edge,0.02761023715269943,0.5331939486487877,-0.8485138655527753,0.03,0.0005045694334673764,ok,local_smooth_quadratic_3_5_7_stability,0.02009186876986907,0.10219532349659924,403,100
7,7,7,0.8,M_existing,0.130167596246014,0.9826885730200458,-1.8928174644427487,0.13,1.9765308485519828e-05,ok,local_smooth_quadratic_3_5_7_stability,0.12301822434678093,0.13754618924418854,500,100
7,7,7,0.8,S2_existing,0.13058073792064642,0.6844041114378624,-0.9621343093909788,0.13,1.6539659298875353e-05,ok,local_smooth_quadratic_3_5_7_stability,0.12347866834471184,0.1379595574100687,500,100
7,7,7,0.8,Sstar,nan,1.549276668492755,nan,0.01,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,0.8,M_graph_sum,nan,6.556816111320417,nan,0.01,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,0.8,S2_graph_sum,nan,4.599946273642731,nan,0.01,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,0.8,M_graph_per_edge,nan,0.9568313194526834,nan,0.0,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,0.8,S2_graph_per_edge,nan,0.6710592207753467,nan,0.0,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,1.2,M_existing,0.1912989816961594,0.9636085846250826,-1.7019135061489132,0.19,2.7032186197623043e-05,ok,local_smooth_quadratic_3_5_7_stability,0.18042296421436194,0.2024408333550352,500,100
7,7,7,1.2,S2_existing,0.1925052179066002,0.6745770080031915,-0.879441773440358,0.19,2.272219604057546e-05,ok,local_smooth_quadratic_3_5_7_stability,0.18159535900786197,0.20360067712875654,500,100
7,7,7,1.2,Sstar,nan,1.5369436881473233,nan,0.01,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,1.2,M_graph_sum,nan,6.27530808526118,nan,0.01,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,1.2,S2_graph_sum,nan,4.451383126191226,nan,0.01,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,1.2,M_graph_per_edge,nan,0.9155391754674733,nan,0.0,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,1.2,S2_graph_per_edge,nan,0.6491162339737173,nan,0.0,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,1.7,M_existing,0.26310195189162655,0.9341878299824936,-1.4438714584420407,0.265,3.388477399030032e-05,ok,local_smooth_quadratic_3_5_7_stability,0.24731063910700662,0.27946806988302364,500,100
7,7,7,1.7,S2_existing,0.26589370758141423,0.6590673987383162,-0.7644594012550456,0.265,2.863130620600618e-05,ok,local_smooth_quadratic_3_5_7_stability,0.2503446071291667,0.2820344342608342,500,100
7,7,7,1.7,Sstar,nan,1.5126600064877471,nan,0.015,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
