L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value,U_at_max_Wstar,delta_U_maximum_minus_Wstar
6,3,2,0.5,6.0,charge_fluctuation,2.0,0.2646136276743188,2.0,0.0
6,3,2,0.5,6.0,fock_entropy_normalized,2.0,0.556552173330526,2.0,0.0
6,3,2,0.5,6.0,pr_normalized,1.0,0.12904067424737578,2.0,-1.0
6,3,2,0.5,6.0,Nres_mean_l1.0,1.0,0.81856,2.0,-1.0
6,3,2,0.5,6.0,Nres_mean_l2.0,1.0,1.6023199999999997,2.0,-1.0
6,3,2,0.5,6.0,fres_l1.0,1.0,0.1795087719298092,2.0,-1.0
6,3,2,0.5,6.0,fres_l2.0,1.0,0.35138596491225155,2.0,-1.0
6,4,2,0.6666666666666666,6.0,onsite_pair_density,7.0,0.34167287715027395,3.0,4.0
6,4,2,0.6666666666666666,6.0,onsite_pair_variance,1.0,1.069557052386336,3.0,-2.0
6,4,2,0.6666666666666666,6.0,charge_fluctuation,2.0,0.33900866708359,3.0,-1.0
6,4,2,0.6666666666666666,6.0,fock_entropy_normalized,1.0,0.582306348589512,3.0,-2.0
6,4,2,0.6666666666666666,6.0,pr_normalized,1.0,0.10840060571826879,3.0,-2.0
6,4,2,0.6666666666666666,6.0,Nres_mean_l1.0,1.0,0.9844444444443659,3.0,-2.0
6,4,2,0.6666666666666666,6.0,Nres_mean_l2.0,1.0,1.9282666666667219,3.0,-2.0
6,4,2,0.6666666666666666,6.0,fres_l1.0,1.0,0.184583333333366,3.0,-2.0
6,4,2,0.6666666666666666,6.0,fres_l2.0,1.0,0.36155000000002,3.0,-2.0
6,5,2,0.8333333333333334,6.0,onsite_pair_density,10.0,0.48064796910443197,3.0,7.0
6,5,2,0.8333333333333334,6.0,onsite_pair_variance,1.0,1.16347459355101,3.0,-2.0
6,5,2,0.8333333333333334,6.0,charge_fluctuation,1.0,0.40037240919690803,3.0,-2.0
6,5,2,0.8333333333333334,6.0,fock_entropy_normalized,1.0,0.6191955249563961,3.0,-2.0
6,5,2,0.8333333333333334,6.0,pr_normalized,1.0,0.1106290853270616,3.0,-2.0
6,5,2,0.8333333333333334,6.0,Nres_mean_l1.0,1.0,1.19619047618991,3.0,-2.0
6,5,2,0.8333333333333334,6.0,Nres_mean_l2.0,1.0,2.2928571428567657,3.0,-2.0
6,5,2,0.8333333333333334,6.0,fres_l1.0,1.0,0.20590163934426658,3.0,-2.0
6,5,2,0.8333333333333334,6.0,fres_l2.0,1.0,0.3946721311475276,3.0,-2.0
6,6,2,1.0,6.0,onsite_pair_density,10.0,0.661617212452578,3.0,7.0
6,6,2,1.0,6.0,onsite_pair_variance,1.0,1.265039183153254,3.0,-2.0
6,6,2,1.0,6.0,charge_fluctuation,1.0,0.43205294417995205,3.0,-2.0
6,6,2,1.0,6.0,fock_entropy_normalized,1.0,0.6430489121528381,3.0,-2.0
6,6,2,1.0,6.0,pr_normalized,1.0,0.11735402478426299,3.0,-2.0
6,6,2,1.0,6.0,Nres_mean_l1.0,1.0,1.2956879432639399,3.0,-2.0
6,6,2,1.0,6.0,Nres_mean_l2.0,1.0,2.4514326241157276,3.0,-2.0
6,6,2,1.0,6.0,fres_l1.0,1.0,0.2174904761905062,3.0,-2.0
6,6,2,1.0,6.0,fres_l2.0,1.0,0.41149047619046375,3.0,-2.0
6,7,2,1.1666666666666667,6.0,onsite_pair_density,10.0,0.8140085401050879,3.0,7.0
6,7,2,1.1666666666666667,6.0,onsite_pair_variance,1.0,1.1831741220859981,3.0,-2.0
6,7,2,1.1666666666666667,6.0,charge_fluctuation,2.0,0.430815398667018,3.0,-1.0
6,7,2,1.1666666666666667,6.0,fock_entropy_normalized,1.0,0.653414512637734,3.0,-2.0
6,7,2,1.1666666666666667,6.0,pr_normalized,1.0,0.1266382708806648,3.0,-2.0
