task_index,L,N,nmax,W_over_t,realization_start,realization_stop,realizations_in_block,U_points,U_values_over_t_json,core_hash
0,6,6,6,1.0,0,8,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",9b55145513d05b8b626bb4c381d6fda87339a64625ba51f1f7f9292efe433567
1,6,6,6,1.0,8,16,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",9b55145513d05b8b626bb4c381d6fda87339a64625ba51f1f7f9292efe433567
2,6,6,6,1.0,16,24,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",9b55145513d05b8b626bb4c381d6fda87339a64625ba51f1f7f9292efe433567
3,6,6,6,1.0,24,32,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",9b55145513d05b8b626bb4c381d6fda87339a64625ba51f1f7f9292efe433567
4,6,6,6,1.0,32,40,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",9b55145513d05b8b626bb4c381d6fda87339a64625ba51f1f7f9292efe433567
5,6,6,6,1.0,40,48,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",9b55145513d05b8b626bb4c381d6fda87339a64625ba51f1f7f9292efe433567
6,6,6,6,1.0,48,56,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",9b55145513d05b8b626bb4c381d6fda87339a64625ba51f1f7f9292efe433567
7,6,6,6,1.0,56,64,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",9b55145513d05b8b626bb4c381d6fda87339a64625ba51f1f7f9292efe433567
8,6,6,6,1.0,64,72,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",9b55145513d05b8b626bb4c381d6fda87339a64625ba51f1f7f9292efe433567
9,6,6,6,1.0,72,80,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",9b55145513d05b8b626bb4c381d6fda87339a64625ba51f1f7f9292efe433567
10,6,6,6,1.0,80,88,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",9b55145513d05b8b626bb4c381d6fda87339a64625ba51f1f7f9292efe433567
11,6,6,6,1.0,88,96,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",9b55145513d05b8b626bb4c381d6fda87339a64625ba51f1f7f9292efe433567
