L,N,nmax,W,slope_vs_U,intercept,r2,n_U,mean_positive_step_fraction,monotone_decreasing_strict
7,5,3,1.0,-0.034997937079917434,0.8355166888503462,0.8641779309519421,10,0.0,1
7,5,3,2.0,-0.04430027376162489,0.8212399394868565,0.860586745423995,10,0.0,1
7,5,3,3.0,-0.04980199377532526,0.7928013876620748,0.883375652194379,10,0.0,1
7,5,3,4.0,-0.05001237835759517,0.7449158013737828,0.9068783920532548,10,0.0,1
7,5,3,5.0,-0.04755950372375054,0.6910828443826712,0.9243403583049733,10,0.0,1
7,5,3,6.0,-0.04303639468439488,0.6299965321423258,0.9515502446054672,10,0.0,1
7,5,3,7.0,-0.039824380348055216,0.5851072024450596,0.9639543113271847,10,0.0,1
7,5,3,8.0,-0.03544367450150517,0.5366623202449199,0.9775846875841745,10,0.0,1
7,5,3,9.0,-0.030644128764154146,0.4875973033443322,0.9856087561536616,10,0.0,1
7,5,3,10.0,-0.02680495914963919,0.4473341737101381,0.9858278392437949,10,0.0,1
7,5,3,11.0,-0.023771443255308725,0.41630602145317847,0.9915462855561964,10,0.0,1
7,5,3,12.0,-0.020362343284078727,0.3830718090519322,0.9844276116632656,10,0.1111111111111111,0
7,5,3,13.0,-0.01906216791416697,0.3636593561972938,0.9906039003608658,10,0.0,1
7,5,3,14.0,-0.016958504253031647,0.339536323259651,0.9787018452530162,10,0.1111111111111111,0
7,5,3,15.0,-0.014938203595697178,0.3171720847376171,0.9861490279598987,10,0.1111111111111111,0
7,5,4,1.0,-0.03591786928651741,0.8269608867213923,0.8618146050076643,10,0.0,1
7,5,4,2.0,-0.04528614347377285,0.80430633559998,0.8483223657548704,10,0.0,1
7,5,4,3.0,-0.04955571568010726,0.76688820775349,0.8569773613201936,10,0.0,1
7,5,4,4.0,-0.04946789470628499,0.716552551753792,0.8893045489900225,10,0.0,1
7,5,4,5.0,-0.04752915137590894,0.6665463046776436,0.9138679850003241,10,0.0,1
7,5,4,6.0,-0.04409370988088035,0.6153473411986191,0.9350846045286529,10,0.0,1
7,5,4,7.0,-0.03957215161175878,0.5610607075271042,0.9530477327225791,10,0.0,1
7,5,4,8.0,-0.03573849803558411,0.518301800200162,0.9628088404657883,10,0.0,1
7,5,4,9.0,-0.032066515689192665,0.4791012231866231,0.9771090856758093,10,0.0,1
7,5,4,10.0,-0.027955570466322324,0.43819010847728584,0.9828837361244975,10,0.0,1
7,5,4,11.0,-0.024854332741472467,0.40512760424081307,0.9884472811182698,10,0.0,1
7,5,4,12.0,-0.022265942749132503,0.3785608950280123,0.9870074025592128,10,0.0,1
7,5,4,13.0,-0.020003077499095273,0.35345951610893706,0.9892192658793479,10,0.0,1
7,5,4,14.0,-0.017538090310227045,0.3307242958430186,0.9772556905491246,10,0.1111111111111111,0
7,5,4,15.0,-0.016757118784879153,0.31655554694849747,0.9840607736323618,10,0.1111111111111111,0
7,5,5,1.0,-0.036027565805952025,0.8242644711503666,0.862484363727583,10,0.0,1
7,5,5,2.0,-0.04491513845515772,0.7985416920416647,0.8470977424739178,10,0.0,1
7,5,5,3.0,-0.05013943957952096,0.7649839138198271,0.8619160665000272,10,0.0,1
7,5,5,4.0,-0.05011030022171402,0.7175599203974178,0.8809169056031304,10,0.0,1
7,5,5,5.0,-0.047904379802152945,0.6641080731617431,0.907338797199904,10,0.0,1
7,5,5,6.0,-0.04342225064268792,0.6070266195204702,0.9294280462378673,10,0.0,1
7,5,5,7.0,-0.039220162783255255,0.5556961521000234,0.9523173307399425,10,0.0,1
7,5,5,8.0,-0.035155493602527225,0.5101642217440033,0.9664628885023074,10,0.0,1
7,5,5,9.0,-0.032079472647659535,0.4761502264444278,0.9755091216672674,10,0.0,1
7,5,5,10.0,-0.027992954421816017,0.4358090593521206,0.9794974080089078,10,0.0,1
7,5,5,11.0,-0.024864519724844495,0.4043148297829764,0.9875519222492598,10,0.0,1
7,5,5,12.0,-0.02279114597042442,0.3804000883306794,0.9859232437669567,10,0.0,1
7,5,5,13.0,-0.02068311612920617,0.35630138763645486,0.9876306421519674,10,0.0,1
7,5,5,14.0,-0.017450463596304405,0.3263554851295042,0.9891740597763731,10,0.0,1
7,5,5,15.0,-0.015987660728764258,0.3087058494230776,0.9800926275372248,10,0.1111111111111111,0
7,6,3,1.0,-0.041231402008914446,0.8597731809214149,0.8811588568612134,10,0.0,1
7,6,3,2.0,-0.05029780551271795,0.8493854551091664,0.875531999581736,10,0.0,1
7,6,3,3.0,-0.05591534652521067,0.8264249506326848,0.8906959736405993,10,0.0,1
7,6,3,4.0,-0.05669182549181713,0.7857777301337897,0.9100758845658158,10,0.0,1
7,6,3,5.0,-0.054621985112105746,0.7375455143761266,0.929378401565738,10,0.0,1
7,6,3,6.0,-0.050294776990566475,0.6813987605865298,0.9489498138797973,10,0.0,1
7,6,3,7.0,-0.045156035306275724,0.6244492820440685,0.963863213642776,10,0.0,1
7,6,3,8.0,-0.03933214746983999,0.5671927948723655,0.9733955878501888,10,0.0,1
7,6,3,9.0,-0.035404864865244426,0.5246300029760769,0.9831653688861276,10,0.0,1
7,6,3,10.0,-0.031555758753672586,0.4869604144637995,0.9877172797187768,10,0.0,1
7,6,3,11.0,-0.026459727425431095,0.44052034503489507,0.9849695952666304,10,0.1111111111111111,0
7,6,3,12.0,-0.024754596280231272,0.41985950631920976,0.9863087278423595,10,0.0,1
7,6,3,13.0,-0.02160537570104841,0.3881491754833884,0.9910869333449516,10,0.0,1
7,6,3,14.0,-0.019148037986962234,0.36296191268712913,0.9915850162682637,10,0.0,1
7,6,3,15.0,-0.016818859781729388,0.3386930592843041,0.9935714054158369,10,0.0,1
7,6,4,1.0,-0.045908450363665275,0.8481052728267956,0.8842478640215418,10,0.0,1
7,6,4,2.0,-0.05394118336777643,0.825196775334636,0.8661320094498444,10,0.0,1
7,6,4,3.0,-0.057607169776785594,0.789944116782141,0.8667179180307426,10,0.0,1
7,6,4,4.0,-0.05724455338640675,0.7462900724661984,0.8804549280527105,10,0.0,1
7,6,4,5.0,-0.054241300533814395,0.6933575859892485,0.9043246860981747,10,0.0,1
7,6,4,6.0,-0.050186019799885344,0.6423785544655772,0.926484228886181,10,0.0,1
7,6,4,7.0,-0.045391332795802555,0.5905334684955512,0.9449398517535728,10,0.0,1
7,6,4,8.0,-0.04116925810155737,0.5464250377562704,0.9599054345767041,10,0.0,1
