L,N,nmax,c_half_slope,b_half_intercept,r2,n_W
7,5,3,0.19653578793037998,3.041115221218098,0.9699110737811866,15
7,5,4,0.17595043676916164,2.86386415904045,0.983566946852677,15
7,5,5,0.1755771886964356,2.8432595965036382,0.9840371024103614,15
7,6,3,0.1755365197304313,3.2392507508204313,0.9643709465424792,15
7,6,4,0.14759958421658226,3.0174563460324175,0.9719623797829979,15
7,6,5,0.13566293907630575,2.949953295557656,0.9741686948518157,15
7,7,3,0.15968973825469507,3.5603059362833753,0.9811988287313492,15
7,7,4,0.14583290938257723,2.9851722648205143,0.984315808635839,15
7,7,5,0.1310749554351499,2.8062610252374567,0.982268834999589,15
7,8,3,0.13643070782579572,3.827367373843871,0.9619431850289948,15
7,9,3,0.13848052713912945,3.9442614486379535,0.9802870710557176,15
