L,N,nmax,W_over_t,U_over_t,observable,mean,stderr,n_disorder
7,4,4,0.1,0.0,M_sum,5.088656572613944,0.02108557828089745,30
7,4,4,0.1,0.005,M_sum,5.0946457232645175,0.019703358100412162,30
7,4,4,0.1,0.01,M_sum,5.083089171587507,0.02093144723475594,30
7,4,4,0.1,0.015,M_sum,5.067967166851998,0.017532613953084464,30
7,4,4,0.1,0.02,M_sum,5.02774588292603,0.01956459142673182,30
7,4,4,0.1,0.025,M_sum,5.014065909324578,0.020451253848618425,30
7,4,4,0.1,0.03,M_sum,5.003443688631991,0.018636812101142736,30
7,4,4,0.1,0.035,M_sum,4.991804063606306,0.019016638139895452,30
7,4,4,0.1,0.04,M_sum,4.9648929482846,0.016231249786785282,30
7,4,4,0.1,0.045,M_sum,4.956873014086567,0.01671341898512241,30
7,4,4,0.1,0.05,M_sum,4.939927984876161,0.01462299167564669,30
7,4,4,0.1,0.055,M_sum,4.9241922851342075,0.014797929294422215,30
7,4,4,0.1,0.06,M_sum,4.908985296364696,0.012668032104985613,30
7,4,4,0.1,0.065,M_sum,4.902878401940998,0.013044889050578356,30
7,4,4,0.1,0.07,M_sum,4.896371819921213,0.012341517437625946,30
7,4,4,0.1,0.075,M_sum,4.892645350849692,0.012649761912311819,30
7,4,4,0.1,0.08,M_sum,4.890066087237514,0.01057932960840262,30
7,4,4,0.1,0.085,M_sum,4.876361940452893,0.007888843301124172,30
7,4,4,0.1,0.09,M_sum,4.874597313527832,0.007295327649499169,30
7,4,4,0.1,0.095,M_sum,4.872116222263807,0.007954003851791019,30
7,4,4,0.1,0.1,M_sum,4.8720878634643645,0.007622704309361256,30
7,4,4,0.1,0.105,M_sum,4.8666190891943995,0.007176578606272623,30
7,4,4,0.1,0.11,M_sum,4.863597854231708,0.0068103204920178535,30
7,4,4,0.1,0.115,M_sum,4.858301431368237,0.006565973306237752,30
7,4,4,0.1,0.12,M_sum,4.854838631192458,0.006786419581493859,30
7,4,4,0.1,0.125,M_sum,4.852597360623943,0.00749665305853529,30
7,4,4,0.1,0.13,M_sum,4.84711095635202,0.0072252595634302325,30
7,4,4,0.1,0.135,M_sum,4.842185782104508,0.0072905067377512164,30
7,4,4,0.1,0.14,M_sum,4.835914081849524,0.0068555401144439684,30
7,4,4,0.1,0.145,M_sum,4.829889170147004,0.0068194699863580914,30
7,4,4,0.1,0.15,M_sum,4.82601743713237,0.006950644611454136,30
7,4,4,0.1,0.155,M_sum,4.823317086757332,0.006887778850870785,30
7,4,4,0.1,0.16,M_sum,4.818967348199949,0.0066384232564841794,30
7,4,4,0.1,0.165,M_sum,4.817690462488074,0.00686474265529569,30
7,4,4,0.1,0.17,M_sum,4.814168764091365,0.0069727107326430695,30
7,4,4,0.1,0.17500000000000002,M_sum,4.811803800612656,0.007191441413576608,30
7,4,4,0.1,0.18,M_sum,4.808440535649634,0.007259142966025632,30
7,4,4,0.1,0.185,M_sum,4.805645052206905,0.007444672843022575,30
7,4,4,0.1,0.19,M_sum,4.802796058914928,0.007425155494604282,30
7,4,4,0.1,0.195,M_sum,4.799544873751442,0.007446071081020253,30
7,4,4,0.1,0.2,M_sum,4.797173921983977,0.0075939386226598704,30
7,4,4,0.1,0.20500000000000002,M_sum,4.793498263854643,0.007841122365122737,30
7,4,4,0.1,0.21,M_sum,4.790675005556858,0.007887568092319434,30
7,4,4,0.1,0.215,M_sum,4.78716318876236,0.007918146490203896,30
7,4,4,0.1,0.22,M_sum,4.7839370943902715,0.007981541762807937,30
7,4,4,0.1,0.225,M_sum,4.780633018388055,0.007967072713356319,30
7,4,4,0.1,0.23,M_sum,4.777905574424462,0.007994244114272792,30
7,4,4,0.1,0.23500000000000001,M_sum,4.77386688875164,0.008066850875462673,30
7,4,4,0.1,0.24,M_sum,4.770657575606224,0.00810027017567199,30
7,4,4,0.1,0.245,M_sum,4.767092847330852,0.008087024578663057,30
7,4,4,0.1,0.25,M_sum,4.76347531266676,0.00807262954636527,30
7,4,4,0.1,0.255,M_sum,4.75948185212234,0.008110511250983467,30
7,4,4,0.1,0.26,M_sum,4.755748572334538,0.008095699547269289,30
7,4,4,0.1,0.265,M_sum,4.75195834329348,0.008080669802908775,30
7,4,4,0.1,0.27,M_sum,4.748111909493769,0.008065426080962052,30
7,4,4,0.1,0.275,M_sum,4.744210020139509,0.008049972459217476,30
7,4,4,0.1,0.28,M_sum,4.740253428772336,0.00803431302774664,30
7,4,4,0.1,0.28500000000000003,M_sum,4.736242892903616,0.008018451886502373,30
7,4,4,0.1,0.29,M_sum,4.732179173651182,0.00800239314296111,30
7,4,4,0.1,0.295,M_sum,4.728063035380808,0.007986140909812187,30
7,4,4,0.1,0.3,M_sum,4.723578649927429,0.00803494044734226,30
7,4,4,0.1,0.305,M_sum,4.719360371308161,0.008018328271063609,30
7,4,4,0.1,0.31,M_sum,4.715091989964714,0.008001532761789078,30
7,4,4,0.1,0.315,M_sum,4.710774279388825,0.007984558076231671,30
7,4,4,0.1,0.32,M_sum,4.706408014607225,0.007967408366281205,30
7,4,4,0.1,0.325,M_sum,4.701993971856719,0.007950087776951994,30
7,4,4,0.1,0.33,M_sum,4.697532928265487,0.007932600444386657,30
7,4,4,0.1,0.335,M_sum,4.693025661540721,0.007914950493915766,30
7,4,4,0.1,0.34,M_sum,4.688472949662789,0.007897142038175166,30
7,4,4,0.1,0.34500000000000003,M_sum,4.683875570585965,0.007879179175280783,30
7,4,4,0.1,0.35000000000000003,M_sum,4.679234301945935,0.007861065987061907,30
7,4,4,0.1,0.355,M_sum,4.674549920774077,0.007842806537353126,30
7,4,4,0.1,0.36,M_sum,4.669823203218686,0.007824404870345428,30
7,4,4,0.1,0.365,M_sum,4.665054924273146,0.007805865008996228,30
7,4,4,0.1,0.37,M_sum,4.660245857511159,0.007787190953499138,30
7,4,4,0.1,0.375,M_sum,4.655396774829044,0.007768386679812418,30
7,4,4,0.1,0.38,M_sum,4.650508446195176,0.007749456138247234,30
7,4,4,0.1,0.385,M_sum,4.64558163940655,0.007730403252114122,30
7,4,4,0.1,0.39,M_sum,4.64061711985252,0.0077112319164288345,30
7,4,4,0.1,0.395,M_sum,4.635615650285705,0.007691945996675881,30
7,4,4,0.1,0.4,M_sum,4.630577990600051,0.0076725493276302075,30
7,4,4,0.1,0.405,M_sum,4.6255048976160555,0.0076530457122359315,30
7,4,4,0.1,0.41000000000000003,M_sum,4.620397124873083,0.007633438920541826,30
7,4,4,0.1,0.41500000000000004,M_sum,4.615255422428813,0.007613732688692525,30
7,4,4,0.1,0.42,M_sum,4.6100805366657145,0.0075939307179755736,30
7,4,4,0.1,0.425,M_sum,4.604873210104523,0.0075740366739219765,30
7,4,4,0.1,0.43,M_sum,4.5996341812246895,0.007554054185461104,30
7,4,4,0.1,0.435,M_sum,4.594364184291681,0.007533986844127845,30
7,4,4,0.1,0.44,M_sum,4.5890639491911385,0.007513838203321412,30
7,4,4,0.1,0.445,M_sum,4.583734201269737,0.0074936117776150495,30
7,4,4,0.1,0.45,M_sum,4.578375661182737,0.007473311042115309,30
7,4,4,0.1,0.455,M_sum,4.572989044748107,0.007452939431869709,30
7,4,4,0.1,0.46,M_sum,4.56757506280711,0.007432500341322059,30
7,4,4,0.1,0.465,M_sum,4.5621344210913115,0.007411997123814292,30
7,4,4,0.1,0.47000000000000003,M_sum,4.556667820095854,0.007391433091132848,30
7,4,4,0.1,0.47500000000000003,M_sum,4.551175954958928,0.007370811513099584,30
7,4,4,0.1,0.48,M_sum,4.545659515347312,0.007350135617205547,30
7,4,4,0.1,0.485,M_sum,4.540119185347897,0.007329408588285596,30
7,4,4,0.1,0.49,M_sum,4.53455564336505,0.007308633568234282,30
7,4,4,0.1,0.495,M_sum,4.528969562023732,0.007287813655760162,30
7,4,4,0.1,0.5,M_sum,4.523361608078222,0.00726695190617832,30
7,4,4,0.1,0.505,M_sum,4.517732442326363,0.007246051331239393,30
7,4,4,0.1,0.51,M_sum,4.512082719529173,0.007225114898994005,30
7,4,4,0.1,0.515,M_sum,4.506413088335716,0.007204145533691539,30
7,4,4,0.1,0.52,M_sum,4.5007241912131235,0.007183146115711237,30
7,4,4,0.1,0.525,M_sum,4.495016664381601,0.007162119481525675,30
7,4,4,0.1,0.53,M_sum,4.489291137754341,0.007141068423694332,30
7,4,4,0.1,0.535,M_sum,4.4835482348821865,0.007119995690886356,30
