L,N,nmax,W_over_t,observable,U_peak,peak_value,curvature,grid_argmax,quality_flag,fit_method,U_peak_ci_low,U_peak_ci_high,bootstrap_valid,n_disorder
7,4,4,1.1,S2_sum,0.031134615199419485,3.2992927436408572,-11.355609305042591,0.035,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.018599584103792876,0.09551413929685913,133,30
7,4,4,1.1,Sstar,0.13412877059675632,1.4051320103450926,-2.441801723949505,0.13,ok,local_polynomial_smoothing_then_quadratic,0.06584109587630954,0.16759891328090193,199,30
7,4,4,1.2000000000000002,M_sum,0.0318044982963672,4.582864614298497,-14.929154676369441,0.035,ok,local_polynomial_smoothing_then_quadratic,0.016489923967805725,0.10179356647159879,178,30
7,4,4,1.2000000000000002,S2_sum,0.03304189458184518,3.2645425723551695,-9.774087587074165,0.035,ok,local_polynomial_smoothing_then_quadratic,0.016545490457798455,0.10650830439900401,179,30
7,4,4,1.2000000000000002,Sstar,0.13737395287466472,1.399348562338903,-3.764806215702651,0.14,ok,local_polynomial_smoothing_then_quadratic,0.07637456552591874,0.1841225934148189,200,30
7,4,4,1.3000000000000003,M_sum,0.04010776580089538,4.517330252588078,-18.60706281015535,0.04,ok,local_polynomial_smoothing_then_quadratic,0.013020262312167317,0.06584838138839633,180,30
7,4,4,1.3000000000000003,S2_sum,0.04142879698247534,3.2286681300679447,-12.7725057292044,0.04,ok,local_polynomial_smoothing_then_quadratic,0.013230640320354505,0.09378081731740702,179,30
7,4,4,1.3000000000000003,Sstar,0.14991904069729353,1.3934731363349102,-2.2901015883675346,0.15,ok,local_polynomial_smoothing_then_quadratic,0.09293911348576328,0.19265637291154614,200,30
7,4,4,1.4000000000000001,M_sum,0.041501622583220474,4.451393790043021,-19.888297583881457,0.045,ok,local_polynomial_smoothing_then_quadratic,0.012543461890234149,0.08424879107298719,183,30
7,4,4,1.4000000000000001,S2_sum,0.04272243693159306,3.1920740432510013,-13.759095164682458,0.045,ok,local_polynomial_smoothing_then_quadratic,0.01257023208679629,0.10236452629729866,184,30
7,4,4,1.4000000000000001,Sstar,0.1626109405025813,1.3871984243559543,-3.3602110042959143,0.16,ok,local_polynomial_smoothing_then_quadratic,0.11504668977572743,0.23453510717706344,200,30
7,4,4,1.5000000000000002,M_sum,0.045892309314197216,4.386539509445387,-32.98309399177721,0.05,ok,local_polynomial_smoothing_then_quadratic,0.012863326615099998,0.05599629776094522,195,30
7,4,4,1.5000000000000002,S2_sum,0.046662891373211515,3.1559776957246912,-23.247245217807933,0.05,ok,local_polynomial_smoothing_then_quadratic,0.012453048744129596,0.10926805443052076,196,30
7,4,4,1.5000000000000002,Sstar,0.17617041211790446,1.3811889928935095,-2.849927269624047,0.17500000000000002,ok,local_polynomial_smoothing_then_quadratic,0.12828941096051336,0.22857335079579688,200,30
7,4,4,1.6,M_sum,0.022935381464696432,4.321256292818013,-45.94229472197193,0.02,ok,local_polynomial_smoothing_then_quadratic,0.014621484969263101,0.08253018800025316,196,30
7,4,4,1.6,S2_sum,0.023043677230704624,3.1189646466706464,-33.299392849339476,0.02,ok,local_polynomial_smoothing_then_quadratic,0.01472640418076108,0.11861836338169365,197,30
7,4,4,1.6,Sstar,0.17896069206110365,1.374742451922203,-1.9096060408247062,0.18,ok,local_polynomial_smoothing_then_quadratic,0.141897126779747,0.23994254762053102,199,30
7,4,4,1.7000000000000002,M_sum,0.054836844914695045,4.2576644008044155,-37.55478214909087,0.06,ok,local_polynomial_smoothing_then_quadratic,0.01648853408590887,0.0632271765376326,197,30
7,4,4,1.7000000000000002,S2_sum,0.05563679366159398,3.083292419404117,-26.889209542132544,0.06,ok,local_polynomial_smoothing_then_quadratic,0.016487623998678758,0.07442853404633244,197,30
7,4,4,1.7000000000000002,Sstar,0.2366103024898442,1.3677798258319074,-3.847830864266398,0.24,ok,local_polynomial_smoothing_then_quadratic,0.1383208163254544,0.25001029678837516,199,30
7,4,4,1.8000000000000003,M_sum,0.05757853333952748,4.193521613640053,-30.604776782440307,0.06,ok,local_polynomial_smoothing_then_quadratic,0.014862619935738038,0.0671828619404589,194,30
