L,N,nmax,W_over_t,U_over_t,realizations,entropy_norm_mean,entropy_norm_sem,delta_entropy_norm_mean,delta_entropy_norm_paired_sem,entropy2_norm_mean,entropy2_norm_sem,IPR_mean,IPR_sem,gap_ratio_mean,gap_ratio_sem,Q_mean_mean,Q_mean_sem,Q_variance_mean,Q_variance_sem,H_Q_mean,H_Q_sem,S_intra_Q_mean,S_intra_Q_sem
9,9,9,0.1,0.0,186,0.8833865330117562,0.00022358988168712083,0.0,0.0,0.8251950366887011,0.00025997839886129437,0.0002749825557859123,1.3414824955838186e-06,0.38715477560918893,0.003351438955417177,14.705676934212475,0.0016624246079856941,64.12930418386635,0.040097674562502884,2.5138525874255326,0.0001897767351760865,6.407152699928806,0.0024203675435411276
9,9,9,0.1,0.025,186,0.9117049415957245,0.0001345086052807224,0.028318408583967943,0.00016070332236467016,0.8601935239139737,0.00024637891086252273,0.00017481688480120862,5.444569624162965e-07,0.44822752922589304,0.0013778107607434142,14.629177956885528,0.0037898744878882675,61.8565117484093,0.04440137957207099,2.505204188511029,0.0002581580057294986,6.701778599367055,0.001236346681780472
9,9,9,0.1,0.05,186,0.9221025619708321,6.156682175241668e-05,0.03871602895907567,0.0002047881760095691,0.8795426901884574,0.00012623882674906925,0.00013975974452152203,1.9916534625207228e-07,0.5204108244654629,0.0012420115078484292,14.600987242061294,0.0017514589653506833,61.57669933745131,0.01845453603393246,2.5099565516751676,0.0001353205141278371,6.80202809312052,0.000569413475913165
9,9,9,0.1,0.075,186,0.9247321466022652,1.813567971203936e-05,0.041345613590508805,0.00021402933993221307,0.8850079016735448,3.9671773428021145e-05,0.00013150059211051668,5.523325863355179e-08,0.5294919096600303,0.0009732502990825612,14.521892053717394,0.001812429058558686,59.55028385768378,0.02939074936882359,2.5049780527628918,0.00016959157651812753,6.833561828640924,0.0002584284223503117
9,9,9,0.1,0.1,186,0.9254943505822621,7.555925457828658e-06,0.04210781757050583,0.00021849317084811595,0.8866295421454067,1.7049749550095388e-05,0.00012928503413735538,2.2670225759899048e-08,0.530893005158418,0.0010430413788376676,14.423286615854849,0.003215878598567851,57.011999062160534,0.04426327915762435,2.4961992928818524,0.00027260758558775116,6.8500378144604355,0.00028231852784229894
9,9,9,0.1,0.125,186,0.9257607739574294,5.6539442545079335e-06,0.04237424094567314,0.0002213161723053423,0.8872268013799296,1.1606003989052151e-05,0.00012849380639321507,1.508185562512391e-08,0.5314338445687463,0.0009766527314321635,14.322416927923351,0.0022498514663933534,54.41228510850562,0.032199531539152774,2.486100011946137,0.00018982498079733493,6.862827609966755,0.00023011739985931716
9,9,9,0.1,0.15,186,0.9258790578068994,3.767736902766064e-06,0.04249252479514301,0.00022375095245859037,0.8875108125677607,8.066594849720813e-06,0.00012812171924901023,1.0457415675254896e-08,0.529121311865202,0.0010693392810895534,14.231003584599705,0.0027781945004384163,51.95873281592358,0.03806835303184821,2.4759260713860187,0.00022661220402209423,6.874196056903297,0.00025312252272505627
9,9,9,0.1,0.175,186,0.9258631146915243,3.888388936979146e-06,0.04247658167976791,0.000223557587310949,0.8875339336195701,8.927147786232675e-06,0.000128090211600607,1.1567493620054812e-08,0.531550453159919,0.0010145805327302594,14.14950520564413,0.002781596589102841,49.74960489602399,0.03383525111943508,2.4659498269562734,0.00021226578469922801,6.884011297501487,0.00024084747526153746
9,9,9,0.1,0.2,186,0.9257762952960567,2.7267798043773425e-06,0.04238976228430023,0.0002237105484952484,0.8874096895546971,6.401313486984277e-06,0.0001282502202243011,8.31208400710842e-09,0.5309829506888483,0.0010039316822192947,14.104287055336039,0.002797496611140002,47.97453430580016,0.03071106863329275,2.4579806204120356,0.00021793116271162253,6.891103745959578,0.0002299248136806015
9,9,9,0.1,0.225,186,0.9256692953487743,2.2812128390541978e-06,0.04228276233701794,0.00022358892322314354,0.8872386952078296,5.180578803803714e-06,0.00012847107042995376,6.730557664182268e-09,0.5310620895185357,0.0011234534645678898,14.104832061385551,0.003136565965728741,46.66630266309299,0.029010939759295865,2.4530985377775774,0.00023786762994405106,6.894905274318212,0.0002443652055876767
9,9,9,0.1,0.25,186,0.925505705923797,2.2655448909436944e-06,0.04211917291204084,0.00022351938369932862,0.8869322192914134,4.21699612658946e-06,0.0001288694461621812,5.490603450030812e-09,0.5316611188629828,0.001072570329745693,14.148999581842306,0.0032990219227952166,45.77064044835352,0.032662858276764295,2.4505977165970396,0.00024077255853391526,6.895754064286319,0.00023528693637252376
9,9,9,0.1,0.275,186,0.9252925356176644,2.4777729430681366e-06,0.041906002605908106,0.0002236225540485997,0.8865136229880243,5.353167477301473e-06,0.00012941558491642364,7.003270341896594e-09,0.5304553435441152,0.0010286668377615213,14.247172447777789,0.003171824081461895,45.2166959171773,0.0298970244897931,2.451109286229947,0.0002360495733912645,6.893089763819227,0.00023856421437030366
9,9,9,0.1,0.3,186,0.925065480019428,2.8530261851473347e-06,0.041678947007671524,0.00022403120073134344,0.8860413315959623,6.8432365890553515e-06,0.00013003453129140376,9.00432322896321e-09,0.5303143941804958,0.0010180734398349308,14.379827505266318,0.0032996923094976366,44.98711723614849,0.029158440490234947,2.4533778008529383,0.0002485218695613022,6.88852829575321,0.0002636223505554471
9,9,9,0.1,0.325,186,0.9247001164741026,3.1672968707493273e-06,0.041313583462346294,0.00022473006772819978,0.8852952975852632,7.660953879281155e-06,0.00013101850556577902,1.0148790073110156e-08,0.5304704547260148,0.0010239224515282746,14.560691183051034,0.003830868963148772,44.92196923331254,0.03198536338356818,2.457902629827685,0.00027350694048385867,6.880313790744417,0.0002889728090735055
9,9,9,0.1,0.35,186,0.9241748234765355,4.276411791111992e-06,0.04078829046477904,0.00022453377147474041,0.8842106191075978,1.0256340964062954e-05,0.0001324639414070086,1.3745522393340314e-08,0.5307074015281839,0.000978176194557887,14.776318697688675,0.003930609817280595,45.02475411700702,0.03322820065131973,2.4638336450448852,0.0002747476687840189,6.869078029039028,0.0003061219731473987
9,9,9,0.1,0.375,186,0.9234026545477884,5.59079016417425e-06,0.04001612153603211,0.00022476588886019284,0.8826321962702544,1.2763641586751549e-05,0.00013459581466570322,1.7362481644596882e-08,0.5314333483014088,0.0010278783128760145,15.018199386322312,0.004054776009157787,45.171395921913586,0.03304438240811108,2.469676933964729,0.000271976705756816,6.855436881720101,0.00031628527106013297
9,9,9,0.1,0.4,186,0.9223357102825841,9.865645937840936e-06,0.03894917727082776,0.0002257724108148846,0.8805087807034929,2.0499096148219498e-05,0.00013752008087906183,2.8534223498974712e-08,0.5309750334323707,0.0009745473616219605,15.296101490083537,0.004618235971290512,45.41660057336879,0.0358693049270248,2.475477325778041,0.0002890506413403019,6.838861800599777,0.0003822243950595166
9,9,9,0.1,0.425,186,0.9208580570857594,1.4391403412237982e-05,0.03747152407400297,0.00022621543857922257,0.8776014580811241,2.984484816058028e-05,0.0001416323925590274,4.2883647156167443e-08,0.5308188960572229,0.0010469223756992409,15.610088426813471,0.00523150995994716,45.732815405356185,0.040421415988030035,2.4820813667184223,0.00032046519356180106,6.8173354674473945,0.00045905280732494257
9,9,9,0.1,0.45,186,0.9189275930942354,1.8757134701498436e-05,0.035541060082479085,0.00022644669355156966,0.8738732698947449,3.774788582717738e-05,0.00014709671888513872,5.6282959733093515e-08,0.5301322036802515,0.001031157821336719,15.974174340848974,0.005064498175184634,46.30672947401516,0.03530052200098044,2.4897745302589827,0.0002739263166538901,6.790147237102139,0.00045864433549321537
9,9,9,0.1,0.475,186,0.916335064899825,2.448068631980774e-05,0.032948531888068476,0.00023068276482726333,0.8689179729821115,4.691591489144797e-05,0.00015473207732006022,7.478103088818583e-08,0.5303035497189261,0.0010199684163463819,16.359693587313465,0.004999169910256507,46.71218351149457,0.033234167432412746,2.495206673783416,0.00024966030367714844,6.758534076700415,0.0004885068595567293
9,9,9,0.1,0.5,186,0.9128102825301584,3.4074397098906064e-05,0.029423749518402074,0.0002308418976109466,0.8622800358023001,6.328862565616577e-05,0.00016565731777825756,1.0939620159469045e-07,0.5302245196113337,0.0009889697444148246,16.789734795011206,0.005862788570493972,47.128062604098446,0.04012757653831046,2.4999476834884105,0.00031428305070837077,6.71819754795421,0.000651524305491049
