U,W_star,threshold
1.0,6.851818385919128,0.45849718055994526
2.0,6.991924743756331,0.45849718055994526
3.0,7.3909543952239884,0.45849718055994526
4.0,7.204642354233533,0.45849718055994526
5.0,6.783273411003682,0.45849718055994526
6.0,5.140197468802164,0.45849718055994526
7.0,4.771242559870624,0.45849718055994526
8.0,2.921418774972225,0.45849718055994526
9.0,2.994571848553444,0.45849718055994526
10.0,3.2884179578482238,0.45849718055994526
12.0,3.5482703969219176,0.45849718055994526
15.0,3.7416519912597948,0.45849718055994526
20.0,3.520976372948571,0.45849718055994526
30.0,2.9593369477507228,0.45849718055994526
40.0,2.6757564325348198,0.45849718055994526
