L,N,nmax,filling,U_at_max_Wstar,max_Wstar,max_Wstar_bootstrap_std
8,4,4,0.5,2.0,5.273058677823793,0.13344770749758159
8,5,4,0.625,1.0,5.487172899700288,0.07327072644198004
8,6,4,0.75,1.0,6.059471627943864,0.11064432373250709
8,7,4,0.875,2.0,6.620121045620674,0.10013013888810268
8,8,4,1.0,1.0,7.320893706410745,0.1050198299606254
