L,N,nmax,W_over_t,observable,U_peak,peak_value,curvature,grid_argmax,fit_window_spread,quality_flag,fit_method,U_peak_ci_low,U_peak_ci_high,bootstrap_valid,n_disorder
7,4,4,2.5,M_graph_per_edge,0.08799652814275029,0.491580608724186,-20.055493519466772,0.09,0.001961991492984108,wide_ci,local_smooth_quadratic_3_5_7_stability,0.06597883590473064,0.2169448817880911,458,100
7,4,4,2.5,S2_graph_per_edge,0.08651375185054112,0.36758813848517274,-11.678505367460447,0.09,0.002181079155065588,wide_ci,local_smooth_quadratic_3_5_7_stability,0.06312367630165502,0.194869324212788,438,100
7,7,7,0.8,M_existing,0.130167596246014,0.9826885730200458,-1.8928174644427487,0.13,1.9765308485519828e-05,ok,local_smooth_quadratic_3_5_7_stability,0.12301822434678093,0.13754618924418854,500,100
7,7,7,0.8,S2_existing,0.13058073792064642,0.6844041114378624,-0.9621343093909788,0.13,1.6539659298875353e-05,ok,local_smooth_quadratic_3_5_7_stability,0.12347866834471184,0.1379595574100687,500,100
7,7,7,0.8,Sstar,nan,0.9778948183011966,nan,0.01,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,0.8,M_graph_sum,nan,2.465503549805949,nan,0.005,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,0.8,S2_graph_sum,nan,1.726086276373369,nan,0.005,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,0.8,M_graph_per_edge,nan,0.8687920530275408,nan,0.01,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,0.8,S2_graph_per_edge,nan,0.6077142395496186,nan,0.01,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,1.2,M_existing,0.1912989816961594,0.9636085846250826,-1.7019135061489132,0.19,2.7032186197623043e-05,ok,local_smooth_quadratic_3_5_7_stability,0.18042296421436194,0.2024408333550352,500,100
7,7,7,1.2,S2_existing,0.1925052179066002,0.6745770080031915,-0.879441773440358,0.19,2.272219604057546e-05,ok,local_smooth_quadratic_3_5_7_stability,0.18159535900786197,0.20360067712875654,500,100
7,7,7,1.2,Sstar,nan,0.9521982987462296,nan,0.015,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,1.2,M_graph_sum,nan,2.336687911267199,nan,0.005,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,1.2,S2_graph_sum,nan,1.6525598939976,nan,0.015,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,1.2,M_graph_per_edge,0.01969797934435366,0.8314775782336765,-133.36475960083015,0.02,0.002216124089837339,unstable_bootstrap,local_smooth_quadratic_3_5_7_stability,0.018069834472452913,0.024267546475596626,254,100
7,7,7,1.2,S2_graph_per_edge,0.019980458876705905,0.5873754800125747,-93.36869349569706,0.02,0.001865418123357658,unstable_bootstrap,local_smooth_quadratic_3_5_7_stability,0.018115446063186928,0.024471777786630785,285,100
