L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value,U_at_max_Wstar,delta_U_maximum_minus_Wstar
8,7,1,0.875,9.0,fock_entropy_normalized,1.0,0.3208591224986587,1.0,0.0
8,7,1,0.875,9.0,pr_normalized,1.0,0.21282871318179297,1.0,0.0
8,7,1,0.875,9.0,Nres_mean_l1.0,1.0,0.22075,1.0,0.0
8,7,1,0.875,9.0,Nres_mean_l2.0,1.0,0.41125,1.0,0.0
8,7,1,0.875,9.0,fres_l1.0,1.0,0.110375,1.0,0.0
8,7,1,0.875,9.0,fres_l2.0,1.0,0.205625,1.0,0.0
8,7,1,0.875,10.0,onsite_pair_density,1.0,0.0,1.0,0.0
8,7,1,0.875,10.0,onsite_pair_variance,1.0,0.0,1.0,0.0
8,7,1,0.875,10.0,charge_fluctuation,1.0,0.04098694606079199,1.0,0.0
8,7,1,0.875,10.0,fock_entropy_normalized,1.0,0.30278505699460684,1.0,0.0
8,7,1,0.875,10.0,pr_normalized,1.0,0.206524503107035,1.0,0.0
8,7,1,0.875,10.0,Nres_mean_l1.0,1.0,0.202,1.0,0.0
8,7,1,0.875,10.0,Nres_mean_l2.0,1.0,0.3895,1.0,0.0
8,7,1,0.875,10.0,fres_l1.0,1.0,0.101,1.0,0.0
8,7,1,0.875,10.0,fres_l2.0,1.0,0.19475,1.0,0.0
