L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value
8,5,1,0.625,3.0,onsite_pair_variance,1.0,0.0
8,5,1,0.625,3.0,charge_fluctuation,1.0,0.16839244245861398
8,5,1,0.625,3.0,fock_entropy_normalized,1.0,0.6625197426963529
8,5,1,0.625,3.0,pr_normalized,1.0,0.17750519771906728
8,5,1,0.625,3.0,Nres_mean_l1.0,1.0,1.3023214285714921
8,5,1,0.625,3.0,Nres_mean_l2.0,1.0,2.34428571428665
8,5,1,0.625,3.0,fres_l1.0,1.0,0.303875
8,5,1,0.625,3.0,fres_l2.0,1.0,0.547
8,6,1,0.75,3.0,onsite_pair_density,1.0,0.0
8,6,1,0.75,3.0,onsite_pair_variance,1.0,0.0
8,6,1,0.75,3.0,charge_fluctuation,1.0,0.13589199787733913
8,6,1,0.75,3.0,fock_entropy_normalized,1.0,0.6543836200339851
8,6,1,0.75,3.0,pr_normalized,1.0,0.2347055512552485
8,6,1,0.75,3.0,Nres_mean_l1.0,1.0,1.0289999999997559
8,6,1,0.75,3.0,Nres_mean_l2.0,1.0,1.8934285714300108
8,6,1,0.75,3.0,fres_l1.0,1.0,0.300125
8,6,1,0.75,3.0,fres_l2.0,1.0,0.55225
8,7,1,0.875,3.0,onsite_pair_density,1.0,0.0
8,7,1,0.875,3.0,onsite_pair_variance,1.0,0.0
8,7,1,0.875,3.0,charge_fluctuation,1.0,0.0848400145931513
8,7,1,0.875,3.0,fock_entropy_normalized,1.0,0.688198635239816
8,7,1,0.875,3.0,pr_normalized,1.0,0.430052706273326
8,7,1,0.875,3.0,Nres_mean_l1.0,1.0,0.6185
8,7,1,0.875,3.0,Nres_mean_l2.0,1.0,1.12375
8,7,1,0.875,3.0,fres_l1.0,1.0,0.30925
8,7,1,0.875,3.0,fres_l2.0,1.0,0.561875
8,8,1,1.0,3.0,onsite_pair_density,1.0,0.0
8,8,1,1.0,3.0,onsite_pair_variance,1.0,0.0
8,8,1,1.0,3.0,charge_fluctuation,1.0,0.0
8,8,1,1.0,3.0,pr_normalized,1.0,1.0
8,8,1,1.0,3.0,Nres_mean_l1.0,1.0,0.0
8,8,1,1.0,3.0,Nres_mean_l2.0,1.0,0.0
8,4,1,0.5,4.0,onsite_pair_density,1.0,0.0
8,4,1,0.5,4.0,onsite_pair_variance,1.0,0.0
8,4,1,0.5,4.0,charge_fluctuation,1.0,0.1574551435968994
8,4,1,0.5,4.0,fock_entropy_normalized,1.0,0.579138375993989
8,4,1,0.5,4.0,pr_normalized,1.0,0.1153815249881037
8,4,1,0.5,4.0,Nres_mean_l1.0,1.0,1.0765714285729417
8,4,1,0.5,4.0,Nres_mean_l2.0,1.0,2.026857142857013
8,4,1,0.5,4.0,fres_l1.0,1.0,0.2355
