U,W_star,threshold
0.5,6.674796993692124,0.45849718055994526
1.0,6.754419137099316,0.45849718055994526
1.5,6.925010395206268,0.45849718055994526
2.0,7.037808977198463,0.45849718055994526
2.5,7.26125387453421,0.45849718055994526
3.0,7.380308562097288,0.45849718055994526
3.5,7.355123410441543,0.45849718055994526
4.0,7.34738121777826,0.45849718055994526
4.5,7.114359301115664,0.45849718055994526
5.0,6.655503532514296,0.45849718055994526
5.5,6.37166878997683,0.45849718055994526
6.0,5.7464891545477865,0.45849718055994526
7.0,3.7321627341449113,0.45849718055994526
8.0,2.9768864162476114,0.45849718055994526
9.0,2.9388902675259487,0.45849718055994526
10.0,2.897577066308643,0.45849718055994526
11.0,2.7839021503969055,0.45849718055994526
12.0,2.6220176989444983,0.45849718055994526
15.0,2.2063603389125426,0.45849718055994526
20.0,1.5802583699917034,0.45849718055994526
25.0,1.2404290258767987,0.45849718055994526
30.0,0.9312191512562196,0.45849718055994526
40.0,nan,0.45849718055994526
50.0,nan,0.45849718055994526
