U,W,L,N,nmax,boundary,g,n_realizations_used,source
1.0,2.0,7,7,4,periodic,1.3123123123123124,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,3.0,7,7,4,periodic,1.1071071071071072,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,4.0,7,7,4,periodic,0.6816816816816815,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,5.0,7,7,4,periodic,0.42642642642642625,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,6.0,7,7,4,periodic,0.30630630630630623,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,7.0,7,7,4,periodic,0.2812812812812813,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,8.0,7,7,4,periodic,0.24624624624624622,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,9.0,7,7,4,periodic,0.20620620620620614,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,10.0,7,7,4,periodic,0.16116116116116116,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,11.0,7,7,4,periodic,0.16116116116116116,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,12.0,7,7,4,periodic,0.1861861861861862,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,13.0,7,7,4,periodic,0.15615615615615613,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,14.0,7,7,4,periodic,0.12112112112112118,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
1.0,15.0,7,7,4,periodic,0.16616616616616622,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,0.5,7,7,2,periodic,1.0570570570570572,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,1.0,7,7,2,periodic,1.2922922922922924,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,2.0,7,7,2,periodic,1.2822822822822824,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,3.0,7,7,2,periodic,1.0420420420420422,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,4.0,7,7,2,periodic,0.6216216216216215,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,5.0,7,7,2,periodic,0.43143143143143137,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,6.0,7,7,2,periodic,0.41141141141141135,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,7.0,7,7,2,periodic,0.3163163163163163,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,8.0,7,7,2,periodic,0.26626626626626626,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,9.0,7,7,2,periodic,0.22622622622622626,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
