model,sector,quantity,value,count,probability
boson,L8_N8_nmax2,K,2.0,8,0.007226738934056007
boson,L8_N8_nmax2,K,4.0,44,0.03974706413730804
boson,L8_N8_nmax2,K,5.0,80,0.07226738934056007
boson,L8_N8_nmax2,K,6.0,200,0.18066847335140018
boson,L8_N8_nmax2,K,7.0,192,0.17344173441734417
boson,L8_N8_nmax2,K,8.0,174,0.15718157181571815
boson,L8_N8_nmax2,K,9.0,224,0.2023486901535682
boson,L8_N8_nmax2,K,10.0,112,0.1011743450767841
boson,L8_N8_nmax2,K,11.0,16,0.014453477868112014
boson,L8_N8_nmax2,K,12.0,40,0.036133694670280034
boson,L8_N8_nmax2,K,13.0,16,0.014453477868112014
boson,L8_N8_nmax2,K,16.0,1,0.0009033423667570009
boson,L8_N8_nmax2,K_eff,4.0,8,0.007226738934056007
boson,L8_N8_nmax2,K_eff,8.0,44,0.03974706413730804
boson,L8_N8_nmax2,K_eff,9.0,32,0.028906955736224028
boson,L8_N8_nmax2,K_eff,10.0,24,0.02168021680216802
boson,L8_N8_nmax2,K_eff,11.0,16,0.014453477868112014
boson,L8_N8_nmax2,K_eff,12.0,24,0.02168021680216802
boson,L8_N8_nmax2,K_eff,13.0,64,0.057813911472448055
boson,L8_N8_nmax2,K_eff,14.0,144,0.13008130081300814
boson,L8_N8_nmax2,K_eff,15.0,96,0.08672086720867209
boson,L8_N8_nmax2,K_eff,16.0,42,0.037940379403794036
boson,L8_N8_nmax2,K_eff,17.0,48,0.04336043360433604
boson,L8_N8_nmax2,K_eff,18.0,88,0.07949412827461608
boson,L8_N8_nmax2,K_eff,19.0,96,0.08672086720867209
boson,L8_N8_nmax2,K_eff,20.0,36,0.032520325203252036
boson,L8_N8_nmax2,K_eff,21.0,96,0.08672086720867209
boson,L8_N8_nmax2,K_eff,22.0,120,0.10840108401084012
boson,L8_N8_nmax2,K_eff,23.0,64,0.057813911472448055
boson,L8_N8_nmax2,K_eff,24.0,8,0.007226738934056007
boson,L8_N8_nmax2,K_eff,26.0,40,0.036133694670280034
boson,L8_N8_nmax2,K_eff,27.0,16,0.014453477868112014
boson,L8_N8_nmax2,K_eff,32.0,1,0.0009033423667570009
boson,L8_N8_nmax3,K,3.0,16,0.00418519487313628
boson,L8_N8_nmax3,K,4.0,48,0.012555584619408842
boson,L8_N8_nmax3,K,5.0,144,0.03766675385822652
boson,L8_N8_nmax3,K,6.0,320,0.08370389746272561
boson,L8_N8_nmax3,K,7.0,624,0.16322260005231493
boson,L8_N8_nmax3,K,8.0,666,0.17420873659429767
boson,L8_N8_nmax3,K,9.0,640,0.16740779492545121
boson,L8_N8_nmax3,K,10.0,800,0.20925974365681402
