model,L,dim,edges_total,connectivity_mean,connectivity_std,connectivity_min,connectivity_max,K_eff_mean,K_eff_std,K_eff_min,K_eff_max,T_abs_mean,T_rms,T_max,N,Nup,Ndown,nmax
boson,8,1107,4272,7.718157181571816,2.0251727407514704,2,16,17.257452574525747,4.762119402975113,4.000000000000001,32.00000000000001,1.4546970497925356,1.4953110232255278,2.0,8,,,2
boson,8,3823,16576,8.671723777138373,2.0544022584529404,3,16,24.7093905309966,5.43637700060522,10.0,40.0,1.6131636105464946,1.6880227633005573,3.0,8,,,3
boson,8,5475,23808,8.696986301369863,1.9870010650138894,2,16,27.32420091324201,6.110353214093659,8.0,46.0,1.676957820381197,1.7725126446005448,4.0,8,,,4
boson,8,6147,26496,8.620790629575403,1.9674814444420863,3,16,28.163331706523508,6.687823213178315,15.999999999999998,48.00000000000001,1.7019744094683702,1.8074590486537687,4.47213595499958,8,,,5
