L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value,U_at_max_Wstar,delta_U_maximum_minus_Wstar
8,6,2,0.75,2.0,Nres_mean_l2.0,1.0,5.458877551020479,3.0,-2.0
8,6,2,0.75,2.0,fres_l1.0,1.0,0.439858146067444,3.0,-2.0
8,6,2,0.75,2.0,fres_l2.0,1.0,0.7513623595506002,3.0,-2.0
8,7,2,0.875,2.0,onsite_pair_density,1.0,0.529870666555876,2.0,-1.0
8,7,2,0.875,2.0,onsite_pair_variance,1.0,1.6962778929232198,2.0,-1.0
8,7,2,0.875,2.0,charge_fluctuation,1.0,0.62856005656889,2.0,-1.0
8,7,2,0.875,2.0,fock_entropy_normalized,1.0,0.878176497341478,2.0,-1.0
8,7,2,0.875,2.0,pr_normalized,1.0,0.27690875520778596,2.0,-1.0
8,7,2,0.875,2.0,Nres_mean_l1.0,1.0,3.43417322834644,2.0,-1.0
8,7,2,0.875,2.0,Nres_mean_l2.0,1.0,5.78515748031504,2.0,-1.0
8,7,2,0.875,2.0,fres_l1.0,1.0,0.45149068322983005,2.0,-1.0
8,7,2,0.875,2.0,fres_l2.0,1.0,0.7605745341615159,2.0,-1.0
8,8,2,1.0,2.0,onsite_pair_density,10.0,0.6588059100808459,3.0,7.0
8,8,2,1.0,2.0,onsite_pair_variance,1.0,1.73495360292352,3.0,-2.0
8,8,2,1.0,2.0,charge_fluctuation,1.0,0.642125378623728,3.0,-2.0
8,8,2,1.0,2.0,fock_entropy_normalized,1.0,0.881101415089372,3.0,-2.0
8,8,2,1.0,2.0,pr_normalized,1.0,0.28085804352571003,3.0,-2.0
8,8,2,1.0,2.0,Nres_mean_l1.0,1.0,3.59646612466136,3.0,-2.0
8,8,2,1.0,2.0,Nres_mean_l2.0,1.0,5.96300271002718,3.0,-2.0
8,8,2,1.0,2.0,fres_l1.0,1.0,0.46597471910103205,3.0,-2.0
8,8,2,1.0,2.0,fres_l2.0,1.0,0.772594101123428,3.0,-2.0
8,4,2,0.5,3.0,onsite_pair_density,10.0,0.24144884951231801,2.0,8.0
8,4,2,0.5,3.0,onsite_pair_variance,1.0,1.25530460466478,2.0,-1.0
8,4,2,0.5,3.0,charge_fluctuation,1.0,0.408648488791032,2.0,-1.0
8,4,2,0.5,3.0,fock_entropy_normalized,1.0,0.7885955416175181,2.0,-1.0
8,4,2,0.5,3.0,pr_normalized,1.0,0.1927118629564436,2.0,-1.0
8,4,2,0.5,3.0,Nres_mean_l1.0,1.0,1.941774436090334,2.0,-1.0
8,4,2,0.5,3.0,Nres_mean_l2.0,1.0,3.5937293233082,2.0,-1.0
8,4,2,0.5,3.0,fres_l1.0,1.0,0.3294081632652772,2.0,-1.0
8,4,2,0.5,3.0,fres_l2.0,1.0,0.609650510204054,2.0,-1.0
8,5,2,0.625,3.0,onsite_pair_density,3.0,0.30689826388857205,3.0,0.0
8,5,2,0.625,3.0,onsite_pair_variance,1.0,1.47078276562604,3.0,-2.0
8,5,2,0.625,3.0,charge_fluctuation,2.0,0.49607387825819205,3.0,-1.0
8,5,2,0.625,3.0,fock_entropy_normalized,1.0,0.815577577737746,3.0,-2.0
8,5,2,0.625,3.0,pr_normalized,1.0,0.19208286653891918,3.0,-2.0
8,5,2,0.625,3.0,Nres_mean_l1.0,1.0,2.2079285714288464,3.0,-2.0
8,5,2,0.625,3.0,Nres_mean_l2.0,1.0,4.077880952381039,3.0,-2.0
8,5,2,0.625,3.0,fres_l1.0,1.0,0.3296196682464456,3.0,-2.0
8,5,2,0.625,3.0,fres_l2.0,1.0,0.60878317535547,3.0,-2.0
8,6,2,0.75,3.0,onsite_pair_density,10.0,0.427910550127264,3.0,7.0
8,6,2,0.75,3.0,onsite_pair_variance,1.0,1.6452306995815797,3.0,-2.0
8,6,2,0.75,3.0,charge_fluctuation,2.0,0.564861366452584,3.0,-1.0
8,6,2,0.75,3.0,fock_entropy_normalized,1.0,0.838476088708352,3.0,-2.0
8,6,2,0.75,3.0,pr_normalized,1.0,0.2053291123542354,3.0,-2.0
8,6,2,0.75,3.0,Nres_mean_l1.0,1.0,2.4953979591838396,3.0,-2.0
8,6,2,0.75,3.0,Nres_mean_l2.0,1.0,4.56315306122462,3.0,-2.0
8,6,2,0.75,3.0,fres_l1.0,1.0,0.34346769662924703,3.0,-2.0
8,6,2,0.75,3.0,fres_l2.0,1.0,0.628074438202262,3.0,-2.0
8,7,2,0.875,3.0,onsite_pair_density,3.0,0.528052669708146,2.0,1.0
8,7,2,0.875,3.0,onsite_pair_variance,1.0,1.7380607876857401,2.0,-1.0
8,7,2,0.875,3.0,charge_fluctuation,2.0,0.606960381545694,2.0,0.0
8,7,2,0.875,3.0,fock_entropy_normalized,1.0,0.851480107310876,2.0,-1.0
8,7,2,0.875,3.0,pr_normalized,1.0,0.2149244863203976,2.0,-1.0
8,7,2,0.875,3.0,Nres_mean_l1.0,1.0,2.684740157480206,2.0,-1.0
8,7,2,0.875,3.0,Nres_mean_l2.0,1.0,4.8709842519689,2.0,-1.0
8,7,2,0.875,3.0,fres_l1.0,1.0,0.352962732919278,2.0,-1.0
8,7,2,0.875,3.0,fres_l2.0,1.0,0.640388198757854,2.0,-1.0
8,8,2,1.0,3.0,onsite_pair_density,10.0,0.658737504451606,3.0,7.0
8,8,2,1.0,3.0,onsite_pair_variance,1.0,1.7832885050568,3.0,-2.0
8,8,2,1.0,3.0,charge_fluctuation,2.0,0.623363427574244,3.0,-1.0
8,8,2,1.0,3.0,fock_entropy_normalized,1.0,0.857794825978074,3.0,-2.0
8,8,2,1.0,3.0,pr_normalized,1.0,0.2236254690170326,3.0,-2.0
8,8,2,1.0,3.0,Nres_mean_l1.0,1.0,2.8717506775065504,3.0,-2.0
8,8,2,1.0,3.0,Nres_mean_l2.0,1.0,5.1183631436319,3.0,-2.0
8,8,2,1.0,3.0,fres_l1.0,1.0,0.372077247190954,3.0,-2.0
8,8,2,1.0,3.0,fres_l2.0,1.0,0.663158707865024,3.0,-2.0
8,4,2,0.5,4.0,onsite_pair_density,10.0,0.24104696524381,2.0,8.0
8,4,2,0.5,4.0,onsite_pair_variance,1.0,1.22345227126491,2.0,-1.0
8,4,2,0.5,4.0,charge_fluctuation,1.0,0.360647593970492,2.0,-1.0
8,4,2,0.5,4.0,fock_entropy_normalized,1.0,0.705966095696264,2.0,-1.0
8,4,2,0.5,4.0,pr_normalized,1.0,0.1229383265007994,2.0,-1.0
8,4,2,0.5,4.0,Nres_mean_l1.0,1.0,1.514150375939876,2.0,-1.0
8,4,2,0.5,4.0,Nres_mean_l2.0,1.0,2.872285714285894,2.0,-1.0
8,4,2,0.5,4.0,fres_l1.0,1.0,0.2568647959183356,2.0,-1.0
8,4,2,0.5,4.0,fres_l2.0,1.0,0.487262755102016,2.0,-1.0
8,5,2,0.625,4.0,onsite_pair_density,4.0,0.30626319956548004,3.0,1.0
8,5,2,0.625,4.0,onsite_pair_variance,1.0,1.4556629778494004,3.0,-2.0
8,5,2,0.625,4.0,charge_fluctuation,2.0,0.453784491884312,3.0,-1.0
8,5,2,0.625,4.0,fock_entropy_normalized,1.0,0.746557105563714,3.0,-2.0
8,5,2,0.625,4.0,pr_normalized,1.0,0.126542200649478,3.0,-2.0
8,5,2,0.625,4.0,Nres_mean_l1.0,1.0,1.818023809524022,3.0,-2.0
8,5,2,0.625,4.0,Nres_mean_l2.0,1.0,3.43272222222234,3.0,-2.0
8,5,2,0.625,4.0,fres_l1.0,1.0,0.27141113744078177,3.0,-2.0
8,5,2,0.625,4.0,fres_l2.0,1.0,0.5124680094786679,3.0,-2.0
8,6,2,0.75,4.0,onsite_pair_density,10.0,0.427846977616732,3.0,7.0
8,6,2,0.75,4.0,onsite_pair_variance,1.0,1.64571498605592,3.0,-2.0
8,6,2,0.75,4.0,charge_fluctuation,2.0,0.5243825462026939,3.0,-1.0
8,6,2,0.75,4.0,fock_entropy_normalized,1.0,0.7788736248887781,3.0,-2.0
8,6,2,0.75,4.0,pr_normalized,1.0,0.1362903772682088,3.0,-2.0
8,6,2,0.75,4.0,Nres_mean_l1.0,1.0,2.0235816326531757,3.0,-2.0
8,6,2,0.75,4.0,Nres_mean_l2.0,1.0,3.8128367346938403,3.0,-2.0
8,6,2,0.75,4.0,fres_l1.0,1.0,0.2785266853932668,3.0,-2.0
8,6,2,0.75,4.0,fres_l2.0,1.0,0.52480056179779,3.0,-2.0
8,7,2,0.875,4.0,onsite_pair_density,5.0,0.5281755158743159,2.0,3.0
8,7,2,0.875,4.0,onsite_pair_variance,1.0,1.7471007933938398,2.0,-1.0
8,7,2,0.875,4.0,charge_fluctuation,2.0,0.5691077943573759,2.0,0.0
8,7,2,0.875,4.0,fock_entropy_normalized,1.0,0.80076866881133,2.0,-1.0
8,7,2,0.875,4.0,pr_normalized,1.0,0.14698631178785657,2.0,-1.0
8,7,2,0.875,4.0,Nres_mean_l1.0,1.0,2.186704724409716,2.0,-1.0
8,7,2,0.875,4.0,Nres_mean_l2.0,1.0,4.113484251968633,2.0,-1.0
8,7,2,0.875,4.0,fres_l1.0,1.0,0.287486024844741,2.0,-1.0
8,7,2,0.875,4.0,fres_l2.0,1.0,0.540799689441064,2.0,-1.0
8,8,2,1.0,4.0,onsite_pair_density,10.0,0.6586774442901319,3.0,7.0
8,8,2,1.0,4.0,onsite_pair_variance,1.0,1.79445942429962,3.0,-2.0
8,8,2,1.0,4.0,charge_fluctuation,2.0,0.593172871661394,3.0,-1.0
8,8,2,1.0,4.0,fock_entropy_normalized,1.0,0.813788544082354,3.0,-2.0
8,8,2,1.0,4.0,pr_normalized,1.0,0.159233248154178,3.0,-2.0
8,8,2,1.0,4.0,Nres_mean_l1.0,1.0,2.327056910569088,3.0,-2.0
8,8,2,1.0,4.0,Nres_mean_l2.0,1.0,4.331327913278879,3.0,-2.0
8,8,2,1.0,4.0,fres_l1.0,1.0,0.3015042134831064,3.0,-2.0
8,8,2,1.0,4.0,fres_l2.0,1.0,0.5611867977527161,3.0,-2.0
8,4,2,0.5,5.0,onsite_pair_density,10.0,0.23909426462071598,2.0,8.0
8,4,2,0.5,5.0,onsite_pair_variance,1.0,1.1577869952558781,2.0,-1.0
8,4,2,0.5,5.0,charge_fluctuation,1.0,0.31630519150268005,2.0,-1.0
8,4,2,0.5,5.0,fock_entropy_normalized,1.0,0.627248648543652,2.0,-1.0
8,4,2,0.5,5.0,pr_normalized,1.0,0.0831962230887346,2.0,-1.0
8,4,2,0.5,5.0,Nres_mean_l1.0,1.0,1.303578947368366,2.0,-1.0
8,4,2,0.5,5.0,Nres_mean_l2.0,1.0,2.46487218045098,2.0,-1.0
8,4,2,0.5,5.0,fres_l1.0,1.0,0.2211428571428574,2.0,-1.0
8,4,2,0.5,5.0,fres_l2.0,1.0,0.41814795918365805,2.0,-1.0
8,5,2,0.625,5.0,onsite_pair_density,4.0,0.306469746523684,3.0,1.0
8,5,2,0.625,5.0,onsite_pair_variance,1.0,1.397045330760394,3.0,-2.0
8,5,2,0.625,5.0,charge_fluctuation,2.0,0.40369815089567396,3.0,-1.0
