L,N,nmax,filling,U_at_max_Wstar,max_Wstar,max_Wstar_bootstrap_std
8,4,2,0.5,2.0,5.3874782455543,0.060451225543985715
8,5,2,0.625,3.0,5.884354045992338,0.06731758356291763
8,6,2,0.75,3.0,6.4556718991823905,0.05739278924814409
8,7,2,0.875,2.0,6.949239867408586,0.09095107561903618
8,8,2,1.0,3.0,7.422916055270854,0.0755224902953819
